,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
541,Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,24,1995,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
542,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,24,1996,19.5,5,52,19,36.5,2.67,0.98,0.1,0.26,16.9,0,0,0,4.1,4.1,0.08,0.9,0.9
543,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,35,1985,36.6,2,13,3,23.1,0.36,0.08,0.15,0.67,7.5,0,0,0,1.3,1.3,0.1,0.7,0.7
544,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,20,2000,8.8,2,23,8,34.8,2.62,0.91,0.09,0.25,13.7,0,0,0,3.5,3.5,0.15,-1.5,-1.5
545,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
546,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,26,1994,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
547,Andrea Conti\Andrea-Conti,it ITA,DF,Parma,it Serie A,26,1994,9,0,5,2,40,0.56,0.22,0,0,14,0,0,0,0.3,0.3,0.06,-0.3,-0.3
548,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,eng Premier League,28,1991,24.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.7,0,0,0,1.3,1.3,0.08,-0.3,-0.3
549,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,es La Liga,29,1991,8.2,0,4,0,0,0.49,0,0,,18.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2
550,Theo Corbeanu\Theo-Corbeanu,ca CAN,FW,Wolves,eng Premier League,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
551,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,fr Ligue 1,29,1990,23,0,21,7,33.3,0.91,0.3,0,0,24.2,5,0,0,0.7,0.7,0.03,-0.7,-0.7
552,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
553,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,es La Liga,23,1997,1.1,0,2,0,0,1.89,0,0,,16.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
554,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,es La Liga,23,1997,2.4,0,1,0,0,0.42,0,0,,17,0,0,0,0,0,0.02,0,0
555,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,de Bundesliga,27,1993,17.1,7,50,19,38,2.93,1.11,0.14,0.37,12.6,0,0,0,7.4,7.4,0.15,-0.4,-0.4
556,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,de Bundesliga,22,1997,12.1,2,20,4,20,1.65,0.33,0.1,0.5,15.4,0,0,0,3.1,3.1,0.16,-1.1,-1.1
557,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,31,1989,15,0,5,0,0,0.33,0,0,,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
558,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,27,1993,21.1,1,31,7,22.6,1.47,0.33,0.03,0.14,11.3,0,0,0,2.3,2.3,0.08,-1.3,-1.3
559,Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,fr Ligue 1,23,1996,27.2,2,22,11,50,0.81,0.4,0.09,0.18,16.8,2,0,0,2.5,2.5,0.12,-0.5,-0.5
560,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,25,1995,26.6,9,53,23,43.4,1.99,0.87,0.17,0.39,17,0,0,0,7.6,7.4,0.14,1.4,1.6
561,Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,it Serie A,25,1994,21.5,8,54,22,40.7,2.51,1.02,0.13,0.32,13.4,0,1,1,8.3,7.8,0.14,-0.3,-0.8
562,Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,27,1992,12.6,0,6,0,0,0.48,0,0,,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2
563,Félix Correia\Felix-Correia,pt POR,MF,Juventus,it Serie A,19,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
564,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,21,1999,23.7,1,8,2,25,0.34,0.08,0.13,0.5,17.1,0,0,0,1,1,0.12,0,0
565,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,36,1983,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
566,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,de Bundesliga,27,1993,13.4,0,5,1,20,0.37,0.07,0,0,28.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
567,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27,1993,1.2,0,3,0,0,2.45,0,0,,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
568,David Pereira da Costa\David-Pereira-da-Costa,pt POR,MFFW,Lens,fr Ligue 1,19,2001,1.8,1,2,1,50,1.14,0.57,0.5,1,17.5,0,0,0,0.7,0.7,0.37,0.3,0.3
569,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,31,1988,2.3,2,4,2,50,1.73,0.87,0.25,0.5,13.1,0,1,1,1.4,0.6,0.16,0.6,0.4
570,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,de Bundesliga,29,1990,3.6,1,4,2,50,1.13,0.56,0.25,0.5,20.2,0,0,0,0.1,0.1,0.04,0.9,0.9
571,Douglas Costa\Douglas-Costa,br BRA,MFFW,Juventus,it Serie A,29,1990,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
572,Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,eng Premier League,26,1994,12.8,3,16,6,37.5,1.25,0.47,0.19,0.5,14.3,0,0,0,2,2,0.12,1,1
573,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,es La Liga,32,1988,3.9,0,2,0,0,0.51,0,0,,15.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
574,Charles Costes\Charles-Costes,fr FRA,MF,Dijon,fr Ligue 1,17,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
575,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
576,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,eng Premier League,27,1992,33.9,0,15,5,33.3,0.44,0.15,0,0,16.6,0,0,0,1.2,1.2,0.08,-1.2,-1.2
577,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,28,1991,10.9,3,18,4,22.2,1.65,0.37,0.11,0.5,12.3,0,1,1,2.8,2.1,0.12,0.2,-0.1
578,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MFFW,Angers,fr Ligue 1,24,1996,18.7,1,14,4,28.6,0.75,0.21,0.07,0.25,23.3,0,0,0,0.7,0.7,0.05,0.3,0.3
579,Mamadou Coulibaly\Mamadou-Coulibaly,sn SEN,MF,Udinese,it Serie A,21,1999,2,0,2,0,0,0.98,0,0,,20.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
580,Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,25,1994,21.5,2,5,3,60,0.23,0.14,0.4,0.67,6.7,0,0,0,0.7,0.7,0.14,1.3,1.3
581,Tanguy Coulibaly\Tanguy-Coulibaly,fr FRA,DFFW,Stuttgart,de Bundesliga,19,2001,16.7,2,27,9,33.3,1.61,0.54,0.07,0.22,16.2,0,0,0,3.2,3.2,0.12,-1.2,-1.2
582,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28,1992,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
583,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,es La Liga,28,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17,0,0,0,3.9,3.9,0.14,-1.9,-1.9
584,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,fr Ligue 1,21,1999,15.2,0,1,0,0,0.07,0,0,,6,0,0,0,0.4,0.4,0.38,-0.4,-0.4
585,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26,1994,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
586,Gian Crespi\Gian-Crespi,it ITA,GK,Crotone,it Serie A,19,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
587,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,30,1989,35.2,0,19,4,21.1,0.54,0.11,0,0,24.6,11,0,0,0.9,0.9,0.05,-0.9,-0.9
588,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,33,1986,19.2,1,5,1,20,0.26,0.05,0,0,28,0,1,1,0.9,0.1,0.03,0.1,-0.1
589,Bryan Cristante\Bryan-Cristante,it ITA,DFMF,Roma,it Serie A,25,1995,23.9,1,27,7,25.9,1.13,0.29,0.04,0.14,17.9,0,0,0,2.2,2.2,0.08,-1.2,-1.2
590,Giovanni Crociata\Giovanni-Crociata,it ITA,DFMF,Crotone,it Serie A,22,1997,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
591,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,es La Liga,28,1992,21.8,0,1,0,0,0.05,0,0,,20.1,0,0,0,0,0,0.04,0,0
592,Juan Cuadrado\Juan-Cuadrado,co COL,DFMF,Juventus,it Serie A,32,1988,24.2,2,18,6,33.3,0.74,0.25,0.06,0.17,17.7,0,1,1,2,1.2,0.07,0,-0.2
593,Adrián Cubas\Adrian-Cubas,py PAR,MF,Nîmes,fr Ligue 1,24,1996,24.9,1,11,5,45.5,0.44,0.2,0.09,0.2,23.5,0,0,0,0.5,0.5,0.04,0.5,0.5
594,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,es La Liga,20,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
595,Cucho\Cucho,co COL,FWMF,Getafe,es La Liga,21,1999,16.3,2,27,11,40.7,1.66,0.68,0.07,0.18,15.6,1,0,0,2.5,2.5,0.09,-0.5,-0.5
596,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,es La Liga,22,1998,36,3,27,8,29.6,0.75,0.22,0.11,0.38,17.1,0,0,0,1.7,1.7,0.06,1.3,1.3
597,Mickaël Cuisance\Mickael-Cuisance,fr FRA,FW,Bayern Munich,de Bundesliga,20,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
598,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Marseille,fr Ligue 1,20,1999,11.4,2,9,3,33.3,0.79,0.26,0.22,0.67,17.3,1,0,0,0.9,0.9,0.1,1.1,1.1
599,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,de Bundesliga,21,1999,23.9,7,66,30,45.5,2.76,1.26,0.08,0.17,22,8,2,3,8.1,5.8,0.09,-1.1,-0.8
600,Giuseppe Cuomo\Giuseppe-Cuomo,it ITA,DF,Crotone,it Serie A,22,1998,8.9,0,2,0,0,0.22,0,0,,8.1,0,0,0,0.2,0.2,0.1,-0.2,-0.2
601,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Fiorentina,it Serie A,22,1998,2.2,0,3,1,33.3,1.38,0.46,0,0,11.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
602,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,eng Premier League,22,1998,0.3,0,1,0,0,3.6,0,0,,10.4,0,0,0,0.2,0.2,0.17,-0.2,-0.2
603,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,es La Liga,22,1998,1.2,0,3,1,33.3,2.5,0.83,0,0,16,0,0,0,0.5,0.5,0.18,-0.5,-0.5
604,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Parma,it Serie A,25,1995,4.6,0,6,1,16.7,1.32,0.22,0,0,27.4,3,0,0,0.2,0.2,0.03,-0.2,-0.2
605,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,30,1990,25.1,1,10,2,20,0.4,0.08,0.1,0.5,7.1,0,0,0,1.5,1.5,0.15,-0.5,-0.5
606,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Genoa,it Serie A,21,1999,13,1,5,2,40,0.38,0.15,0.2,0.5,17.5,0,0,0,0.3,0.3,0.05,0.7,0.7
607,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,31,1988,7.8,3,8,6,75,1.03,0.77,0.38,0.5,10.6,0,0,0,1.3,1.3,0.17,1.7,1.7
608,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,32,1988,29.6,4,23,11,47.8,0.78,0.37,0.17,0.36,12.8,0,0,0,1.8,1.8,0.08,2.2,2.2
609,Bryan Dabo\Bryan-Dabo,bf BFA,MF,Benevento,it Serie A,28,1992,12.4,0,12,2,16.7,0.97,0.16,0,0,17.9,0,0,0,1.2,1.2,0.1,-1.2,-1.2
610,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,28,1992,11.1,4,26,12,46.2,2.34,1.08,0.15,0.33,14.7,1,0,1,5.1,4.3,0.17,-1.1,-0.3
611,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,21,1998,15.1,1,7,1,14.3,0.46,0.07,0.14,1,20.6,0,0,0,0.3,0.3,0.04,0.7,0.7
612,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
613,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,24,1996,14,1,16,5,31.3,1.14,0.36,0.06,0.2,25.9,1,0,0,0.5,0.5,0.03,0.5,0.5
614,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,de Bundesliga,19,2001,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
615,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,eng Premier League,29,1991,37.9,8,48,18,37.5,1.27,0.48,0.17,0.44,19.7,0,0,0,4.6,4.6,0.1,3.4,3.4
616,Diogo Dalot\Diogo-Dalot,pt POR,DF,Milan,it Serie A,21,1999,12.1,1,10,5,50,0.83,0.41,0.1,0.2,20.4,0,0,0,0.7,0.7,0.07,0.3,0.3
617,Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20,2000,19.7,2,24,8,33.3,1.22,0.41,0.08,0.25,18.9,3,0,0,2.4,2.4,0.1,-0.4,-0.4
618,Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,fr Ligue 1,19,2001,16.4,1,8,1,12.5,0.49,0.06,0.13,1,17.7,0,0,0,0.8,0.8,0.1,0.2,0.2
619,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,29,1991,32.4,1,18,2,11.1,0.56,0.06,0.06,0.5,21.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2
620,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,33,1987,15,1,5,2,40,0.33,0.13,0.2,0.5,9.2,0,0,0,0.3,0.3,0.07,0.7,0.7
621,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,de Bundesliga,19,2000,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
622,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,36,1983,8.6,2,6,2,33.3,0.7,0.23,0.33,1,12.1,1,0,0,0.6,0.6,0.09,1.4,1.4
623,Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,it Serie A,21,1999,1.2,0,1,0,0,0.87,0,0,,23,0,0,0,0,0,0.03,0,0
624,Ebrima Darboe\Ebrima-Darboe,gm GAM,MF,Roma,it Serie A,19,2001,3.6,0,3,0,0,0.84,0,0,,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
625,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,de Bundesliga,18,2002,9.1,0,2,0,0,0.22,0,0,,18,0,0,0,0.1,0.1,0.04,-0.1,-0.1
626,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,29,1990,21.1,1,27,6,22.2,1.28,0.28,0.04,0.17,22.6,1,0,0,1.4,1.4,0.05,-0.4,-0.4
627,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,1990,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
628,Matteo Darmian\Matteo-Darmian,it ITA,DF,Inter,it Serie A,30,1989,12.9,3,9,5,55.6,0.7,0.39,0.33,0.6,13.8,0,0,0,1.2,1.2,0.14,1.8,1.8
629,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,30,1989,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
630,Jonathan David\Jonathan-David,ca CAN,FW,Lille,fr Ligue 1,20,2000,26.2,13,55,33,60,2.1,1.26,0.24,0.39,15,0,0,0,9.8,9.8,0.18,3.2,3.2
631,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,19,2000,19.6,1,4,3,75,0.2,0.15,0.25,0.33,22.1,0,0,0,0.2,0.2,0.04,0.8,0.8
632,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,27,1993,15,0,3,0,0,0.2,0,0,,13,0,0,0,0.2,0.2,0.07,-0.2,-0.2
633,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,22,1998,15.8,0,7,0,0,0.44,0,0,,24.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
634,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,eng Premier League,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.5,9.6,0,0,0,1,1,0.12,0,0
635,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,eng Premier League,20,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
636,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25,1995,20.7,0,16,4,25,0.77,0.19,0,0,10.6,0,0,0,1.3,1.3,0.09,-1.3,-1.3
637,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,eng Premier League,30,1990,21.4,3,16,5,31.3,0.75,0.23,0.19,0.6,8.3,0,0,0,1.7,1.7,0.11,1.3,1.3
638,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,29,1991,22.2,6,79,25,31.6,3.56,1.13,0.05,0.16,20.2,10,2,3,9.7,7.5,0.09,-3.7,-3.5
639,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,33,1987,9.5,0,5,1,20,0.53,0.11,0,0,12.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
640,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,26,1994,35.6,9,80,19,23.8,2.25,0.53,0.08,0.32,24,10,3,3,6.6,4.3,0.06,2.4,1.7
641,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,fr Ligue 1,27,1992,16.3,0,4,2,50,0.25,0.12,0,0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
642,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,27,1992,0.3,0,1,0,0,3.75,0,0,,20.1,0,0,0,0,0,0.03,0,0
643,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Bologna,it Serie A,32,1988,23.8,2,12,7,58.3,0.5,0.29,0.17,0.29,10.5,0,0,0,2.3,2.3,0.19,-0.3,-0.3
644,Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,fr Ligue 1,22,1998,5.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
645,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,31,1988,19.5,1,14,6,42.9,0.72,0.31,0.07,0.17,17.8,0,0,0,0.9,0.9,0.07,0.1,0.1
646,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35,1985,23.4,2,26,7,26.9,1.11,0.3,0.08,0.29,12.7,0,0,0,2.6,2.6,0.1,-0.6,-0.6
647,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29,1991,14.9,3,22,9,40.9,1.48,0.61,0.14,0.33,16.3,0,0,0,2.8,2.8,0.13,0.2,0.2
648,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,it Serie A,24,1995,4,0,5,1,20,1.25,0.25,0,0,23.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2
649,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,24,1995,6.8,0,6,1,16.7,0.88,0.15,0,0,22.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
650,Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,24,1996,7.2,0,17,5,29.4,2.35,0.69,0,0,20.4,1,0,0,1.2,1.2,0.07,-1.2,-1.2
651,Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,it Serie A,30,1990,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
652,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,28,1992,19.8,3,17,10,58.8,0.86,0.51,0.18,0.3,20.6,0,0,0,1.1,1.1,0.07,1.9,1.9
653,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,28,1991,14.3,1,8,3,37.5,0.56,0.21,0.13,0.33,13.1,0,0,0,0.4,0.4,0.05,0.6,0.6
654,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,eng Premier League,17,2003,0.4,0,1,0,0,2.25,0,0,,12,0,0,0,0,0,0.03,0,0
655,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,fr Ligue 1,34,1986,10.1,0,5,0,0,0.5,0,0,,23,0,0,0,0.2,0.2,0.03,-0.2,-0.2
656,Sacha Delaye\Sacha-Delaye,fr FRA,MF,Montpellier,fr Ligue 1,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
657,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,it Serie A,26,1994,2.9,0,1,0,0,0.34,0,0,,6.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
658,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,28,1991,27.6,15,91,34,37.4,3.3,1.23,0.16,0.44,16,2,0,1,10.8,10.1,0.11,4.2,4.9
659,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,eng Premier League,30,1989,3,0,1,0,0,0.34,0,0,,30.4,0,0,0,0,0,0.03,0,0
660,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,24,1996,7.5,1,27,8,29.6,3.59,1.06,0.04,0.13,13.6,1,0,0,3.8,3.8,0.14,-2.8,-2.8
661,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,es La Liga,24,1996,1.1,0,6,2,33.3,5.4,1.8,0,0,10.8,0,0,0,1,1,0.17,-1,-1
662,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,es La Liga,23,1997,19.7,6,55,20,36.4,2.79,1.01,0.11,0.3,17.2,0,0,0,5.6,5.6,0.1,0.4,0.4
663,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,22,1998,10.4,0,7,2,28.6,0.67,0.19,0,0,10.3,0,0,0,0.7,0.7,0.1,-0.7,-0.7
664,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,27,1993,19.4,4,44,13,29.5,2.27,0.67,0.09,0.31,23.3,5,0,0,2.4,2.4,0.05,1.6,1.6
665,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,de Bundesliga,22,1998,16.6,5,40,19,47.5,2.4,1.14,0.13,0.26,13.7,0,0,0,4.7,4.7,0.12,0.3,0.3
666,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,28,1991,17.7,2,14,5,35.7,0.79,0.28,0.14,0.4,15.5,0,0,0,1.4,1.4,0.1,0.6,0.6
667,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,25,1995,29,1,5,1,20,0.17,0.03,0.2,1,16.8,0,0,0,0.5,0.5,0.1,0.5,0.5
668,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,25,1995,27.8,1,32,8,25,1.15,0.29,0.03,0.13,13.5,0,0,0,3.3,3.3,0.1,-2.3,-2.3
669,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,19,2000,5.8,1,17,8,47.1,2.92,1.37,0.06,0.13,15.3,0,0,0,1.8,1.8,0.1,-0.8,-0.8
670,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,de Bundesliga,22,1997,5.3,0,5,0,0,0.95,0,0,,12.7,0,0,0,0.6,0.6,0.11,-0.6,-0.6
671,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,27,1993,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
672,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,it Serie A,23,1997,12.4,0,7,1,14.3,0.56,0.08,0,0,21.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
673,Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,it Serie A,23,1997,0.9,0,2,1,50,2.34,1.17,0,0,17.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
674,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,it Serie A,23,1997,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
675,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,26,1994,32.5,20,102,45,44.1,3.14,1.39,0.12,0.27,21.1,14,8,8,17.7,11.6,0.11,2.3,0.4
676,Clément Depres\Clement-Depres,fr FRA,MF,Nîmes,fr Ligue 1,25,1994,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
677,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,de Bundesliga,27,1992,15.1,0,4,2,50,0.27,0.13,0,0,10,0,0,0,0.3,0.3,0.08,-0.3,-0.3
678,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,28,1992,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
