,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
143,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,1,11,5,45.5,1.2,0.54,0.09,0.2,16.6,0,0,0,0.8,0.8,0.07,0.2,0.2
144,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,0,5,0,0,0.54,0,0,,14,0,0,0,0.2,0.2,0.04,-0.2,-0.2
145,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24,1996,10.6,1,8,5,62.5,0.75,0.47,0.13,0.2,17.6,0,0,0,0.6,0.6,0.07,0.4,0.4
146,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,10,56,19,33.9,2.16,0.73,0.14,0.42,13.5,0,2,2,10.6,9.1,0.16,-0.6,-1.1
147,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
148,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,1,8,2,25,0.22,0.06,0.13,0.5,19.4,0,0,0,0.3,0.3,0.04,0.7,0.7
149,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
150,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,26,1994,21.7,0,17,6,35.3,0.78,0.28,0,0,17.9,3,0,0,0.9,0.9,0.05,-0.9,-0.9
151,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,2,14,6,42.9,0.79,0.34,0.14,0.33,16.4,0,0,0,1.4,1.4,0.1,0.6,0.6
152,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31,1989,1.5,0,3,0,0,1.96,0,0,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2
153,Ezequiel Ávila\Ezequiel-Avila,ar ARG,MFFW,Osasuna,es La Liga,26,1994,2.2,0,8,2,25,3.56,0.89,0,0,20.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7
154,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,5,29,13,44.8,1.92,0.86,0.17,0.38,11.2,0,0,0,6.9,6.9,0.24,-1.9,-1.9
