,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
26,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1,1,90,1,2,2,7,5,71.4,1,0,0,0,0,0,0,0,0,
27,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,
28,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1,1,90,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,
29,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,5,4,361,4,10,2.49,20,13,65,0,1,3,0,0,3,3,0,0,0
30,Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,23,1997,8,8,720,8,11,1.37,41,26,73.2,1,3,4,1,12.5,1,0,0,1,
31,Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1,1,90,1,3,3,3,1,33.3,1,0,0,0,0,2,1,1,0,50
32,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3,3,270,3,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,
33,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32,32,2880,32,33,1.03,101,72,70.3,17,9,6,14,43.8,5,3,2,0,40
34,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3,3,270,3,4,1.33,10,7,70,1,1,1,1,33.3,1,1,0,0,0
35,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41,1979,2,2,180,2,3,1.5,6,3,50,1,0,1,1,50,0,0,0,0,
36,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10,10,900,10,11,1.1,45,33,77.8,5,1,4,3,30,2,1,1,0,50
37,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29,1991,2,2,180,2,7,3.5,9,3,33.3,0,0,2,0,0,1,1,0,0,0
38,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37,37,3330,37,56,1.51,180,127,71.1,17,10,10,7,18.9,5,4,1,0,20
39,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36,36,3240,36,91,2.53,203,115,57.6,6,3,27,2,5.6,5,5,0,0,0
40,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,36,1983,6,6,540,6,9,1.5,26,17,69.2,0,5,1,1,16.7,1,1,0,0,0
41,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38,38,3420,38,57,1.5,148,98,66.2,13,6,19,14,36.8,8,7,1,0,12.5
42,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28,1992,38,38,3420,38,28,0.74,111,90,81.1,25,9,4,17,44.7,9,7,2,0,22.2
43,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26,1994,34,34,3060,34,53,1.56,177,125,72.9,6,10,18,6,17.6,5,5,0,0,0
44,Gian Crespi\Gian-Crespi,it ITA,GK,Crotone,it Serie A,19,2001,1,1,90,1,0,0,1,1,100,0,1,0,1,100,0,0,0,0,
45,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3,3,270,3,10,3.33,20,11,55,1,0,2,0,0,1,1,0,0,0
46,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,1990,25,25,2250,25,43,1.72,120,81,66.7,7,4,14,4,16,4,3,1,0,25
47,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,20,1999,2,1,135,1.5,1,0.67,5,5,100,0,0,1,0,0,1,1,0,0,0
48,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,28,1992,35,35,3120,34.7,49,1.41,128,80,64.1,6,11,18,9,25.7,5,3,1,1,25
49,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,29,1990,28,28,2520,28,42,1.5,124,86,69.4,5,12,11,4,14.3,6,4,2,0,33.3
50,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,21,1999,37,37,3330,37,38,1.03,125,90,71.2,24,6,7,14,37.8,4,2,1,1,33.3
51,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,22,1997,36,36,3148,35,55,1.57,128,82,63.3,9,12,15,8,22.2,10,8,2,0,20
52,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31,1989,15,15,1350,15,25,1.67,51,33,62.7,5,5,5,2,13.3,6,6,0,0,0
53,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,31,1989,13,13,1170,13,19,1.46,59,42,69.5,5,5,3,3,23.1,1,1,0,0,0
54,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,26,1993,36,36,3240,36,28,0.78,84,63,75,25,5,6,19,52.8,8,7,1,0,12.5
55,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,24,1995,5,5,450,5,8,1.6,24,16,66.7,1,1,3,1,20,0,0,0,0,
56,Jokin Ezkieta\Jokin-Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,
57,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,35,1985,35,35,3150,35,44,1.26,134,96,69.4,17,8,10,10,28.6,6,3,2,1,40
58,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,22,22,1876,20.8,50,2.4,139,94,66.2,3,3,16,3,13.6,4,3,1,0,25
59,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,22,1998,3,1,107,1.2,3,2.52,6,3,66.7,0,0,1,0,0,1,1,0,0,0
