,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
150,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,26,1994,31,31,2742,30.5,39,1.28,128,90,71.1,15,5,11,10,32.3,3,2,0,1,0
151,Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,it Serie A,30,1990,1,0,23,0.3,1,3.91,2,1,50,0,0,0,0,,0,0,0,0,
152,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,28,1992,32,32,2880,32,37,1.16,148,114,77,10,9,13,11,34.4,3,3,0,0,0
153,Ivan Provedel\Ivan-Provedel,it ITA,GK,Spezia,it Serie A,26,1994,29,29,2610,29,55,1.9,124,74,60.5,6,10,13,4,13.8,7,6,1,0,14.3
154,Anthony Racioppi\Anthony-Racioppi,ch SUI,GK,Dijon,fr Ligue 1,21,1998,21,21,1890,21,33,1.57,93,63,67.7,2,6,13,3,14.3,4,3,1,0,25
155,Ionuț Radu\Ionut-Radu,ro ROU,GK,Inter,it Serie A,23,1997,2,1,135,1.5,1,0.67,6,5,83.3,1,0,0,0,0,0,0,0,0,
156,Rafael\Rafael,br BRA,GK,Spezia,it Serie A,38,1982,3,2,207,2.3,5,2.17,19,14,73.7,0,1,1,1,50,0,0,0,0,
157,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,fr Ligue 1,24,1995,37,37,3285,36.5,49,1.34,157,113,71.3,9,15,13,10,27,7,4,2,1,33.3
158,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22,1998,38,38,3420,38,63,1.66,205,145,70.7,7,2,29,5,13.2,4,3,0,1,0
159,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,eng Premier League,33,1987,3,3,270,3,3,1,9,6,66.7,2,0,1,1,33.3,0,0,0,0,
