,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
29,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,3,36,12,1.1,0.4,0,,,3,12,6,2.33,0,0,0,0,0.59,0.6,1.2,-0.6,-1.49,-0.95
30,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,2418,69,70.7,26.9,25,84,,10,32,0,1.17,28,47,-19,-0.71,-1.16,30.6,41.6,-10.9,-0.41,-0.06
31,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,10,10,0.3,0.1,0,,,1,10,5,0,0,1,-1,-9,-7.87,0,1.1,-1.1,-9.85,-9.31
32,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,33,1987,3,270,90,7.9,3,3,90,,0,,27,1.33,6,9,-3,-1,-1.83,6.8,5.8,1,0.33,-0.42
33,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,26,1558,60,45.6,17.3,16,83,,10,24,12,1.12,19,31,-12,-0.69,-0.26,17,25,-8,-0.46,-0.43
34,Giuseppe Agostino\Giuseppe-Agostino,it ITA,GK,Genoa,it Serie A,17,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
35,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,800,67,23.4,8.9,9,84,,3,13,22,1.08,14,14,0,0,0.69,13.2,17.2,-4.1,-0.46,0.18
36,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,15,701,47,22.9,7.8,8,76,,7,13,16,1,12,15,-3,-0.39,0.3,8.5,12.2,-3.7,-0.47,0.05
37,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,1356,47,39.6,15.1,14,72,,15,23,8,1.03,26,26,0,0,0.87,19.9,24.5,-4.6,-0.31,0.47
38,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,3147,90,92,35,35,90,,0,,0,1.54,46,36,10,0.29,-0.37,43.9,37.6,6.3,0.18,-1.01
39,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32,1988,12,559,47,16.3,6.2,7,69,,5,16,7,2.42,11,4,7,1.13,-0.26,12.2,4.4,7.8,1.25,0.18
40,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,33,2225,67,65.1,24.7,27,79,,6,14,2,1.97,37,30,7,0.28,-1.75,36.7,23.4,13.3,0.54,-1
41,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,252,42,8.2,2.8,3,43,,3,41,6,0.5,3,12,-9,-3.21,-3.53,4.4,6.7,-2.3,-0.81,-0.88
42,Sören Ahlers\Soren-Ahlers,de GER,GK,Schalke 04,de Bundesliga,22,1997,0,,,,,0,,,0,,2,,,,,,,,,,,
43,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,899,45,26.3,10,10,77,,10,13,14,0.75,5,21,-16,-1.6,-1.07,9.9,20.3,-10.4,-1.04,-0.57
44,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,20,2000,5,129,26,3.8,1.4,2,56,,3,6,6,1.8,5,3,2,1.4,1.26,2.3,1.6,0.7,0.48,0.46
45,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,27,2146,79,62.7,23.8,26,82,,1,17,0,1.19,34,38,-4,-0.17,0.19,33.9,31.6,2.3,0.1,-0.16
46,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,2,36,18,1.1,0.4,0,,,2,18,1,2,0,0,0,0,-0.9,0.2,0.4,-0.3,-0.7,-1.61
47,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
48,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,1289,52,37.7,14.3,14,80,,11,15,10,1.76,26,22,4,0.28,0.53,20.6,19.9,0.7,0.05,0.15
49,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,2664,86,77.9,29.6,31,86,,0,,4,0.84,22,36,-14,-0.47,0.96,31,41.4,-10.4,-0.35,-0.1
50,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,3,187,62,5.5,2.1,2,80,,1,28,0,1,3,8,-5,-2.41,-2.04,1.8,5.6,-3.8,-1.83,-1.68
51,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,21,1404,67,41.1,15.6,16,83,,5,15,8,1,16,23,-7,-0.45,-0.05,16.8,18.3,-1.5,-0.09,0.11
52,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,33,2780,84,81.3,30.9,31,88,,2,26,4,0.64,31,71,-40,-1.29,-1.15,26.4,58.2,-31.7,-1.03,-0.71
53,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,35,2967,85,86.8,33,34,87,,1,25,1,1.2,46,49,-3,-0.09,1.1,48.4,41.1,7.3,0.22,0.48
