,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
601,Luis Castillo\Luis-Castillo,es ESP,GK,Elche,es La Liga,20,2000,0,,,,,0,,,0,,4,,,,,,,,,,,
602,Aritz Castro\Aritz-Castro,es ESP,GK,Alavés,es La Liga,22,1998,0,,,,,0,,,0,,3,,,,,,,,,,,
603,Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,de Bundesliga,33,1987,26,1729,67,56.5,19.2,23,73,,3,19,3,1.42,29,31,-2,-0.1,-0.31,27.7,29.6,-1.9,-0.1,-0.22
604,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,eng Premier League,26,1994,7,495,71,14.5,5.5,7,71,,0,,0,1.29,3,4,-1,-0.18,0.28,5.7,5.6,0.1,0.02,0.21
605,Óscar Castro\Oscar-Castro,es ESP,MF,Atlético Madrid,es La Liga,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
606,Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,it Serie A,23,1997,34,2332,69,68.2,25.9,29,76,,5,26,1,0.97,31,39,-8,-0.31,0.02,31.6,36.1,-4.5,-0.18,0.27
607,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,it Serie A,25,1994,19,568,30,16.6,6.3,4,66,,15,20,14,1.53,7,14,-7,-1.11,-1.52,10.3,10.7,-0.4,-0.06,-0.46
608,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,eng Premier League,26,1993,36,2472,69,72.3,27.5,27,85,,9,21,0,0.75,19,43,-24,-0.87,-0.68,27.8,40,-12.2,-0.45,-0.42
609,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,eng Premier League,33,1987,26,1375,53,40.2,15.3,13,81,,13,25,0,1.85,28,17,11,0.72,-0.07,23.9,16.3,7.6,0.5,0.04
610,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,eng Premier League,23,1996,25,1615,65,47.2,17.9,17,84,,8,24,10,1.28,23,17,6,0.33,-0.16,26,19,7.1,0.39,0.29
611,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Hellas Verona,it Serie A,28,1992,25,1738,70,50.8,19.3,23,74,,2,15,3,1.08,23,24,-1,-0.05,0,23.7,25.8,-2.1,-0.11,0.15
612,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,28,1992,3,270,90,7.9,3,3,90,,0,,0,1,5,6,-1,-0.33,-0.02,6.4,5.8,0.6,0.2,0.5
613,Christian Celesia\Christian-Celesia,it ITA,MF,Torino,it Serie A,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
614,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,23,1997,29,2381,82,69.6,26.5,28,85,,1,8,1,2.28,45,12,33,1.25,0.55,33,17.5,15.5,0.59,-0.1
615,Bersant Celina\Bersant-Celina,xk KVX,MFFW,Dijon,fr Ligue 1,23,1996,32,2298,72,67.2,25.5,25,83,,7,33,0,0.59,18,42,-24,-0.94,0.99,21,46.9,-25.8,-1.01,0.4
616,Álex Centelles\Alex-Centelles,es ESP,DF,Valencia,es La Liga,22,1997,0,,,,,0,,,0,,4,,,,,,,,,,,
617,Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,fr Ligue 1,24,1996,36,3221,89,94.2,35.8,36,89,,0,,0,1.25,41,45,-4,-0.11,-0.11,38.3,46,-7.7,-0.21,-0.03
618,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,30,1989,19,1465,77,42.8,16.3,16,86,,3,31,5,1.16,17,23,-6,-0.37,0.09,16.7,24.9,-8.2,-0.5,-0.07
619,Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,24,1996,23,369,16,10.8,4.1,3,58,,20,10,12,0.83,5,7,-2,-0.49,-0.07,6.9,9.2,-2.3,-0.55,-0.1
620,César\Cesar,es ESP,MF,Elche,es La Liga,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
621,Sava Cestic\Sava-Cestic,de GER,DF,Köln,de Bundesliga,19,2001,11,899,82,29.4,10,11,82,,0,,6,1.27,10,19,-9,-0.9,-0.32,8,16.4,-8.4,-0.84,-0.52
622,Julian Chabot\Julian-Chabot,de GER,DF,Spezia,it Serie A,22,1998,25,1655,66,48.4,18.4,19,83,,6,15,8,0.76,22,35,-13,-0.71,-0.35,21.1,33.8,-12.8,-0.69,-0.2
623,Julian Chabot\Julian-Chabot,de GER,DF,Sampdoria,it Serie A,22,1998,0,,,,,0,,,0,,1,,,,,,,,,,,
624,Nassim Chadli\Nassim-Chadli,fr FRA,FWMF,Nîmes,fr Ligue 1,19,2001,3,31,10,0.9,0.3,0,,,3,10,4,1,0,1,-1,-2.9,-2.11,0.2,0.5,-0.3,-0.82,-0.2
625,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,33,1986,23,1622,71,47.4,18,18,85,,5,18,11,0.43,12,41,-29,-1.61,-0.66,15.9,37.8,-21.8,-1.21,-0.13
626,Mehdi Chahiri\Mehdi-Chahiri,ma MAR,FWMF,Strasbourg,fr Ligue 1,24,1996,23,801,35,23.4,8.9,8,66,,15,18,9,0.78,11,17,-6,-0.67,-0.57,13.2,13.5,-0.3,-0.03,-0.24
627,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,es La Liga,26,1993,1,13,13,0.4,0.1,0,,,1,13,8,3,0,0,0,0,-0.42,0.3,0.1,0.2,1.14,0.77
628,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,es La Liga,26,1993,11,897,82,26.2,10,9,89,,2,46,7,0.64,4,14,-10,-1,-0.82,5.6,14,-8.4,-0.84,-0.87
629,Aníbal Chalá\Anibal-Chala,ec ECU,DF,Dijon,fr Ligue 1,24,1996,13,744,57,21.8,8.3,9,77,,4,14,7,0.38,5,19,-14,-1.69,-0.55,6.3,17.8,-11.6,-1.4,-0.33
630,Trevoh Chalobah\Trevoh-Chalobah,eng ENG,DFMF,Lorient,fr Ligue 1,21,1999,29,2237,77,65.4,24.9,24,87,,5,30,2,1.14,33,46,-13,-0.52,-0.14,32.6,35.5,-2.9,-0.12,-0.01
631,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,eng Premier League,25,1995,10,753,75,22,8.4,8,89,,2,21,8,2,16,10,6,0.72,0.38,11.5,10.5,1,0.12,-0.15
632,Timothy Chandler\Timothy-Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,30,1990,15,432,29,14.1,4.8,3,86,,12,15,17,1.67,10,12,-2,-0.42,-1.03,8.8,10.4,-1.6,-0.34,-0.66
633,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,26,1994,12,216,18,7.1,2.4,1,65,,11,14,6,1,3,6,-3,-1.25,-1.34,2.6,5.8,-3.2,-1.34,-1.2
634,Gaëtan Charbonnier\Gaetan-Charbonnier,fr FRA,MFFW,Brest,fr Ligue 1,31,1988,36,1570,44,45.9,17.4,17,76,,19,14,1,1.08,25,30,-5,-0.29,0.25,26.6,24.7,1.9,0.11,0.61
635,Brendan Chardonnet\Brendan-Chardonnet,fr FRA,DF,Brest,fr Ligue 1,25,1994,33,2716,82,79.4,30.2,30,90,,3,10,3,1.15,37,49,-12,-0.4,0.11,35.9,46,-10.1,-0.33,-0.56
636,Kgagelo Chauke\Kgagelo-Chauke,eng ENG,MF,Southampton,eng Premier League,17,2003,0,,,,,0,,,0,,10,,,,,,,,,,,
637,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,29,1991,30,2547,85,74.5,28.3,29,88,,1,9,0,1.1,26,33,-7,-0.25,-0.14,22.2,44.3,-22.1,-0.78,-0.21
638,Pape Cheikh Diop\Pape-Cheikh-Diop,sn SEN,MF,Dijon,fr Ligue 1,22,1997,21,1089,52,31.8,12.1,13,73,,8,18,7,0.67,8,17,-9,-0.74,0.76,9.8,23.1,-13.2,-1.09,0.07
639,Chema\Chema,es ESP,DFMF,Getafe,es La Liga,28,1992,10,557,56,16.3,6.2,7,76,,3,9,23,0.7,4,10,-6,-0.97,-0.69,5.6,8.6,-3,-0.48,-0.34
640,Rayan Cherki\Rayan-Cherki,fr FRA,FWMF,Lyon,fr Ligue 1,16,2003,27,698,26,20.4,7.8,5,71,,22,16,10,1.78,13,6,7,0.9,-0.12,13.6,6.7,6.9,0.89,-0.23
641,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,es La Liga,29,1990,21,1101,52,32.2,12.2,13,70,,8,23,3,1.05,19,21,-2,-0.16,-0.12,16.3,18.4,-2,-0.17,0.15
642,Lucas Chevalier\Lucas-Chevalier,fr FRA,GK,Lille,fr Ligue 1,18,2001,0,,,,,0,,,0,,14,,,,,,,,,,,
643,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,35,1984,17,1386,82,40.5,15.4,16,86,,1,8,8,1.94,29,18,11,0.71,-0.52,27.4,17.4,10,0.65,-0.5
644,Federico Chiesa\Federico-Chiesa,it ITA,DF,Fiorentina,it Serie A,22,1997,3,240,80,7,2.7,3,80,,0,,0,1,5,4,1,0.37,0.74,5.9,4.6,1.3,0.48,0.8
645,Federico Chiesa\Federico-Chiesa,it ITA,MFDF,Juventus,it Serie A,22,1997,30,2210,74,64.6,24.6,28,78,,2,7,1,2.07,50,25,25,1.02,-0.02,47.4,22.7,24.7,1,0.16
646,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,eng Premier League,23,1996,27,2286,85,66.8,25.4,27,85,,0,,7,1.7,38,23,15,0.59,0.03,42.9,20.2,22.8,0.9,0.23
647,Chinchu\Chinchu,es ESP,DF,Getafe,es La Liga,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
648,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Sassuolo,it Serie A,30,1989,24,1837,77,53.7,20.4,22,82,,2,22,6,1.88,40,32,8,0.39,0.39,33.2,31.5,1.7,0.08,-0.06
649,Pedro Chirivella\Pedro-Chirivella,es ESP,MF,Nantes,fr Ligue 1,23,1997,32,2280,71,66.7,25.3,26,83,,6,23,6,1.03,38,35,3,0.12,0.99,34.4,36.5,-2,-0.08,0.35
650,Lorenzo Chiti\Lorenzo-Chiti,it ITA,DF,Fiorentina,it Serie A,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
651,Tahith Chong\Tahith-Chong,nl NED,FWMF,Werder Bremen,de Bundesliga,20,1999,13,386,30,12.6,4.3,4,68,,9,13,6,1.08,5,8,-3,-0.7,-0.09,3.9,6,-2.1,-0.5,0.01
652,Joris Chotard\Joris-Chotard,fr FRA,MF,Montpellier,fr Ligue 1,18,2001,29,1165,40,34.1,12.9,11,76,,18,18,7,1.41,16,28,-12,-0.93,-1.33,14.3,26.2,-11.8,-0.91,-0.68
653,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,eng Premier League,22,1997,10,316,32,9.2,3.5,4,71,,6,6,21,1.8,3,2,1,0.28,-0.21,4.8,4.7,0.1,0.03,-0.21
654,Mounir Chouiar\Mounir-Chouiar,fr FRA,FWMF,Dijon,fr Ligue 1,21,1999,23,1288,56,37.7,14.3,14,74,,9,28,5,0.48,8,30,-22,-1.54,-0.44,12.3,30.3,-18,-1.26,-0.19
655,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,eng Premier League,24,1996,17,1371,81,40.1,15.2,15,84,,2,57,6,1.94,21,15,6,0.39,-0.31,26.1,14.5,11.5,0.76,-0.11
656,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,eng Premier League,27,1992,0,,,,,0,,,0,,1,,,,,,,,,,,
657,Carney Chukwuemeka\Carney-Chukwuemeka,eng ENG,FWMF,Aston Villa,eng Premier League,16,2004,2,20,10,0.6,0.2,0,,,2,10,5,3,0,0,0,0,-0.24,0.1,0.5,-0.4,-1.78,-1.79
658,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,21,1999,28,1365,49,39.9,15.2,13,76,,15,25,1,1.61,21,19,2,0.13,-0.48,25,18,7,0.46,0.13
659,Darko Churlinov\Darko-Churlinov,mk MKD,DFFW,Stuttgart,de Bundesliga,20,2000,14,216,15,7.1,2.4,0,,,14,15,8,1.29,6,3,3,1.25,1.31,3.5,2.8,0.7,0.27,0.29
660,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,es La Liga,20,2000,2,95,48,2.8,1.1,1,90,,1,5,9,2,0,0,0,0,-1.06,0.6,1.5,-1,-0.9,-1.61
661,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3,270,90,7.9,3,3,90,,0,,25,1.33,4,4,0,0,0.46,4.5,5.6,-1.1,-0.38,-0.18
662,Riccardo Ciervo\Riccardo-Ciervo,it ITA,FW,Roma,it Serie A,18,2002,0,,,,,0,,,0,,4,,,,,,,,,,,
663,Cifu\Cifu,es ESP,DF,Elche,es La Liga,29,1990,11,451,41,13.2,5,4,67,,7,26,23,1,6,10,-4,-0.8,-0.28,5,8.1,-3.1,-0.61,0.15
664,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41,1979,2,180,90,5.3,2,2,90,,0,,2,1.5,3,3,0,0,0.61,2.4,3,-0.6,-0.3,0.27
665,Luca Cigarini\Luca-Cigarini,it ITA,MF,Crotone,it Serie A,34,1986,14,929,66,27.2,10.3,13,70,,1,14,4,0.71,10,19,-9,-0.87,0.5,11.4,17.1,-5.7,-0.55,0.44
666,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10,900,90,26.3,10,10,90,,0,,5,1.6,15,11,4,0.4,0.65,11.2,13.8,-2.6,-0.26,0.02
667,Giuseppe Ciocci\Giuseppe-Ciocci,it ITA,GK,Cagliari,it Serie A,18,2002,0,,,,,0,,,0,,4,,,,,,,,,,,
668,Antonio Cioffi\Antonio-Cioffi,it ITA,FW,Napoli,it Serie A,17,2002,1,12,12,0.4,0.1,0,,,1,12,19,3,1,0,1,7.5,6.34,0.1,0.1,0,0.36,-0.33
669,Tim Civeja\Tim-Civeja,de GER,MFDF,Augsburg,de Bundesliga,18,2002,3,34,11,1.1,0.4,0,,,3,11,8,0,0,0,0,0,0.54,0,0.7,-0.7,-1.81,-1.25
670,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,eng Premier League,30,1989,22,1891,86,55.3,21,21,88,,1,37,8,0.95,19,35,-16,-0.76,-0.76,17.5,29.9,-12.4,-0.59,-0.55
671,Leighton Clarkson\Leighton-Clarkson,eng ENG,MF,Liverpool,eng Premier League,18,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
672,Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,22,1998,30,1910,64,55.8,21.2,21,81,,9,24,3,1.1,31,34,-3,-0.14,-0.14,26.8,30.5,-3.7,-0.17,-0.11
673,Jonathan Clauss\Jonathan-Clauss,fr FRA,DF,Lens,fr Ligue 1,27,1992,33,2521,76,73.7,28,30,82,,3,21,4,1.42,42,41,1,0.04,0.04,41.1,35.9,5.3,0.19,-0.12
674,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,es La Liga,28,1992,35,2781,79,81.3,30.9,30,90,,5,16,2,1.14,39,47,-8,-0.26,0.16,35.4,41.2,-5.8,-0.19,0.83
675,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,eng Premier League,29,1991,13,1145,88,33.5,12.7,13,88,,0,,9,1.31,16,22,-6,-0.47,0.28,12.5,18.3,-5.8,-0.45,0.31
676,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,27,1993,37,3303,89,96.6,36.7,37,89,,0,,0,1.19,35,51,-16,-0.44,-0.44,37.1,44.4,-7.3,-0.2,-1.14
677,Marcus Coco\Marcus-Coco,fr FRA,MFFW,Nantes,fr Ligue 1,24,1996,32,1474,46,43.1,16.4,16,73,,16,19,4,1.19,17,23,-6,-0.37,-0.27,20.1,25.3,-5.2,-0.32,-0.21
678,Coke\Coke,es ESP,DF,Levante,es La Liga,33,1987,17,835,49,24.4,9.3,11,69,,6,12,20,1.18,11,14,-3,-0.32,-0.04,8,15.4,-7.4,-0.79,-0.6
679,Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,eng Premier League,31,1988,25,1613,65,47.2,17.9,18,81,,7,23,3,1.56,23,19,4,0.22,0.47,23.1,21.6,1.5,0.09,0.37
680,Álex Collado\Alex-Collado,es ESP,MF,Barcelona,es La Liga,21,1999,0,,,,,0,,,0,,1,,,,,,,,,,,
681,Ebrima Colley\Ebrima-Colley,gm GAM,FWMF,Hellas Verona,it Serie A,20,2000,23,734,32,21.5,8.2,4,68,,19,24,8,1.17,9,10,-1,-0.12,-0.09,11,10.8,0.3,0.03,0.27
682,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,27,1992,29,2591,89,75.8,28.8,28,90,,1,71,6,1.38,38,40,-2,-0.07,-0.07,34.1,41,-7,-0.24,0.16
683,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29,1991,2,180,90,5.3,2,2,90,,0,,34,0,4,7,-3,-1.5,-0.36,2.7,4.7,-1.9,-0.97,-0.43
684,Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,it Serie A,18,2002,4,94,24,2.7,1,1,45,,3,16,13,2.25,1,0,1,0.96,0.09,2.2,0.6,1.6,1.51,0.86
685,Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,24,1995,1,17,17,0.5,0.2,0,,,1,17,4,1,0,0,0,0,0.08,0,0.1,0,-0.19,-0.06
686,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,24,1996,29,1752,60,57.3,19.5,23,70,,6,23,2,2.17,49,24,25,1.28,-0.78,41,23,18,0.92,-0.23
687,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,35,1985,38,3292,87,96.3,36.6,38,87,,0,,0,1.42,58,61,-3,-0.08,-0.79,46.4,62.7,-16.3,-0.45,0.48
688,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,20,2000,17,791,47,23.1,8.8,9,68,,8,23,11,0.88,12,17,-5,-0.57,-0.53,13.8,7.8,6,0.69,0.42
689,Jomaine Consbruch\Jomaine-Consbruch,de GER,MF,Arminia,de Bundesliga,18,2002,0,,,,,0,,,0,,7,,,,,,,,,,,
690,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37,3330,90,97.4,37,37,90,,0,,0,1.65,64,56,8,0.22,0.22,58.8,53.7,5,0.14,0.9
691,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,26,1994,3,28,9,0.8,0.3,0,,,3,9,12,2,0,0,0,0,-0.88,0.8,0.4,0.4,1.21,0.55
692,Andrea Conti\Andrea-Conti,it ITA,DF,Parma,it Serie A,26,1994,11,809,74,23.7,9,9,88,,2,9,1,0.55,11,19,-8,-0.89,0.35,12.5,12.6,-0.1,-0.01,0.72
693,Nikita Contini Baranovsky\Nikita-Contini-Baranovsky,it ITA,GK,Napoli,it Serie A,24,1996,0,,,0,0,0,,,0,,37,3,2,0,2,,,,,,,
694,Gianluca Contini\Gianluca-Contini,it ITA,FW,Cagliari,it Serie A,19,2001,0,,,,,0,,,0,,4,,,,,,,,,,,
695,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,eng Premier League,28,1991,25,2185,87,63.9,24.3,25,87,,0,,1,1.52,38,40,-2,-0.08,-0.81,37.7,40.6,-2.8,-0.12,0.07
696,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,es La Liga,29,1991,22,736,33,21.5,8.2,7,62,,15,20,2,1.5,10,12,-2,-0.24,-0.85,10.6,8.9,1.7,0.21,-0.21
697,Theo Corbeanu\Theo-Corbeanu,ca CAN,FW,Wolves,eng Premier League,18,2002,1,9,9,0.3,0.1,0,,,1,9,10,0,0,0,0,0,0.42,0.1,0,0.1,0.51,0.67
698,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Nantes,fr Ligue 1,29,1990,25,2066,83,60.4,23,23,88,,2,16,1,1.04,31,32,-1,-0.04,0.42,29.9,34.9,-5.1,-0.22,-0.06
699,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36,3240,90,94.7,36,36,90,,0,,1,0.58,44,91,-47,-1.31,-1.31,36.1,69,-32.9,-0.91,-0.81
700,Asier Córdoba\Asier-Cordoba,es ESP,FW,Osasuna,es La Liga,20,2000,0,,,,,0,,,0,,5,,,,,,,,,,,
701,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,es La Liga,23,1997,3,95,32,2.8,1.1,1,58,,2,19,10,1,1,2,-1,-0.95,-1.08,1.1,0.8,0.2,0.24,0.02
702,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,es La Liga,23,1997,7,216,31,6.3,2.4,3,49,,4,18,2,0.57,2,6,-4,-1.67,-1.19,2.3,3.7,-1.3,-0.56,-0.36
703,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Hertha BSC,de Bundesliga,27,1993,21,1537,73,50.2,17.1,17,82,,4,37,0,1.14,22,26,-4,-0.23,0.18,24.9,20.6,4.4,0.26,0.79
704,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Arminia,de Bundesliga,22,1997,23,1090,47,35.6,12.1,13,67,,10,22,1,1,8,17,-9,-0.74,0.03,9.6,19.7,-10.1,-0.83,-0.15
705,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,31,1989,16,1350,84,39.5,15,15,87,,1,45,5,1,17,24,-7,-0.47,0.19,16.9,22.1,-5.2,-0.35,0.21
706,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,27,1993,29,1898,65,55.5,21.1,21,80,,8,29,2,0.48,20,44,-24,-1.14,0.04,22.1,33.1,-11,-0.52,0.09
707,Maxwel Cornet\Maxwel-Cornet,ci CIV,DFFW,Lyon,fr Ligue 1,23,1996,36,2446,68,71.5,27.2,29,78,,7,24,0,1.94,64,34,30,1.1,0.36,64.9,32.1,32.8,1.21,0.44
708,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,25,1995,38,2393,63,70,26.6,29,72,,9,35,0,2.26,39,14,25,0.94,-0.55,36.1,20.1,16,0.6,0.28
709,Joaquín Correa\Joaquin-Correa,ar ARG,FW,Lazio,it Serie A,25,1994,28,1933,69,56.5,21.5,25,74,,3,26,4,1.71,35,40,-5,-0.23,-0.9,33.5,29,4.5,0.21,-0.25
710,Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,27,1992,15,1136,76,33.2,12.6,13,82,,2,38,7,1.13,12,10,2,0.16,1.14,16.4,10.7,5.8,0.46,0.89
711,Félix Correia\Felix-Correia,pt POR,MF,Juventus,it Serie A,19,2001,1,7,7,0.2,0.1,0,,,1,7,7,3,1,0,1,12.86,11.86,0.3,0,0.3,3.37,2.42
712,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,21,1999,29,2137,74,62.5,23.7,25,83,,4,16,6,1.14,29,31,-2,-0.08,-0.01,27.1,30,-3,-0.13,0.39
713,Antonio Cortés\Antonio-Cortes,es ESP,FW,Granada,es La Liga,20,2000,0,,,,,0,,,0,,3,,,,,,,,,,,
714,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,36,1983,6,540,90,15.8,6,6,90,,0,,30,0.83,7,9,-2,-0.33,0.04,6.7,9.4,-2.7,-0.45,-0.19
715,Danny da Costa\Danny-da-Costa,de GER,DF,Mainz 05,de Bundesliga,27,1993,16,1208,76,39.5,13.4,15,79,,1,20,0,1.81,19,17,2,0.15,1.07,16.9,16.6,0.3,0.02,0.22
716,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27,1993,6,110,18,3.6,1.2,1,45,,5,13,7,1,2,6,-4,-3.27,-3.88,2,2.5,-0.5,-0.39,-0.64
717,David Pereira da Costa\David-Pereira-da-Costa,pt POR,MFFW,Lens,fr Ligue 1,19,2001,8,158,20,4.6,1.8,1,66,,7,13,18,1.63,7,6,1,0.57,0.57,2.4,4.2,-1.8,-1.01,-1.29
718,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,31,1988,7,208,30,6.1,2.3,2,59,,5,18,0,2.43,5,0,5,2.16,1.13,4.9,2.1,2.8,1.2,0.73
719,Douglas Costa\Douglas-Costa,br BRA,FWMF,Bayern Munich,de Bundesliga,29,1990,11,320,29,10.5,3.6,3,65,,8,16,5,2.36,7,5,2,0.56,-1.18,4.5,5.2,-0.7,-0.19,-1.36
720,Douglas Costa\Douglas-Costa,br BRA,MFFW,Juventus,it Serie A,29,1990,2,42,21,1.2,0.5,0,,,2,21,0,2,2,0,2,4.29,3.3,0.6,0.7,0,-0.11,-1.07
721,Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,eng Premier League,26,1994,22,1156,53,33.8,12.8,13,74,,9,22,10,1.27,21,23,-2,-0.16,-0.55,16.7,22.7,-6,-0.47,-0.49
722,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,es La Liga,32,1988,14,351,25,10.3,3.9,3,60,,11,15,22,1.71,5,6,-1,-0.26,-0.75,6.5,5.2,1.3,0.33,-0.06
723,João Paulo Santos Costa\Joao-Paulo-Santos-Costa,pt POR,GK,Granada,es La Liga,24,1996,0,,,,,0,,,0,,18,,,,,,,,,,,
724,Davide Costanzo\Davide-Costanzo,it ITA,DF,Napoli,it Serie A,18,2002,0,,,,,0,,,0,,11,,,,,,,,,,,
725,David Costas\David-Costas,es ESP,DF,Celta Vigo,es La Liga,25,1995,0,,,,,0,,,0,,8,,,,,,,,,,,
726,Charles Costes\Charles-Costes,fr FRA,MF,Dijon,fr Ligue 1,17,2002,1,2,2,0.1,0,0,,,1,2,0,3,0,0,0,0,1.26,0.1,0,0.1,6.21,7.36
727,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38,3420,90,100,38,38,90,,0,,0,1.18,42,56,-14,-0.37,,42,56.8,-14.7,-0.39,
728,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,eng Premier League,27,1992,34,3054,90,89.3,33.9,34,90,,0,,1,1.79,57,43,14,0.41,0.17,48.4,44.2,4.2,0.12,-0.25
729,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,28,1991,17,981,58,28.7,10.9,11,80,,6,17,7,1.12,15,9,6,0.55,1.07,13.7,12.6,1.2,0.11,0.43
730,Lassana Coulibaly\Lassana-Coulibaly,ml MLI,MFFW,Angers,fr Ligue 1,24,1996,29,1687,58,49.3,18.7,18,82,,11,20,1,1.14,20,30,-10,-0.53,-0.12,18.6,23.2,-4.6,-0.25,-0.01
