,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
106,Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,20,1999,1,1,0,0,0,0,0.3,0.16,-0.7,-0.68,4,15,26.7,25,2,36,32.5,12,50,39.9,7,0,0,1,1,16
107,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35,1985,37,45,3,1,8,1,42.9,0.33,-1.1,-0.03,201,561,35.8,1034,187,38.1,35.5,290,57.6,44.7,367,26,7.1,22,0.59,14.1
108,Niccolò Manfredini\Niccolo-Manfredini,it ITA,GK,Benevento,it Serie A,32,1988,1,1,0,0,1,0,1.6,0.33,0.6,0.64,1,5,20,24,10,8.3,26,7,42.9,42,13,3,23.1,1,1,14.9
109,Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,32,1988,9,14,2,0,1,0,11.9,0.34,-2.1,-0.23,55,138,39.9,226,26,41.2,36.4,61,73.8,54,63,3,4.8,6,0.67,18.8
110,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,37,1983,3.7,11,0,0,1,0,8,0.42,-3,-0.8,13,34,38.2,101,19,17.8,26.8,35,45.7,35.7,27,0,0,3,0.81,13.6
111,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,27,1992,38,46,5,2,4,1,52.4,0.27,7.4,0.2,289,728,39.7,1041,162,52.7,42.5,254,70.5,52.9,393,33,8.4,21,0.55,13.1
112,Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,de Bundesliga,22,1998,1,2,0,0,1,0,2,0.49,0,-0.03,3,13,23.1,44,5,29.5,32,5,0,17.4,9,0,0,1,1,14.2
113,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,31,1989,25,40,4,1,3,0,40.1,0.32,0.1,0,177,555,31.9,582,91,64.6,47.6,218,82.1,61.8,263,14,5.3,13,0.52,13.7
114,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,30,1989,30,57,6,1,4,1,47.9,0.31,-8.1,-0.27,155,525,29.5,898,124,45.8,36.8,171,66.7,47.6,239,22,9.2,20,0.67,15.1
115,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,fr Ligue 1,28,1992,1,1,0,0,0,0,0.6,0.56,-0.4,-0.44,7,12,58.3,23,2,43.5,37.9,6,33.3,35.2,6,1,16.7,0,0,10
116,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,eng Premier League,28,1992,30.5,25,2,1,4,1,24.1,0.27,0.1,0,126,265,47.5,826,125,24.5,28.7,181,34.8,32.3,207,13,6.3,20,0.66,15.3
117,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,23,1997,22,29,2,1,3,1,22.8,0.28,-5.2,-0.23,63,117,53.8,511,97,18,26.7,96,26,28.2,149,15,10.1,6,0.27,13
118,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,eng Premier League,20,2000,35,52,8,1,11,2,55.3,0.27,5.3,0.15,181,409,44.3,1082,269,28.4,30.6,266,38.3,34,198,21,10.6,20,0.57,13.6
119,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,it Serie A,23,1997,5,6,1,0,0,0,4.7,0.2,-1.3,-0.26,23,77,29.9,147,18,40.8,40.7,32,53.1,46.8,34,2,5.9,5,1,14.3
120,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,37,1983,12.8,19,2,1,0,0,15.9,0.25,-3.1,-0.24,70,149,47,346,69,35.3,33.2,90,30,29.8,112,2,1.8,15,1.17,15.8
121,Lorenzo Montipò\Lorenzo-Montipo,it ITA,GK,Benevento,it Serie A,24,1996,37,74,4,0,11,6,64.4,0.36,-3.6,-0.1,249,668,37.3,964,172,51.9,40.8,272,61.8,46,375,36,9.6,21,0.57,14.7
122,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,34,1986,29,42,4,3,6,2,38.1,0.34,-1.9,-0.06,140,370,37.8,679,146,35.3,36.6,202,64.4,49.5,220,13,5.9,9,0.31,13.5
123,Florian Müller\Florian-Muller,de GER,GK,Freiburg,de Bundesliga,22,1997,31,46,2,2,3,2,47.1,0.3,3.1,0.1,189,587,32.2,1066,149,36.3,36.9,272,73.5,57.3,245,12,4.9,23,0.74,15.1
124,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,it Serie A,26,1994,35,51,13,2,2,0,53.7,0.31,2.7,0.08,185,419,44.2,771,171,40.2,35.6,253,43.1,36.4,292,28,9.6,15,0.43,12.9
125,Paul Nardi\Paul-Nardi,fr FRA,GK,Lorient,fr Ligue 1,26,1994,23,44,4,0,3,0,31.5,0.27,-11.5,-0.5,116,355,32.7,442,108,48.9,40.3,197,70.6,54.3,180,9,5,14,0.61,14.9
126,Keylor Navas\Keylor-Navas,cr CRC,GK,Paris S-G,fr Ligue 1,33,1986,28,18,1,0,3,0,22,0.23,4,0.14,105,190,55.3,573,113,26.4,30.3,172,22.7,28.4,202,7,3.5,12,0.43,13.1
127,Neto\Neto,br BRA,GK,Barcelona,es La Liga,31,1989,7,6,2,0,1,0,6.7,0.24,0.7,0.1,22,47,46.8,186,36,21,27.6,53,15.1,24.4,64,4,6.3,4,0.57,15
128,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,de Bundesliga,34,1986,33,42,1,0,5,0,44.2,0.34,2.2,0.07,239,391,61.1,1130,188,30.9,32.1,186,22.6,29.1,228,6,2.6,42,1.27,16.5
129,Will Norris\Will-Norris,eng ENG,GK,Burnley,eng Premier League,26,1993,2,4,0,0,2,0,1.1,0.19,-2.9,-1.44,21,50,42,37,1,89.2,62.6,19,89.5,67.7,18,1,5.6,1,0.5,15.1
130,Alexander Nübel\Alexander-Nubel,de GER,GK,Bayern Munich,de Bundesliga,23,1996,1,2,0,0,1,0,1.9,0.47,-0.1,-0.11,1,3,33.3,27,2,11.1,26.7,8,0,28.1,10,0,0,0,0,9.5
131,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,es La Liga,27,1993,38,25,1,0,6,3,31.8,0.25,9.8,0.26,269,620,43.4,714,122,59.5,44.6,289,67.5,50.2,327,19,5.8,18,0.47,15.3
132,Robin Olsen\Robin-Olsen,se SWE,GK,Everton,eng Premier League,30,1990,7,9,1,0,0,0,9.5,0.33,0.5,0.08,50,104,48.1,148,21,49.3,41.1,51,60.8,46.3,51,4,7.8,1,0.14,11
133,Jonas Omlin\Jonas-Omlin,ch SUI,GK,Montpellier,fr Ligue 1,26,1994,29.7,51,11,0,5,2,51.2,0.29,2.2,0.08,234,505,46.3,739,173,46.1,39,243,67.5,51.9,266,24,9,14,0.47,13.8
134,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,de Bundesliga,27,1992,34,52,5,0,6,1,52.1,0.29,1.1,0.03,488,1038,47,1720,116,51.1,43.4,246,64.6,51.6,338,28,8.3,34,1,15.3
135,David Ospina\David-Ospina,co COL,GK,Napoli,it Serie A,31,1988,16,12,3,0,0,0,13.2,0.27,1.2,0.07,73,155,47.1,483,49,29.6,31.4,56,21.4,25.6,117,11,9.4,12,0.75,15.4
136,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Metz,fr Ligue 1,32,1988,34,39,9,0,5,1,40.5,0.27,3.5,0.1,265,601,44.1,748,189,52.9,42.9,287,71.4,53.2,322,38,11.8,37,1.09,16.7
137,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,es La Liga,28,1992,37.2,57,3,0,6,0,55.1,0.38,-1.9,-0.05,329,642,51.2,780,112,58.2,44.9,301,62.5,47.2,330,31,9.4,23,0.62,14.8
138,Daniele Padelli\Daniele-Padelli,it ITA,GK,Inter,it Serie A,34,1985,0.5,1,1,0,0,0,1,0.14,0,0.08,2,2,100,9,1,11.1,19.7,4,25,32.5,4,0,0,1,2,26
139,Alberto Paleari\Alberto-Paleari,it ITA,GK,Genoa,it Serie A,27,1992,2.3,3,0,0,0,0,3.9,0.34,0.9,0.37,9,36,25,59,12,47.5,39,19,42.1,37.3,24,0,0,0,0,9.5
140,Ivor Pandur\Ivor-Pandur,hr CRO,GK,Hellas Verona,it Serie A,20,2000,3.7,6,0,0,1,0,5.3,0.41,-0.7,-0.2,13,60,21.7,79,8,48.1,38.1,22,100,64.2,26,1,3.8,2,0.54,16.8
141,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,eng Premier League,32,1988,37,51,7,1,9,3,44.6,0.28,-3.4,-0.09,205,454,45.2,536,129,53,40.6,265,64.2,44.9,374,22,5.9,6,0.16,11.5
142,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,28,1992,34,57,4,0,7,3,47.4,0.28,-6.6,-0.19,242,521,46.4,865,165,42.7,37.6,283,53.7,43.4,360,21,5.8,22,0.65,14.1
143,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,23,1996,4,14,0,0,2,0,9.5,0.38,-4.5,-1.14,41,94,43.6,84,5,81,57.6,29,89.7,68,36,0,0,3,0.75,15.4
144,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,39,1981,1,0,0,0,0,0,0,0.04,0,0.04,0,1,0,13,2,7.7,18.5,8,0,13.6,4,0,0,0,0,14.5
145,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,37,1982,1,2,0,0,0,0,2.4,0.47,0.4,0.35,0,0,,22,7,0,20.5,3,0,14.7,8,1,12.5,1,1,13
146,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,de Bundesliga,35,1985,3,3,0,1,0,0,4.6,0.35,1.6,0.53,12,25,48,90,19,25.6,29.7,20,10,19.3,10,0,0,1,0.33,16.8
147,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,es La Liga,24,1996,3,3,1,0,0,0,2.6,0.25,-0.4,-0.12,23,60,38.3,58,7,56.9,47.2,29,93.1,70.7,35,0,0,1,0.33,14.3
148,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,27,1992,32,44,7,0,6,2,47.2,0.28,5.2,0.16,233,624,37.3,891,136,54.8,41.3,275,49.5,39.7,342,17,5,9,0.28,12.4
149,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,32,1987,2,4,0,0,2,0,4.7,0.34,0.7,0.35,15,32,46.9,53,6,39.6,36.3,18,61.1,49.7,20,2,10,0,0,11.8
150,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,26,1994,30.5,39,2,1,5,1,38.9,0.3,0.9,0.03,275,650,42.3,945,135,53.3,43.4,207,70.5,56.5,295,24,8.1,19,0.62,14.7
151,Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,it Serie A,30,1990,0.3,1,0,0,0,0,1,0.52,0,0.16,1,2,50,9,0,22.2,21.8,2,0,12.5,1,0,0,1,3.91,31
152,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,28,1992,32,37,3,0,7,1,40.9,0.26,4.9,0.15,292,757,38.6,728,128,74.3,53,251,86.1,62.3,325,42,12.9,41,1.28,16.5
153,Ivan Provedel\Ivan-Provedel,it ITA,GK,Spezia,it Serie A,26,1994,29,55,6,1,5,0,48.9,0.35,-6.1,-0.21,280,617,45.4,1257,135,42.7,38.3,154,51.9,44.7,199,19,9.5,29,1,16.3
154,Anthony Racioppi\Anthony-Racioppi,ch SUI,GK,Dijon,fr Ligue 1,21,1998,21,33,3,0,5,1,35,0.35,3,0.14,113,324,34.9,478,99,42.5,37.1,178,68,49.7,199,13,6.5,10,0.48,14.4
155,Ionuț Radu\Ionut-Radu,ro ROU,GK,Inter,it Serie A,23,1997,1.5,1,0,0,0,0,1.4,0.23,0.4,0.27,2,4,50,45,11,8.9,26.6,10,0,15.9,18,0,0,1,0.67,9.7
156,Rafael\Rafael,br BRA,GK,Spezia,it Serie A,38,1982,2.3,5,0,0,0,0,4,0.21,-1,-0.44,17,42,40.5,89,9,43.8,35.6,17,17.6,27.9,31,1,3.2,0,0,9.6
157,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,fr Ligue 1,24,1995,36.5,49,4,0,8,1,48.8,0.29,0.8,0.02,244,723,33.7,1111,157,45.7,40.7,343,62.7,49.7,354,21,5.9,22,0.6,14
158,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22,1998,38,63,3,0,8,3,61.9,0.29,1.9,0.05,290,859,33.8,860,124,70,52.8,281,91.5,69.7,336,32,9.5,22,0.58,15.3
159,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,eng Premier League,33,1987,3,3,0,0,3,0,3.6,0.4,0.6,0.21,13,43,30.2,44,5,65.9,47.3,22,63.6,47,32,0,0,1,0.33,12.2
160,Federico Ravaglia\Federico-Ravaglia,it ITA,GK,Bologna,it Serie A,20,1999,4,10,1,0,1,1,7.7,0.4,-1.3,-0.33,10,28,35.7,115,18,22.6,27.4,23,8.7,18.7,21,1,4.8,5,1.25,16.5
161,Pepe Reina\Pepe-Reina,es ESP,GK,Lazio,it Serie A,37,1982,29,41,8,0,7,2,36.3,0.28,-2.7,-0.09,196,383,51.2,979,122,34.7,34.2,141,30.5,29.4,218,11,5,12,0.41,15.2
162,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,es La Liga,25,1995,38,38,3,0,5,1,32.4,0.3,-4.6,-0.12,232,561,41.4,988,128,42.7,38.1,215,64.7,52,291,17,5.8,26,0.68,15.7
163,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Nîmes,fr Ligue 1,29,1990,38,71,6,1,7,0,63.6,0.29,-7.4,-0.2,298,800,37.3,1287,144,46.3,40.5,300,68,50.4,362,19,5.2,27,0.71,14.5
164,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,26,1993,9,9,0,0,0,1,9.9,0.28,1.9,0.21,10,27,37,162,41,13,25.1,54,11.1,24.6,58,3,5.2,5,0.56,14.1
165,Roberto\Roberto,es ESP,GK,Valladolid,es La Liga,34,1986,13,17,2,0,2,0,15.6,0.33,-1.4,-0.11,90,296,30.4,298,38,67.8,52.3,113,83.2,64.9,129,10,7.8,7,0.54,13.3
166,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,30,1990,18,25,4,1,5,2,21.5,0.31,-1.5,-0.08,99,301,32.9,449,80,52.6,43,116,56,45.3,145,10,6.9,14,0.78,16.3
167,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,eng Premier League,23,1996,2,5,1,0,1,0,4,0.45,-1,-0.52,7,14,50,39,7,28.2,30.6,7,42.9,37.4,16,2,12.5,1,0.5,13.7
168,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36,1984,2.1,5,0,0,0,0,4.9,0.55,-0.1,-0.04,33,54,61.1,46,2,84.8,55.7,15,100,65.7,19,1,5.3,3,1.44,14.6
169,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,33,1986,1,1,0,0,1,0,1.1,0.28,0.1,0.13,1,6,16.7,19,10,26.3,33.5,5,20,39.6,9,0,0,0,0,10.4
170,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,es La Liga,28,1992,2,4,0,0,0,0,2.7,0.34,-1.3,-0.65,15,32,46.9,77,16,29.9,30.9,19,47.4,47.4,23,0,0,0,0,13.1
171,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,28,1992,11,19,4,0,3,1,14.8,0.37,-3.2,-0.29,57,141,40.4,341,56,33.4,32.5,58,46.6,40.2,103,7,6.8,6,0.55,14.4
172,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,28,1992,3,2,1,0,0,0,4.2,0.36,2.2,0.73,6,11,54.5,58,19,13.8,26.3,9,33.3,33,20,4,20,1,0.33,13.4
173,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,27,1992,10.5,24,4,0,5,2,22.5,0.31,0.5,0.05,51,143,35.7,289,64,33.6,32.7,94,48.9,39.7,71,3,4.2,7,0.67,14.4
174,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,36,1984,15,14,0,0,4,0,15.2,0.28,1.2,0.08,99,227,43.6,421,76,35.9,34,123,61.8,47.5,113,9,8,29,1.93,18
175,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,eng Premier League,22,1997,27,27,2,0,6,1,30.8,0.34,4.8,0.18,182,472,38.6,918,107,40.5,38.3,177,56.5,46.7,210,11,5.2,14,0.52,14.4
176,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,eng Premier League,33,1986,38,50,4,0,9,2,48.5,0.34,0.5,0.01,226,533,42.4,1009,164,42.4,38,209,50.2,42.7,297,24,8.1,14,0.37,13
177,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,de Bundesliga,28,1992,26,39,6,1,3,0,36.9,0.31,-2.1,-0.08,174,359,48.5,699,123,33.6,34.3,219,56.6,46.3,227,14,6.2,12,0.46,13.7
178,Simone Scuffet\Simone-Scuffet,it ITA,GK,Udinese,it Serie A,24,1996,1,2,1,0,0,0,1.6,0.23,-0.4,-0.43,13,21,61.9,20,4,70,46.3,8,87.5,54.4,10,0,0,0,0,10
179,Matz Sels\Matz-Sels,be BEL,GK,Strasbourg,fr Ligue 1,28,1992,6,13,2,1,3,0,10,0.34,-3,-0.5,47,111,42.3,125,23,57.6,43.9,50,78,57.2,54,6,11.1,1,0.17,11.4
180,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,it Serie A,29,1991,36,76,2,0,9,3,60.8,0.35,-12.2,-0.34,351,637,55.1,1175,180,44.2,38.1,270,43.7,38.5,416,25,6,11,0.31,12.9
181,Rui Silva\Rui-Silva,pt POR,GK,Granada,es La Liga,26,1994,32,55,5,2,3,1,50.8,0.35,-3.2,-0.1,282,753,37.5,809,68,66.3,49.3,266,81.6,59.1,311,13,4.2,29,0.91,16.2
182,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,29,1991,34,42,6,1,7,2,37.5,0.26,-2.5,-0.07,212,746,28.4,727,79,68.6,47,275,89.8,58.9,288,10,3.5,13,0.38,13.1
183,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,es La Liga,23,1997,37,40,5,1,8,1,35.6,0.29,-3.4,-0.09,241,538,44.8,798,201,42.4,38.9,265,75.5,57.1,367,22,6,23,0.62,14.4
184,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,de Bundesliga,32,1988,3.8,6,0,0,2,0,7.1,0.37,1.1,0.29,37,86,43,101,12,51.5,42.9,46,73.9,58,56,3,5.4,4,1.05,16
185,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,33,1987,32,62,8,1,7,1,46.9,0.31,-14.1,-0.44,198,478,41.4,743,106,45.2,37.1,269,52.8,39.9,301,18,6,16,0.5,12.8
186,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,es La Liga,23,1996,0.8,0,0,0,0,0,0,0.01,0,0.02,4,16,25,15,1,66.7,48.1,7,85.7,53.3,7,1,14.3,0,0,10.2
187,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,29,1991,28,46,5,1,8,1,44.9,0.28,-0.1,0,120,316,38,738,163,33.7,33.3,228,29.4,26.2,241,25,10.4,13,0.46,12.8
188,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,31,1988,30.1,50,6,0,5,0,43.3,0.31,-6.7,-0.22,180,390,46.2,1028,125,32,32.1,211,28.9,29.9,240,14,5.8,20,0.66,13.5
189,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,27,1993,28,31,6,0,4,3,29.5,0.32,1.5,0.06,299,749,39.9,661,14,87.9,59.1,195,86.2,59.4,208,20,9.6,42,1.5,17
190,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,28,1992,14,21,1,0,2,0,16.1,0.3,-4.9,-0.35,49,109,45,319,69,23.8,30,56,58.9,47.2,88,7,8,15,1.07,16.9
191,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,25,1995,1,1,0,0,0,0,0.6,0.32,-0.4,-0.37,2,6,33.3,20,4,25,31.1,8,12.5,20.5,10,0,0,0,0,7
192,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,25,1995,9,14,2,0,1,0,13.2,0.31,-0.8,-0.09,55,107,51.4,286,49,34.3,31.7,58,15.5,24.8,77,7,9.1,1,0.11,11.9
193,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,30,1990,29.7,32,4,0,4,2,28.1,0.25,-1.9,-0.06,118,203,58.1,835,130,21,29.1,180,15.6,24.3,240,17,7.1,24,0.81,14.6
194,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,34,1986,1,3,1,0,2,0,2.9,0.35,-0.1,-0.05,2,5,40,23,7,13,21.8,4,50,30.8,3,1,33.3,0,0,8.1
195,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,28,1992,31,32,3,1,4,2,29,0.27,-1,-0.03,138,241,57.3,879,149,22.2,29.4,156,29.5,31.8,174,19,10.9,22,0.71,17.1
196,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,30,1990,3,4,0,0,1,1,3.2,0.22,0.2,0.05,27,66,40.9,55,10,67.3,49.5,32,90.6,60.6,37,0,0,0,0,13.1
197,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30,1990,33,52,4,1,7,2,44.7,0.29,-5.3,-0.16,257,640,40.2,1089,161,46.1,37.9,263,52.5,43.9,286,24,8.4,23,0.7,14.9
198,Samir Ujkani\Samir-Ujkani,xk KVX,GK,Torino,it Serie A,32,1988,1,1,0,0,0,0,1,0.33,0,0,3,7,42.9,22,6,31.8,33.9,6,0,24.5,16,1,6.3,0,0,13.4
199,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,31,1989,5,5,0,0,0,0,3.5,0.26,-1.5,-0.29,20,41,48.8,120,24,28.3,30.5,26,26.9,27.4,40,2,5,3,0.6,14
200,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,24,1995,1,2,0,0,0,0,2.6,0.64,0.6,0.56,2,11,18.2,18,4,44.4,37.7,11,27.3,30.5,7,0,0,1,1,18.8
201,Guglielmo Vicario\Guglielmo-Vicario,it ITA,GK,Cagliari,it Serie A,23,1996,4,6,0,0,2,0,5,0.24,-1,-0.25,27,61,44.3,82,15,50,40.6,25,80,55.9,40,2,5,0,0,10.5
202,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,es La Liga,23,1997,19.8,30,6,1,2,1,28.1,0.32,-0.9,-0.04,105,370,28.4,512,78,50,41.2,172,66.3,51.4,211,18,8.5,15,0.76,15.1
203,João Virgínia\Joao-Virginia,pt POR,GK,Everton,eng Premier League,20,1999,0.5,0,0,0,0,0,0.2,0.07,0.2,0.39,3,11,27.3,13,3,61.5,50.9,4,75,54.5,2,0,0,0,0,21
204,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,es La Liga,26,1993,10,12,1,0,0,0,11.6,0.35,-0.4,-0.04,89,203,43.8,208,29,70.2,48.7,68,83.8,61.1,72,5,6.9,7,0.7,15.2
205,Yoel\Yoel,es ESP,GK,Eibar,es La Liga,31,1988,3.3,3,0,0,0,0,2.2,0.44,-0.8,-0.24,39,74,52.7,97,26,58.8,44.3,17,100,72.5,11,1,9.1,8,2.4,17.7
206,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,25,1994,31,46,5,1,4,1,40.7,0.27,-4.3,-0.14,166,501,33.1,832,196,43.3,39.5,249,56.6,47.6,294,28,9.5,19,0.61,14
207,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,de Bundesliga,31,1989,0.6,1,1,0,0,0,0.7,0.01,-0.3,-0.46,6,11,54.5,17,4,35.3,35,6,83.3,49.7,10,0,0,0,0,11.8
208,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,Spezia,it Serie A,29,1991,6.7,12,3,0,2,0,11.6,0.34,-0.4,-0.06,56,128,43.8,276,46,41.7,37.8,30,43.3,40.1,60,6,10,8,1.19,15.1
