,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
21,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,37,1983,20,25,4,0,2,1,27.1,0.34,3.1,0.16,139,358,38.8,519,81,52.4,43,130,66.2,51.3,186,10,5.4,8,0.4,12.8
22,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Stuttgart,de Bundesliga,25,1995,1,1,0,0,0,0,2.4,0.27,1.4,1.41,2,11,18.2,27,5,37,33.1,9,11.1,27.6,17,1,5.9,0,0,10.3
23,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,42,1978,8,5,2,1,0,0,5,0.16,0,0,33,74,44.6,242,44,24.4,30,62,24.2,26.6,81,2,2.5,5,0.63,14
24,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,29,1990,18.5,30,4,0,6,0,25.4,0.26,-4.6,-0.25,92,201,45.8,520,106,30.8,32.5,109,37.6,36.3,121,9,7.4,6,0.32,13.4
25,Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1,2,0,0,0,0,0.8,0.17,-1.2,-1.17,3,18,16.7,13,2,76.9,55.2,8,100,77.1,10,1,10,2,2,23
26,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1,2,0,0,1,0,1.7,0.24,-0.3,-0.31,8,29,27.6,25,2,68,49.2,12,100,67,10,1,10,0,0,10
27,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1,1,0,0,0,0,1.3,0.45,0.3,0.32,2,5,40,28,9,17.9,25.5,2,0,21.5,7,0,0,2,2,13.1
28,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1,3,0,0,1,0,1.5,0.49,-1.5,-1.54,1,3,33.3,20,2,15,24.6,6,0,19.7,8,0,0,2,2,22
29,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,4,10,3,1,1,0,9.2,0.33,-0.8,-0.2,17,48,35.4,71,27,35.2,33.2,30,76.7,59.7,29,4,13.8,2,0.5,14.6
30,Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,23,1997,8,11,0,0,0,0,11.4,0.28,0.4,0.05,45,104,43.3,207,42,38.2,35.9,57,43.9,37.2,88,5,5.7,9,1.13,15.2
31,Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1,3,1,0,1,0,2.4,0.21,-0.6,-0.58,0,1,0,14,6,0,21.4,2,50,47,7,0,0,0,0,14.6
32,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3,2,0,0,0,0,4.3,0.36,2.3,0.77,16,26,61.5,63,21,20.6,26,31,41.9,34,18,3,16.7,1,0.33,14.9
33,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32,33,3,1,3,1,33.4,0.31,1.4,0.05,236,535,44.1,1044,156,38.3,36.4,203,66.5,52.1,257,21,8.2,34,1.06,15.7
34,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3,4,1,0,0,0,5,0.45,1,0.34,14,37,37.8,68,13,41.2,38.5,22,40.9,39.8,28,3,10.7,2,0.67,14.2
35,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41,1979,2,3,0,0,0,0,1.8,0.29,-1.2,-0.62,25,63,39.7,53,3,92.5,59.7,16,87.5,61.1,17,1,5.9,2,1,14.3
36,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10,11,1,1,0,0,12.1,0.23,1.1,0.11,71,198,35.9,222,41,59,45,95,70.5,54.2,123,8,6.5,8,0.8,13.4
37,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29,1991,2,7,1,0,3,0,4.9,0.46,-2.1,-1.07,16,30,53.3,39,6,56.4,41,11,72.7,50.2,13,1,7.7,1,0.5,13
38,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37,56,4,0,4,1,57.5,0.3,2.5,0.07,185,409,45.2,1123,161,30.9,30.9,235,26.4,25.9,327,29,8.9,26,0.7,15.9
39,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36,91,5,2,10,2,76.4,0.36,-12.6,-0.35,248,606,40.9,1136,160,42.1,35.4,310,41.3,34.1,318,18,5.7,30,0.83,15.1
40,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,36,1983,6,9,1,1,0,0,9.4,0.36,0.4,0.07,35,70,50,245,23,24.5,30.3,42,23.8,24.4,48,0,0,7,1.17,16
41,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38,57,7,2,6,1,46.8,0.27,-8.2,-0.22,318,690,46.1,1035,144,47.3,39.2,291,68.7,50.6,324,18,5.6,21,0.55,13.7
42,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28,1992,38,28,7,0,3,1,29.9,0.22,2.9,0.08,136,351,38.7,1074,234,24.1,32.2,233,39.5,39.2,286,27,9.4,24,0.63,15
43,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26,1994,34,53,5,1,7,0,55.2,0.29,2.2,0.06,206,485,42.5,683,129,46.3,37.1,279,60.6,43.6,320,31,9.7,15,0.44,12.8
44,Gian Crespi\Gian-Crespi,it ITA,GK,Crotone,it Serie A,19,2001,1,0,0,0,0,0,0.4,0.38,0.4,0.38,8,13,61.5,31,4,32.3,27,11,27.3,31.2,8,0,0,0,0,9.2
45,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3,10,1,0,1,0,9.2,0.42,-0.8,-0.26,9,26,34.6,59,16,33.9,32.9,27,22.2,25.7,34,1,2.9,2,0.67,11.6
46,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,1990,25,43,3,1,4,2,37,0.28,-4,-0.16,184,532,34.6,506,88,68.4,50.5,220,84.5,60.2,239,22,9.2,6,0.24,12.2
47,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,20,1999,1.5,1,1,0,0,0,1,0.03,0,0.01,5,16,31.3,40,13,27.5,32.2,12,41.7,39,11,0,0,1,0.67,15.3
48,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,28,1992,34.7,49,3,0,5,0,46.9,0.34,-2.1,-0.06,304,786,38.7,839,98,68.3,54.6,235,90.6,72.7,253,20,7.9,41,1.18,16.8
49,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,29,1990,28,42,4,2,7,2,39.2,0.28,-0.8,-0.03,264,525,50.3,654,105,53.4,40.8,243,72.4,53.4,325,21,6.5,15,0.54,13
50,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,21,1999,37,38,2,2,7,1,39.7,0.3,2.7,0.07,183,431,42.5,1026,140,33.2,32.3,219,41.1,35.9,335,29,8.7,22,0.59,14.8
51,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,22,1997,35,55,8,1,10,1,53.6,0.35,-0.4,-0.01,229,566,40.5,802,165,52,41.9,260,57.3,45.3,335,24,7.2,17,0.49,14.2
52,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31,1989,15,25,6,1,3,1,20.5,0.32,-3.5,-0.23,76,201,37.8,253,43,48.6,40.4,108,72.2,48.6,111,7,6.3,6,0.4,12.8
53,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,31,1989,13,19,1,0,1,1,19.5,0.31,1.5,0.11,79,186,42.5,306,64,38.2,36.9,121,57,47.3,161,13,8.1,6,0.46,12.3
54,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,26,1993,36,28,7,0,2,1,29.1,0.27,2.1,0.06,139,305,45.6,932,148,24.9,31.5,158,46.2,43,179,14,7.8,23,0.64,15.7
55,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,24,1995,5,8,0,0,0,0,9.6,0.42,1.6,0.33,38,113,33.6,118,13,72.9,52.1,33,81.8,64.6,45,3,6.7,12,2.4,18
