Rk,Player,Nation,Pos,Squad,Comp,Age,Born
67,Carles Aleñá\Carles-Alena,ESP,MFFW,Getafe,es La Liga,22,1998
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,ISL,GK,Arsenal,eng Premier League,25,1995
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,ENG,DF,Liverpool,eng Premier League,21,1998
70,Alfon\Alfon,ESP,MF,Celta Vigo,es La Liga,21,1999
71,Mohamed Ali Cho\Mohamed-Ali-Cho,FRA,FWMF,Angers,fr Ligue 1,16,2004
72,Ezgjan Alioski\Ezgjan-Alioski,MKD,DF,Leeds United,eng Premier League,28,1992
73,Rachid Alioui\Rachid-Alioui,MAR,FW,Angers,fr Ligue 1,28,1992
74,Alisson\Alisson,BRA,GK,Liverpool,eng Premier League,27,1992
75,Saturnin Allagbé\Saturnin-Allagbe,BEN,GK,Dijon,fr Ligue 1,26,1993
76,Allan\Allan,BRA,MF,Everton,eng Premier League,29,1991
77,Dele Alli\Dele-Alli,ENG,MF,Tottenham,eng Premier League,24,1996
78,Miguel Almirón\Miguel-Almiron,PAR,MFFW,Newcastle Utd,eng Premier League,26,1994
79,Marcos Alonso\Marcos-Alonso,ESP,DF,Chelsea,eng Premier League,29,1990
80,Sergio Álvarez\Sergio-Alvarez,ESP,MFDF,Eibar,es La Liga,28,1992
81,Yeray Álvarez\Yeray-Alvarez,ESP,DF,Athletic Club,es La Liga,25,1995
82,Bruno Alves\Bruno-Alves,POR,DF,Parma,it Serie A,38,1981
83,Steven Alzate\Steven-Alzate,COL,MFDF,Brighton,eng Premier League,21,1998
84,Ibrahim Amadou\Ibrahim-Amadou,FRA,MF,Angers,fr Ligue 1,27,1993
85,Romain Amalfitano\Romain-Amalfitano,FRA,FWDF,Dijon,fr Ligue 1,30,1989
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,GHA,DF,Getafe,es La Liga,18,2001
87,Daniel Amartey\Daniel-Amartey,GHA,DF,Leicester City,eng Premier League,25,1994
88,Jordan Amavi\Jordan-Amavi,FRA,DF,Marseille,fr Ligue 1,26,1994
89,Thierry Ambrose\Thierry-Ambrose,FRA,FW,Metz,fr Ligue 1,23,1997
90,Wisdom Amey\Wisdom-Amey,ITA,DF,Bologna,it Serie A,14,2005
91,Nadiem Amiri\Nadiem-Amiri,GER,MF,Leverkusen,de Bundesliga,23,1996
92,Ethan Ampadu\Ethan-Ampadu,WAL,DFMF,Sheffield Utd,eng Premier League,19,2000
93,Sofyan Amrabat\Sofyan-Amrabat,MAR,MF,Fiorentina,it Serie A,23,1996
94,Jon Ander Garrido\Jon-Ander-Garrido,ESP,MF,Cádiz,es La Liga,30,1989
95,Joachim Andersen\Joachim-Andersen,DEN,DF,Fulham,eng Premier League,24,1996
96,Joachim Andersen\Joachim-Andersen,DEN,DF,Lyon,fr Ligue 1,24,1996
97,Djavan Anderson\Djavan-Anderson,NED,DF,Lazio,it Serie A,25,1995
98,Elliot Anderson\Elliot-Anderson,SCO,MF,Newcastle Utd,eng Premier League,17,2002
99,Felipe Anderson\Felipe-Anderson,BRA,FWMF,West Ham,eng Premier League,27,1993
100,Sebastian Andersson\Sebastian-Andersson,SWE,FW,Köln,de Bundesliga,29,1991
