Rk,Player,Nation,Pos,Squad,Comp,Age,Born
665,Ermedin Demirović\Ermedin-Demirovic,BIH,FW,Freiburg,de Bundesliga,22,1998
666,Diego Demme\Diego-Demme,GER,MF,Napoli,it Serie A,28,1991
667,Jason Denayer\Jason-Denayer,BEL,DF,Lyon,fr Ligue 1,25,1995
668,Leander Dendoncker\Leander-Dendoncker,BEL,MFDF,Wolves,eng Premier League,25,1995
669,Kevin Denkey\Kevin-Denkey,TOG,FW,Nîmes,fr Ligue 1,19,2000
670,Emmanuel Dennis\Emmanuel-Dennis,NGA,FW,Köln,de Bundesliga,22,1997
671,Stefano Denswil\Stefano-Denswil,NED,DF,Bologna,it Serie A,27,1993
672,Fabio Depaoli\Fabio-Depaoli,ITA,DF,Benevento,it Serie A,23,1997
673,Fabio Depaoli\Fabio-Depaoli,ITA,MF,Sampdoria,it Serie A,23,1997
674,Fabio Depaoli\Fabio-Depaoli,ITA,DF,Atalanta,it Serie A,23,1997
675,Memphis Depay\Memphis-Depay,NED,FW,Lyon,fr Ligue 1,26,1994
676,Clément Depres\Clement-Depres,FRA,MF,Nîmes,fr Ligue 1,25,1994
677,Mike van der Hoorn\Mike-van-der-Hoorn,NED,DF,Arminia,de Bundesliga,27,1992
678,Kastriot Dermaku\Kastriot-Dermaku,ALB,DF,Parma,it Serie A,28,1992
679,Kiril Despodov\Kiril-Despodov,BUL,FW,Cagliari,it Serie A,23,1996
680,Sergiño Dest\Sergino-Dest,USA,DF,Barcelona,es La Liga,19,2000
681,Mattia Destro\Mattia-Destro,ITA,FW,Genoa,it Serie A,29,1991
682,Gerard Deulofeu\Gerard-Deulofeu,ESP,FW,Udinese,it Serie A,26,1994
683,Deyverson\Deyverson,BRA,FW,Alavés,es La Liga,29,1991
684,Jacopo Dezi\Jacopo-Dezi,ITA,FWMF,Parma,it Serie A,28,1992
685,Samuel Di Carmine\Samuel-Di-Carmine,ITA,FW,Hellas Verona,it Serie A,31,1988
686,Samuel Di Carmine\Samuel-Di-Carmine,ITA,FW,Crotone,it Serie A,31,1988
687,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,ITA,DF,Napoli,it Serie A,26,1993
688,Ángel Di María\Angel-Di-Maria,ARG,FWMF,Paris S-G,fr Ligue 1,32,1988
689,Alessandro Di Pardo\Alessandro-Di-Pardo,ITA,MFDF,Juventus,it Serie A,21,1999
690,Giuseppe Di Serio\Giuseppe-Di-Serio,ITA,FWMF,Benevento,it Serie A,19,2001
691,Boulaye Dia\Boulaye-Dia,SEN,FWMF,Reims,fr Ligue 1,23,1996
692,Abdoulay Diaby\Abdoulay-Diaby,MLI,MF,Getafe,es La Liga,29,1991
693,Moussa Diaby\Moussa-Diaby,FRA,FWMF,Leverkusen,de Bundesliga,21,1999
694,Mbaye Diagne\Mbaye-Diagne,SEN,FW,West Brom,eng Premier League,28,1991
695,Mouctar Diakhaby\Mouctar-Diakhaby,FRA,DF,Valencia,es La Liga,23,1996
696,Abdou Diallo\Abdou-Diallo,SEN,DF,Paris S-G,fr Ligue 1,24,1996
697,Amad Diallo\Amad-Diallo,CIV,FW,Manchester Utd,eng Premier League,18,2002
698,Amad Diallo\Amad-Diallo,CIV,MF,Atalanta,it Serie A,18,2002
699,Habib Diallo\Habib-Diallo,SEN,FW,Strasbourg,fr Ligue 1,25,1995
700,Habib Diallo\Habib-Diallo,SEN,FW,Metz,fr Ligue 1,25,1995
701,Ibrahima Diallo\Ibrahima-Diallo,FRA,MF,Southampton,eng Premier League,21,1999
702,Ibrahima Diallo\Ibrahima-Diallo,FRA,MF,Brest,fr Ligue 1,21,1999
703,Amadou Diambo\Amadou-Diambo,GHA,FW,Benevento,it Serie A,19,2001
704,Grady Diangana\Grady-Diangana,ENG,MFFW,West Brom,eng Premier League,22,1998
705,Stéphane Diarra\Stephane-Diarra,FRA,FWMF,Lorient,fr Ligue 1,21,1998
706,Raphael Dias Belloli\Raphael-Dias-Belloli,BRA,MF,Leeds United,eng Premier League,23,1996
707,Raphael Dias Belloli\Raphael-Dias-Belloli,BRA,FWMF,Rennes,fr Ligue 1,23,1996
708,Rúben Dias\Ruben-Dias,POR,DF,Manchester City,eng Premier League,23,1997
709,Krepin Diatta\Krepin-Diatta,SEN,MFDF,Monaco,fr Ligue 1,21,1999
710,Amadou Diawara\Amadou-Diawara,GUI,MF,Roma,it Serie A,23,1997
711,Brahim Díaz\Brahim-Diaz,ESP,MFFW,Milan,it Serie A,20,1999
712,Víctor Díaz\Victor-Diaz,ESP,DF,Granada,es La Liga,32,1988
713,Daniel Didavi\Daniel-Didavi,GER,FWMF,Stuttgart,de Bundesliga,30,1990
714,Eric Dier\Eric-Dier,ENG,DF,Tottenham,eng Premier League,26,1994
715,Daan Dierckx\Daan-Dierckx,BEL,DF,Parma,it Serie A,17,2003
716,Lucas Digne\Lucas-Digne,FRA,DF,Everton,eng Premier League,27,1993
717,Virgil van Dijk\Virgil-van-Dijk,NED,DF,Liverpool,eng Premier League,29,1991
718,Mitchell Dijks\Mitchell-Dijks,NED,DF,Bologna,it Serie A,27,1993
719,Javairô Dilrosun\Javairo-Dilrosun,NED,FWMF,Hertha BSC,de Bundesliga,22,1998
720,Federico Dimarco\Federico-Dimarco,ITA,DF,Hellas Verona,it Serie A,22,1997
721,Tristan Dingomé\Tristan-Dingome,CMR,MF,Reims,fr Ligue 1,29,1991
722,Eren Dinkçi\Eren-Dinkci,GER,FWMF,Werder Bremen,de Bundesliga,18,2001
723,Sinaly Diomande\Sinaly-Diomande,CIV,DF,Lyon,fr Ligue 1,19,2001
724,Lois Diony\Lois-Diony,FRA,FW,Angers,fr Ligue 1,27,1992
725,Issa Diop\Issa-Diop,FRA,DF,West Ham,eng Premier League,23,1997
726,Papakouli Diop\Papakouli-Diop,SEN,MF,Eibar,es La Liga,34,1986
727,Sofiane Diop\Sofiane-Diop,FRA,MFFW,Monaco,fr Ligue 1,20,2000
728,Andy Diouf\Andy-Diouf,FRA,FW,Rennes,fr Ligue 1,18,2002
729,Yehvann Diouf\Yehvann-Diouf,FRA,GK,Reims,fr Ligue 1,20,1999
730,Assane Dioussé\Assane-Diousse,SEN,DF,Saint-Étienne,fr Ligue 1,22,1997
731,Axel Disasi\Axel-Disasi,FRA,DF,Monaco,fr Ligue 1,22,1998
732,Tiago Djaló\Tiago-Djalo,POR,DF,Lille,fr Ligue 1,20,2000
733,Djené\Djene,TOG,DF,Getafe,es La Liga,28,1991
734,Moussa Djenepo\Moussa-Djenepo,MLI,MF,Southampton,eng Premier League,22,1998
735,Koffi Djidji\Koffi-Djidji,CIV,DF,Crotone,it Serie A,27,1992
736,Alexander Djiku\Alexander-Djiku,GHA,DFMF,Strasbourg,fr Ligue 1,25,1994
737,Berat Djimsiti\Berat-Djimsiti,ALB,DF,Atalanta,it Serie A,27,1993
738,Marko Dmitrović\Marko-Dmitrovic,SRB,GK,Eibar,es La Liga,28,1992
739,Ritsu Doan\Ritsu-Doan,JPN,MFFW,Arminia,de Bundesliga,22,1998
740,Mihai Dobre\Mihai-Dobre,ROU,FW,Dijon,fr Ligue 1,21,1998
741,Matt Doherty\Matt-Doherty,IRL,DF,Tottenham,eng Premier League,28,1992
742,Jeremy Doku\Jeremy-Doku,BEL,MFFW,Rennes,fr Ligue 1,18,2002
743,Kasper Dolberg\Kasper-Dolberg,DEN,FW,Nice,fr Ligue 1,22,1997
744,Keagan Dolly\Keagan-Dolly,RSA,MF,Montpellier,fr Ligue 1,27,1993
745,Jaume Doménech\Jaume-Domenech,ESP,GK,Valencia,es La Liga,29,1990
746,Carlos Dominguez\Carlos-Dominguez,ESP,DF,Celta Vigo,es La Liga,19,2001
747,Nicolás Domínguez\Nicolas-Dominguez,ARG,MF,Bologna,it Serie A,22,1998
748,John Donald\John-Donald,ESP,DF,Elche,es La Liga,19,2000
749,Ji Dong-won\Ji-Dong-won,KOR,FW,Mainz 05,de Bundesliga,29,1991
750,Anastasios Donis\Anastasios-Donis,GRE,MF,Reims,fr Ligue 1,23,1996
751,Gianluigi Donnarumma\Gianluigi-Donnarumma,ITA,GK,Milan,it Serie A,21,1999
752,Gabriel Dos Santos\Gabriel-Dos-Santos,BRA,DF,Arsenal,eng Premier League,22,1997
753,Bas Dost\Bas-Dost,NED,FW,Eint Frankfurt,de Bundesliga,31,1989
754,Lucas Douath\Lucas-Douath,FRA,MF,Saint-Étienne,fr Ligue 1,16,2003
755,Abdoulaye Doucouré\Abdoulaye-Doucoure,FRA,MF,Everton,eng Premier League,27,1993
756,Cheick Doucouré\Cheick-Doucoure,MLI,MF,Lens,fr Ligue 1,20,2000
757,Fodé Doucouré\Fode-Doucoure,MLI,DF,Reims,fr Ligue 1,19,2001
758,Mahamadou Doucouré\Mahamadou-Doucoure,FRA,FW,Nîmes,fr Ligue 1,20,2000
759,Cheick Doukouré\Cheick-Doukoure,CIV,MF,Levante,es La Liga,27,1992
760,Idrissa Doumbia\Idrissa-Doumbia,CIV,MF,Huesca,es La Liga,22,1998
761,Moussa Doumbia\Moussa-Doumbia,MLI,MFFW,Reims,fr Ligue 1,25,1994
762,Souleyman Doumbia\Souleyman-Doumbia,CIV,DF,Angers,fr Ligue 1,23,1996
763,Aleksandar Dragović\Aleksandar-Dragovic,AUT,DF,Leverkusen,de Bundesliga,29,1991
764,Bartłomiej Drągowski\Bartlomiej-Dragowski,POL,GK,Fiorentina,it Serie A,22,1997
765,Denis Drăguș\Denis-Dragus,ROU,FWMF,Crotone,it Serie A,21,1999
766,Radu Drăgușin\Radu-Dragusin,ROU,DF,Juventus,it Serie A,18,2002
767,Mouhamadou Drammeh\Mouhamadou-Drammeh,FRA,MF,Reims,fr Ligue 1,21,1999
768,Julian Draxler\Julian-Draxler,GER,MFFW,Paris S-G,fr Ligue 1,26,1993
769,Dominick Drexler\Dominick-Drexler,GER,MFFW,Köln,de Bundesliga,30,1990
770,Matthieu Dreyer\Matthieu-Dreyer,FRA,GK,Lorient,fr Ligue 1,31,1989
771,Domingos Duarte\Domingos-Duarte,POR,DF,Granada,es La Liga,25,1995
772,Léo Duarte\Leo-Duarte,BRA,DF,Milan,it Serie A,24,1996
773,Óscar Duarte\Oscar-Duarte,CRC,DF,Levante,es La Liga,31,1989
774,Rubén Duarte\Ruben-Duarte,ESP,DF,Alavés,es La Liga,24,1995
775,Leo Dubois\Leo-Dubois,FRA,DF,Lyon,fr Ligue 1,25,1994
776,Martin Dúbravka\Martin-Dubravka,SVK,GK,Newcastle Utd,eng Premier League,31,1989
777,Ondrej Duda\Ondrej-Duda,SVK,FWMF,Köln,de Bundesliga,25,1994
778,Unai Dufur\Unai-Dufur,ESP,DF,Eibar,es La Liga,21,1999
779,Haris Duljević\Haris-Duljevic,BIH,MFFW,Nîmes,fr Ligue 1,26,1993
780,Paul Dummett\Paul-Dummett,WAL,DF,Newcastle Utd,eng Premier League,28,1991
781,Alfred Duncan\Alfred-Duncan,GHA,MF,Fiorentina,it Serie A,27,1993
782,Alfred Duncan\Alfred-Duncan,GHA,MF,Cagliari,it Serie A,27,1993
783,Lewis Dunk\Lewis-Dunk,ENG,DF,Brighton,eng Premier League,28,1991
784,Jimmy Dunne\Jimmy-Dunne,IRL,DF,Burnley,eng Premier League,22,1997
785,Erik Durm\Erik-Durm,GER,DF,Eint Frankfurt,de Bundesliga,28,1992
786,Hugo Duro\Hugo-Duro,ESP,FW,Real Madrid,es La Liga,20,1999
787,Jean-Kevin Duverne\Jean-Kevin-Duverne,FRA,DF,Brest,fr Ligue 1,23,1997
788,Paulo Dybala\Paulo-Dybala,ARG,FW,Juventus,it Serie A,26,1993
789,Edin Džeko\Edin-Dzeko,BIH,FW,Roma,it Serie A,34,1986
790,Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,FRA,FWMF,Dijon,fr Ligue 1,19,2000
791,Steeve-Mike Ebongue\Steeve-Mike-Ebongue,FRA,MF,Genoa,it Serie A,19,2001
792,Enzo Ebosse\Enzo-Ebosse,FRA,DF,Angers,fr Ligue 1,21,1999
793,Bruno Ecuele Manga\Bruno-Ecuele-Manga,GAB,DF,Dijon,fr Ligue 1,32,1988
794,Simone Edera\Simone-Edera,ITA,DFMF,Torino,it Serie A,23,1997
795,Ederson\Ederson,BRA,GK,Manchester City,eng Premier League,26,1993
796,Kyle Edwards\Kyle-Edwards,ENG,MFFW,West Brom,eng Premier League,22,1998
797,John Egan\John-Egan,IRL,DF,Sheffield Utd,eng Premier League,27,1992
798,Johannes Eggestein\Johannes-Eggestein,GER,FWMF,Werder Bremen,de Bundesliga,22,1998
799,Maximilian Eggestein\Maximilian-Eggestein,GER,MF,Werder Bremen,de Bundesliga,23,1996
800,Lilian Egloff\Lilian-Egloff,GER,MF,Stuttgart,de Bundesliga,17,2002
801,Kingsley Ehizibue\Kingsley-Ehizibue,NED,DF,Köln,de Bundesliga,25,1995
802,Albin Ekdal\Albin-Ekdal,SWE,MF,Sampdoria,it Serie A,31,1989
803,Hugo Ekitike\Hugo-Ekitike,FRA,MFFW,Reims,fr Ligue 1,18,2002
804,Anthony Elanga\Anthony-Elanga,SWE,FW,Manchester Utd,eng Premier League,18,2002
805,Niclas Eliasson\Niclas-Eliasson,SWE,MFFW,Nîmes,fr Ligue 1,24,1995
806,Elif Elmas\Elif-Elmas,MKD,MFFW,Napoli,it Serie A,20,1999
807,Ahmed Elmohamady\Ahmed-Elmohamady,EGY,DF,Aston Villa,eng Premier League,32,1987
808,Mohamed Elneny\Mohamed-Elneny,EGY,MF,Arsenal,eng Premier League,28,1992
809,Aritz Elustondo\Aritz-Elustondo,ESP,DF,Real Sociedad,es La Liga,26,1994
810,Nico Elvedi\Nico-Elvedi,SUI,DF,M'Gladbach,de Bundesliga,23,1996
811,Rodrigo Ely\Rodrigo-Ely,BRA,DF,Alavés,es La Liga,26,1993
812,Sepe Elye Wahi\Sepe-Elye-Wahi,FRA,FW,Montpellier,fr Ligue 1,17,2003
813,Breel Embolo\Breel-Embolo,SUI,FWMF,M'Gladbach,de Bundesliga,23,1997
814,Emerson\Emerson,BRA,DF,Betis,es La Liga,21,1999
815,Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,ITA,MF,Atalanta,it Serie A,18,2001
816,Renaud Emond\Renaud-Emond,BEL,FW,Nantes,fr Ligue 1,28,1991
817,Alan Empereur\Alan-Empereur,BRA,DF,Hellas Verona,it Serie A,26,1994
818,Youssef En-Nesyri\Youssef-En-Nesyri,MAR,FW,Sevilla,es La Liga,23,1997
819,Keita Endo\Keita-Endo,JPN,MFFW,Union Berlin,de Bundesliga,22,1997
820,Wataru Endo\Wataru-Endo,JPN,MF,Stuttgart,de Bundesliga,27,1993
821,Sergi Enrich\Sergi-Enrich,ESP,FW,Eibar,es La Liga,30,1990
822,Christian Eriksen\Christian-Eriksen,DEN,MF,Inter,it Serie A,28,1992
823,Martin Erlic\Martin-Erlic,CRO,DF,Spezia,it Serie A,22,1998
824,Patrick Erras\Patrick-Erras,GER,FWMF,Werder Bremen,de Bundesliga,25,1995
825,Gonzalo Escalante\Gonzalo-Escalante,ARG,MF,Lazio,it Serie A,27,1993
826,Aarón Escandell\Aaron-Escandell,ESP,GK,Granada,es La Liga,24,1995
827,Dani Escriche\Dani-Escriche,ESP,FWMF,Huesca,es La Liga,22,1998
828,Sergio Escudero\Sergio-Escudero,ESP,DF,Sevilla,es La Liga,30,1989
829,Alfonso Espino\Alfonso-Espino,URU,DF,Cádiz,es La Liga,28,1992
830,Vicente Esquerdo\Vicente-Esquerdo,ESP,MF,Valencia,es La Liga,21,1999
831,Nahuel Estévez\Nahuel-Estevez,ARG,MF,Spezia,it Serie A,24,1995
832,Pervis Estupiñán\Pervis-Estupinan,ECU,DF,Villarreal,es La Liga,22,1998
833,Yoann Etienne\Yoann-Etienne,FRA,DF,Lorient,fr Ligue 1,23,1997
834,Xabier Etxeita\Xabier-Etxeita,ESP,DF,Getafe,es La Liga,32,1987
835,Jonny Evans\Jonny-Evans,NIR,DF,Leicester City,eng Premier League,32,1988
836,Edu Expósito\Edu-Exposito,ESP,MF,Eibar,es La Liga,23,1996
837,Valentin Eysseric\Valentin-Eysseric,FRA,MFFW,Fiorentina,it Serie A,28,1992
838,Eberechi Eze\Eberechi-Eze,ENG,MF,Crystal Palace,eng Premier League,22,1998
839,Jokin Ezkieta\Jokin-Ezkieta,ESP,GK,Athletic Club,es La Liga,23,1996
840,Łukasz Fabiański\Lukasz-Fabianski,POL,GK,West Ham,eng Premier League,35,1985
841,Fabinho\Fabinho,BRA,DFMF,Liverpool,eng Premier League,26,1993
842,Fábio\Fabio,BRA,DF,Nantes,fr Ligue 1,30,1990
843,Cesc Fàbregas\Cesc-Fabregas,ESP,MF,Monaco,fr Ligue 1,33,1987
844,Bandiougou Fadiga\Bandiougou-Fadiga,FRA,FWMF,Paris S-G,fr Ligue 1,19,2001
845,Bandiougou Fadiga\Bandiougou-Fadiga,FRA,MF,Brest,fr Ligue 1,19,2001
846,Wout Faes\Wout-Faes,BEL,DF,Reims,fr Ligue 1,22,1998
847,Nicolò Fagioli\Nicolo-Fagioli,ITA,MF,Juventus,it Serie A,19,2001
848,Ralf Fährmann\Ralf-Fahrmann,GER,GK,Schalke 04,de Bundesliga,31,1988
849,Romain Faivre\Romain-Faivre,FRA,MFFW,Brest,fr Ligue 1,22,1998
850,Fali\Fali,ESP,DFMF,Cádiz,es La Liga,26,1993
851,Iago Falque\Iago-Falque,ESP,MFFW,Benevento,it Serie A,30,1990
852,Andri Fannar Baldursson\Andri-Fannar-Baldursson,ISL,MF,Bologna,it Serie A,18,2002
853,Paolo Faragò\Paolo-Farago,ITA,DF,Bologna,it Serie A,27,1993
854,Paolo Faragò\Paolo-Farago,ITA,DFMF,Cagliari,it Serie A,27,1993
855,Davide Faraoni\Davide-Faraoni,ITA,DF,Hellas Verona,it Serie A,28,1991
856,Mohamed Fares\Mohamed-Fares,ALG,DF,Lazio,it Serie A,24,1996
857,Diego Farias\Diego-Farias,BRA,FW,Spezia,it Serie A,30,1990
858,Wuilker Faríñez\Wuilker-Farinez,VEN,GK,Lens,fr Ligue 1,22,1998
859,Noah Fatar\Noah-Fatar,FRA,FWMF,Angers,fr Ligue 1,18,2002
860,Ansu Fati\Ansu-Fati,ESP,FW,Barcelona,es La Liga,17,2002
861,Julien Faussurier\Julien-Faussurier,FRA,DF,Brest,fr Ligue 1,33,1987
862,Andrea Favilli\Andrea-Favilli,ITA,FW,Hellas Verona,it Serie A,23,1997
863,Federico Fazio\Federico-Fazio,ARG,DF,Roma,it Serie A,33,1987
864,Nabil Fekir\Nabil-Fekir,FRA,MFFW,Betis,es La Liga,27,1993
865,Felipe\Felipe,BRA,DF,Atlético Madrid,es La Liga,31,1989
866,Luiz Felipe\Luiz-Felipe,BRA,DF,Lazio,it Serie A,23,1997
867,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,GER,DF,Augsburg,de Bundesliga,22,1997
868,João Félix\Joao-Felix,POR,FWMF,Atlético Madrid,es La Liga,20,1999
869,Zinedine Ferhat\Zinedine-Ferhat,ALG,FWMF,Nîmes,fr Ligue 1,27,1993
870,Bruno Fernandes\Bruno-Fernandes,POR,MF,Manchester Utd,eng Premier League,25,1994
871,Edimilson Fernandes\Edimilson-Fernandes,SUI,MFDF,Mainz 05,de Bundesliga,24,1996
872,Aitor Fernández\Aitor-Fernandez,ESP,GK,Levante,es La Liga,29,1991
873,Álex Fernández\Alex-Fernandez,ESP,MF,Cádiz,es La Liga,27,1992
874,Álvaro Fernández\Alvaro-Fernandez,ESP,GK,Huesca,es La Liga,22,1998
875,Andrés Fernández\Andres-Fernandez,ESP,GK,Huesca,es La Liga,33,1986
876,Augusto Fernández\Augusto-Fernandez,ARG,MF,Cádiz,es La Liga,34,1986
877,Carlos Fernández\Carlos-Fernandez,ESP,FW,Sevilla,es La Liga,24,1996
878,Carlos Fernández\Carlos-Fernandez,ESP,FWMF,Real Sociedad,es La Liga,24,1996
879,Federico Fernández\Federico-Fernandez,ARG,DF,Newcastle Utd,eng Premier League,31,1989
880,Joaquín Fernández\Joaquin-Fernandez,ESP,DF,Valladolid,es La Liga,24,1996
881,Fernandinho\Fernandinho,BRA,MF,Manchester City,eng Premier League,35,1985
882,Fernando\Fernando,BRA,MF,Sevilla,es La Liga,33,1987
883,Alex Ferrari\Alex-Ferrari,ITA,DF,Sampdoria,it Serie A,26,1994
884,David Ferreiro\David-Ferreiro,ESP,MFFW,Huesca,es La Liga,32,1988
885,Salvador Ferrer\Salvador-Ferrer,ESP,DF,Spezia,it Serie A,22,1998
886,Facundo Ferreyra\Facundo-Ferreyra,ARG,FW,Celta Vigo,es La Liga,29,1991
887,Jordan Ferri\Jordan-Ferri,FRA,MF,Montpellier,fr Ligue 1,28,1992
888,Marco Festa\Marco-Festa,ITA,GK,Crotone,it Serie A,28,1992
889,Fidel\Fidel,ESP,MFDF,Elche,es La Liga,30,1989
890,Sam Field\Sam-Field,ENG,MF,West Brom,eng Premier League,22,1998
891,Alfreð Finnbogason\Alfred-Finnbogason,ISL,FW,Augsburg,de Bundesliga,31,1989
892,Roberto Firmino\Roberto-Firmino,BRA,FW,Liverpool,eng Premier League,28,1991
893,Junior Firpo\Junior-Firpo,ESP,DF,Barcelona,es La Liga,23,1996
894,John Fleck\John-Fleck,SCO,MF,Sheffield Utd,eng Premier League,28,1991
895,Mark Flekken\Mark-Flekken,NED,GK,Freiburg,de Bundesliga,27,1993
896,Florian Flick\Florian-Flick,GER,MF,Schalke 04,de Bundesliga,20,2000
897,Alexis Flips\Alexis-Flips,FRA,MF,Reims,fr Ligue 1,20,2000
898,Alessandro Florenzi\Alessandro-Florenzi,ITA,DF,Paris S-G,fr Ligue 1,29,1991
899,Kingsley Fobi\Kingsley-Fobi,GHA,DF,Granada,es La Liga,21,1998
900,Phil Foden\Phil-Foden,ENG,FWMF,Manchester City,eng Premier League,20,2000
901,Mamadou Fofana\Mamadou-Fofana,MLI,MFDF,Metz,fr Ligue 1,22,1998
902,Seko Fofana\Seko-Fofana,CIV,MF,Lens,fr Ligue 1,25,1995
903,Wesley Fofana\Wesley-Fofana,FRA,DF,Leicester City,eng Premier League,19,2000
904,Wesley Fofana\Wesley-Fofana,FRA,DF,Saint-Étienne,fr Ligue 1,19,2000
905,Youssouf Fofana\Youssouf-Fofana,FRA,MF,Monaco,fr Ligue 1,21,1999
906,Thomas Foket\Thomas-Foket,BEL,DF,Reims,fr Ligue 1,25,1994
907,Ramón Folch\Ramon-Folch,ESP,MF,Elche,es La Liga,30,1989
908,Lamine Fomba\Lamine-Fomba,FRA,MF,Nîmes,fr Ligue 1,22,1998
909,Thomas Fontaine\Thomas-Fontaine,MAD,DF,Lorient,fr Ligue 1,29,1991
910,José Fontán\Jose-Fontan,ESP,DF,Celta Vigo,es La Liga,20,2000
911,José Fonte\Jose-Fonte,POR,DF,Lille,fr Ligue 1,36,1983
912,Fernando Forestieri\Fernando-Forestieri,ITA,FWMF,Udinese,it Serie A,30,1990
913,Pablo Fornals\Pablo-Fornals,ESP,FWMF,West Ham,eng Premier League,24,1996
914,Emil Forsberg\Emil-Forsberg,SWE,FWMF,RB Leipzig,de Bundesliga,28,1991
915,Fraser Forster\Fraser-Forster,ENG,GK,Southampton,eng Premier League,32,1988
916,Philipp Förster\Philipp-Forster,GER,FWMF,Stuttgart,de Bundesliga,25,1995
917,Steven Fortes\Steven-Fortes,CPV,DF,Lens,fr Ligue 1,28,1992
918,Yassin Fortune\Yassin-Fortune,FRA,FW,Angers,fr Ligue 1,21,1999
919,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,NED,DF,Manchester Utd,eng Premier League,22,1998
920,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,NED,DF,Leverkusen,de Bundesliga,22,1998
921,Daam Foulon\Daam-Foulon,BEL,DF,Benevento,it Serie A,21,1999
922,Dimitri Foulquier\Dimitri-Foulquier,FRA,DF,Granada,es La Liga,27,1993
923,Juan Foyth\Juan-Foyth,ARG,DFMF,Villarreal,es La Liga,22,1998
924,Gianluca Frabotta\Gianluca-Frabotta,ITA,DF,Juventus,it Serie A,21,1999
925,Raphael Framberger\Raphael-Framberger,GER,DF,Augsburg,de Bundesliga,24,1995
926,Tyrese Francois\Tyrese-Francois,AUS,DF,Fulham,eng Premier League,20,2000
927,Ryan Fraser\Ryan-Fraser,SCO,FWMF,Newcastle Utd,eng Premier League,26,1994
928,Fred\Fred,BRA,MF,Manchester Utd,eng Premier League,27,1993
929,Ryan Fredericks\Ryan-Fredericks,ENG,DFFW,West Ham,eng Premier League,27,1992
930,Remo Freuler\Remo-Freuler,SUI,MF,Atalanta,it Serie A,28,1992
931,Marco Friedl\Marco-Friedl,AUT,DF,Werder Bremen,de Bundesliga,22,1998
932,Marvin Friedrich\Marvin-Friedrich,GER,DF,Union Berlin,de Bundesliga,24,1995
933,Jeremie Frimpong\Jeremie-Frimpong,NED,DFFW,Leverkusen,de Bundesliga,19,2000
934,Jorge de Frutos\Jorge-de-Frutos,ESP,MFFW,Levante,es La Liga,23,1997
935,Christian Fuchs\Christian-Fuchs,AUT,DF,Leicester City,eng Premier League,34,1986
936,Angelo Fulgini\Angelo-Fulgini,FRA,MF,Angers,fr Ligue 1,23,1996
937,Niclas Füllkrug\Niclas-Fullkrug,GER,FWMF,Werder Bremen,de Bundesliga,27,1993
938,Ramiro Funes Mori\Ramiro-Funes-Mori,ARG,DF,Villarreal,es La Liga,29,1991
939,Darnell Furlong\Darnell-Furlong,ENG,DF,West Brom,eng Premier League,24,1995
940,Daniel Fuzato\Daniel-Fuzato,BRA,GK,Roma,it Serie A,23,1997
941,Baptiste Gabard\Baptiste-Gabard,FRA,MF,Saint-Étienne,fr Ligue 1,20,2000
942,Matteo Gabbia\Matteo-Gabbia,ITA,DF,Milan,it Serie A,20,1999
943,Manolo Gabbiadini\Manolo-Gabbiadini,ITA,FW,Sampdoria,it Serie A,28,1991
944,Mijat Gaćinović\Mijat-Gacinovic,SRB,DFMF,Hoffenheim,de Bundesliga,25,1995
945,Roberto Gagliardini\Roberto-Gagliardini,ITA,MF,Inter,it Serie A,26,1994
946,Riccardo Gagliolo\Riccardo-Gagliolo,SWE,DF,Parma,it Serie A,30,1990
947,Adolfo Gaich\Adolfo-Gaich,ARG,FW,Benevento,it Serie A,21,1999
948,Andrey Galabinov\Andrey-Galabinov,BUL,FW,Spezia,it Serie A,31,1988
949,Javi Galán\Javi-Galan,ESP,DF,Huesca,es La Liga,25,1994
950,Conor Gallagher\Conor-Gallagher,ENG,MF,West Brom,eng Premier League,20,2000
951,Enric Gallego\Enric-Gallego,ESP,FW,Osasuna,es La Liga,33,1986
952,Kévin Gameiro\Kevin-Gameiro,FRA,FW,Valencia,es La Liga,33,1987
953,Idrissa Gana Gueye\Idrissa-Gana-Gueye,SEN,MF,Paris S-G,fr Ligue 1,30,1989
954,Ignatius Ganago\Ignatius-Ganago,CMR,FW,Lens,fr Ligue 1,21,1999
955,Aleix García\Aleix-Garcia,ESP,MF,Eibar,es La Liga,23,1997
956,Borja García\Borja-Garcia,ESP,MFFW,Huesca,es La Liga,29,1990
957,Dani García\Dani-Garcia,ESP,MF,Athletic Club,es La Liga,30,1990
958,David García\David-Garcia,ESP,DF,Osasuna,es La Liga,26,1994
959,Eric García\Eric-Garcia,ESP,DF,Manchester City,eng Premier League,19,2001
960,Manu García\Manu-Garcia,ESP,MF,Alavés,es La Liga,34,1986
961,Raúl García\Raul-Garcia,ESP,DFMF,Valladolid,es La Liga,31,1989
962,Raúl García\Raul-Garcia,ESP,FWMF,Athletic Club,es La Liga,34,1986
963,Rubén García\Ruben-Garcia,ESP,MFFW,Osasuna,es La Liga,27,1993
