Unnamed: 0,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3
Rk,MP,Starts,Min,90s
1100,37,37,3240,36
1101,14,2,333,3.7
1102,28,25,2101,23.3
1103,2,0,32,0.4
1104,36,34,2847,31.6
1105,22,20,1681,18.7
1106,29,26,2288,25.4
1107,22,20,1762,19.6
1108,7,7,630,7
1109,27,18,1520,16.9
1110,24,22,1942,21.6
1111,14,7,532,5.9
1112,16,8,654,7.3
1113,19,15,1290,14.3
1114,4,3,263,2.9
1115,18,3,460,5.1
1116,1,1,90,1
1117,21,14,1369,15.2
1118,13,12,1125,12.5
1119,21,20,1704,18.9
1120,22,17,1422,15.8
1121,13,5,540,6
1122,13,3,373,4.1
1123,18,8,924,10.3
1124,19,6,675,7.5
1125,16,15,1377,15.3
1126,22,19,1625,18.1
1127,31,30,2578,28.6
1128,24,24,2026,22.5
1129,23,18,1597,17.7
1130,16,3,427,4.7
1131,33,33,2933,32.6
1132,33,27,2189,24.3
1133,31,18,1851,20.6
1134,16,8,682,7.6
1135,33,32,2958,32.9
1136,32,25,2310,25.7
1137,27,9,876,9.7
1138,27,10,1204,13.4
1139,31,27,2212,24.6
1140,37,36,3114,34.6
1141,11,10,758,8.4
1142,29,24,2117,23.5
1143,29,29,2527,28.1
1144,16,16,1395,15.5
1145,17,10,952,10.6
1146,12,5,577,6.4
1147,31,30,2729,30.3
1148,24,21,1817,20.2
1149,3,1,53,0.6
1150,30,28,2558,28.4
1151,33,22,2089,23.2
1152,28,26,2287,25.4
1153,5,0,145,1.6
1154,36,28,2458,27.3
1155,22,15,1305,14.5
1156,29,20,1768,19.6
1157,34,34,3009,33.4
1158,3,0,35,0.4
1159,4,3,225,2.5
1160,29,29,2565,28.5
1161,11,1,272,3
1162,6,6,525,5.8
1163,23,10,1059,11.8
1164,1,0,38,0.4
1165,33,32,2813,31.3
1166,20,5,589,6.5
1167,9,7,588,6.5
1168,24,20,1768,19.6
1169,38,38,3420,38
1170,16,13,1193,13.3
1171,18,18,1560,17.3
1172,30,28,2398,26.6
1173,4,1,156,1.7
1174,13,10,928,10.3
1175,29,29,2610,29
1176,19,18,1493,16.6
1177,20,11,1079,12
1178,3,0,27,0.3
1179,3,3,238,2.6
1180,1,0,10,0.1
1181,10,7,605,6.7
1182,28,15,1411,15.7
1183,21,13,1168,13
1184,25,16,1459,16.2
1185,37,26,2177,24.2
1186,12,3,312,3.5
1187,14,4,542,6
1188,29,19,1835,20.4
1189,28,17,1526,17
1190,6,6,337,3.7
1191,27,17,1578,17.5
1192,35,34,2849,31.7
1193,34,23,2335,25.9
1194,14,6,576,6.4
1195,29,26,2173,24.1
1196,30,24,1963,21.8
1197,35,33,2865,31.8
1198,30,17,1599,17.8
1199,20,17,1587,17.6
1200,28,22,1819,20.2
1201,36,34,2835,31.5
1202,34,30,2340,26
1203,25,8,908,10.1
1204,17,14,1297,14.4
1205,13,8,767,8.5
1206,30,17,1542,17.1
1207,30,11,1277,14.2
1208,1,0,9,0.1
1209,25,24,2004,22.3
1210,10,6,526,5.8
1211,21,6,528,5.9
