Unnamed: 0,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog
473,675,905,74.6,12319,4097,304,348,87.4,256,322,79.5,94,175,53.7,2,3,-1,43,61,31,1,90
474,188,239,78.7,2770,1002,111,127,87.4,66,79,83.5,8,19,42.1,0,0.1,-0.1,3,8,1,1,11
475,598,774,77.3,10069,2881,313,376,83.2,202,246,82.1,60,97,61.9,3,2.5,0.5,19,49,35,12,79
476,356,432,82.4,6477,2137,146,156,93.6,160,180,88.9,42,84,50,0,0.2,-0.2,4,35,8,2,40
477,600,834,71.9,10024,2429,307,379,81,213,264,80.7,60,131,45.8,0,3.4,-3.4,44,19,30,11,50
478,270,343,78.7,4517,627,134,163,82.2,95,113,84.1,30,36,83.3,3,2.7,0.3,15,16,13,1,18
479,1112,1286,86.5,22027,5182,415,457,90.8,511,558,91.6,172,230,74.8,3,2.9,0.1,27,131,22,3,107
480,745,911,81.8,13994,4692,305,340,89.7,334,387,86.3,89,155,57.4,0,0.2,-0.2,5,72,6,0,63
481,97,111,87.4,2176,613,29,30,96.7,48,52,92.3,20,29,69,0,0,0,0,4,0,0,5
482,1308,1657,78.9,22519,9292,642,713,90,520,624,83.3,125,251,49.8,2,2.6,-0.6,25,104,24,13,121
483,844,1092,77.3,14705,4256,427,478,89.3,298,355,83.9,102,218,46.8,5,4.5,0.5,49,89,38,7,96
484,1381,1769,78.1,22360,9804,729,815,89.4,536,674,79.5,95,212,44.8,0,1.5,-1.5,20,75,26,18,113
485,685,812,84.4,14163,4525,218,247,88.3,359,387,92.8,99,159,62.3,0,0,0,1,50,6,1,44
486,95,142,66.9,1530,281,56,73,76.7,29,46,63,8,12,66.7,0,0.8,-0.8,6,6,5,0,13
487,307,405,75.8,7158,2532,54,71,76.1,189,212,89.2,60,114,52.6,0,0.1,-0.1,2,16,1,0,24
488,915,1047,87.4,21661,5549,234,251,93.2,436,473,92.2,236,308,76.6,1,0.2,0.8,4,46,1,0,35
489,12,15,80,205,114,5,7,71.4,5,5,100,1,2,50,0,0,0,0,2,0,0,2
490,782,1021,76.6,13877,5842,355,395,89.9,323,398,81.2,84,191,44,0,0.7,-0.7,10,68,9,6,76
491,201,279,72,3393,1003,101,122,82.8,63,85,74.1,26,49,53.1,0,1.3,-1.3,8,17,9,0,36
492,4,7,57.1,99,41,1,1,100,1,1,100,2,5,40,0,0,0,0,0,0,0,0
493,128,207,61.8,2599,881,41,54,75.9,62,82,75.6,22,63,34.9,0,0.1,-0.1,1,9,0,0,17
494,301,393,76.6,4901,2358,149,167,89.2,124,163,76.1,20,44,45.5,0,0.2,-0.2,4,18,2,1,29
495,1035,1202,86.1,19560,5263,409,449,91.1,476,531,89.6,132,185,71.4,2,0.9,1.1,7,66,3,0,62
496,462,575,80.3,8301,2388,206,231,89.2,204,241,84.6,47,85,55.3,2,1.1,0.9,11,24,9,5,23
497,153,214,71.5,2681,1166,73,85,85.9,63,91,69.2,15,30,50,0,0.3,-0.3,4,14,5,1,26
498,54,71,76.1,871,206,32,36,88.9,17,22,77.3,4,9,44.4,0,0,0,1,3,0,0,7
499,548,698,78.5,8963,1996,275,324,84.9,212,268,79.1,38,63,60.3,1,3.1,-2.1,22,38,20,4,50
500,1372,1633,84,33190,11429,331,361,91.7,689,740,93.1,344,512,67.2,1,1,0,7,105,18,3,90
501,870,1037,83.9,16109,4733,408,458,89.1,334,381,87.7,114,173,65.9,3,2.5,0.5,22,70,11,3,71
502,535,612,87.4,10055,2152,201,232,86.6,262,280,93.6,62,85,72.9,0,0.7,-0.7,9,37,6,0,42
503,94,157,59.9,2358,997,24,37,64.9,40,62,64.5,29,55,52.7,0,0.1,-0.1,1,14,0,0,11
504,280,351,79.8,4780,1147,153,175,87.4,89,118,75.4,32,41,78,3,2.1,0.9,15,17,11,2,26
505,209,338,61.8,3793,1255,100,127,78.7,82,134,61.2,25,50,50,3,2.4,0.6,15,20,15,6,36
506,1004,1093,91.9,22079,6173,243,250,97.2,576,601,95.8,177,225,78.7,1,0,1,1,75,2,0,52
507,91,118,77.1,1795,588,44,50,88,30,38,78.9,16,23,69.6,1,0.8,0.2,5,6,6,5,5
508,626,808,77.5,11214,3484,303,354,85.6,235,294,79.9,77,117,65.8,8,6.5,1.5,45,45,41,17,82
509,1419,1806,78.6,24038,8064,710,781,90.9,557,684,81.4,122,262,46.6,5,2.8,2.2,30,87,26,11,127
510,1494,1598,93.5,28946,7925,539,566,95.2,768,805,95.4,173,204,84.8,1,0.7,0.3,7,65,2,0,41
511,1040,1235,84.2,19622,4743,420,465,90.3,470,526,89.4,127,200,63.5,2,1.2,0.8,17,120,14,2,98
512,86,136,63.2,1383,469,50,69,72.5,23,36,63.9,9,14,64.3,1,0.5,0.5,5,7,3,2,7
513,274,381,71.9,5556,1735,117,147,79.6,102,132,77.3,51,89,57.3,0,0.4,-0.4,7,22,4,2,24
514,190,235,80.9,3682,616,73,92,79.3,89,102,87.3,25,34,73.5,0,0,0,0,13,0,0,8
515,395,523,75.5,6808,1944,212,251,84.5,121,148,81.8,54,93,58.1,2,2,0,27,21,9,0,40
516,1011,1089,92.8,21334,5754,295,316,93.4,551,578,95.3,158,183,86.3,0,0.4,-0.4,6,44,3,0,46
517,5,8,62.5,88,10,3,3,100,1,2,50,1,2,50,0,0,0,0,0,0,0,0
518,397,532,74.6,6638,1586,189,228,82.9,175,227,77.1,26,52,50,2,2.6,-0.6,28,16,30,6,47
519,81,99,81.8,1239,325,45,49,91.8,29,35,82.9,6,12,50,1,0.4,0.6,2,1,6,1,10
520,65,70,92.9,1454,434,14,15,93.3,39,39,100,11,15,73.3,0,0,0,0,5,0,0,2
521,64,90,71.1,1994,1139,8,8,100,28,29,96.6,28,53,52.8,0,0,0,0,1,0,0,1
522,162,219,74,2697,985,82,93,88.2,59,81,72.8,17,30,56.7,0,0,0,0,8,0,0,8
523,31,69,44.9,1673,1368,1,1,100,3,3,100,27,65,41.5,0,0,0,1,1,0,0,0
524,625,748,83.6,13470,4538,217,237,91.6,275,310,88.7,124,180,68.9,0,1.2,-1.2,16,82,8,0,70
525,188,317,59.3,6614,4602,40,40,100,54,55,98.2,90,218,41.3,0,0,0,0,4,0,0,0
526,10,11,90.9,130,13,7,7,100,3,3,100,0,0,0,0,0.1,-0.1,1,0,1,0,1
527,16,24,66.7,306,88,8,12,66.7,3,6,50,5,5,100,0,0,0,0,1,0,0,2
