Unnamed: 0,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog
610,253,345,73.3,3855,1229,150,189,79.4,74,94,78.7,18,34,52.9,0,1,-1,12,23,14,3,35
611,841,946,88.9,12269,3240,498,536,92.9,297,327,90.8,29,50,58,2,1,1,12,38,14,4,40
612,67,86,77.9,1529,554,19,19,100,32,33,97,14,32,43.8,0,0,0,0,0,0,0,0
613,786,913,86.1,16172,3257,257,285,90.2,373,408,91.4,139,184,75.5,1,1.2,-0.2,12,66,15,2,64
614,11,13,84.6,147,42,7,7,100,4,4,100,0,1,0,0,0,0,0,1,0,0,0
615,1813,2212,82,31713,9947,899,988,91,709,841,84.3,183,304,60.2,2,2.1,-0.1,27,141,38,9,182
616,463,611,75.8,9706,3575,171,199,85.9,206,261,78.9,82,130,63.1,1,1.2,-0.2,9,37,13,8,42
617,528,746,70.8,8486,2804,276,330,83.6,173,246,70.3,48,107,44.9,4,2.8,1.2,27,46,21,5,69
618,974,1104,88.2,19531,6777,334,361,92.5,512,552,92.8,122,175,69.7,0,0.3,-0.3,3,91,6,2,74
619,2194,2484,88.3,44145,13674,736,800,92,1137,1238,91.8,305,406,75.1,4,3.5,0.5,27,229,33,9,175
620,508,604,84.1,10396,4758,162,179,90.5,273,294,92.9,70,121,57.9,0,0,0,1,24,0,0,28
621,28,35,80,568,131,11,12,91.7,12,15,80,5,6,83.3,0,0,0,1,1,3,0,5
622,630,695,90.6,13710,4731,166,173,96,361,377,95.8,99,138,71.7,1,0.2,0.8,2,28,3,0,31
623,25,39,64.1,441,160,9,13,69.2,11,16,68.8,3,5,60,0,0.1,-0.1,1,1,0,0,2
624,247,259,95.4,4844,1279,94,97,96.9,112,115,97.4,39,43,90.7,0,0,0,2,26,0,0,25
625,406,506,80.2,10810,3757,57,65,87.7,233,247,94.3,115,189,60.8,1,0.2,0.8,4,38,4,1,44
626,720,993,72.5,15582,3812,254,314,80.9,284,357,79.6,168,263,63.9,6,5.8,0.2,39,58,28,5,81
627,364,726,50.1,15539,11428,25,25,100,111,115,96.5,228,586,38.9,0,0,0,1,8,0,0,0
628,421,520,81,7478,2566,179,206,86.9,192,223,86.1,42,69,60.9,3,1.5,1.5,11,18,13,8,32
629,78,100,78,1411,453,30,32,93.8,43,50,86,5,13,38.5,0,0,0,1,4,0,0,8
630,453,582,77.8,6204,1053,273,329,83,142,175,81.1,17,28,60.7,2,3.1,-1.1,34,29,15,0,35
631,1338,1504,89,21879,6501,653,706,92.5,598,655,91.3,71,95,74.7,2,0.8,1.2,13,95,16,5,107
632,610,783,77.9,10908,4213,266,295,90.2,282,332,84.9,53,127,41.7,1,0.6,0.4,7,42,9,4,43
633,573,684,83.8,10963,2685,236,264,89.4,252,284,88.7,78,107,72.9,1,1,0,7,43,7,2,47
634,58,79,73.4,843,141,36,40,90,19,29,65.5,2,4,50,1,0.5,0.5,5,1,3,0,3
635,16,19,84.2,384,159,3,3,100,10,11,90.9,3,5,60,0,0,0,0,0,1,0,1
636,754,881,85.6,14132,4408,301,325,92.6,345,393,87.8,94,138,68.1,0,0,0,2,31,3,0,41
637,592,718,82.5,14128,3945,129,140,92.1,303,328,92.4,153,237,64.6,0,0,0,1,41,1,0,25
638,1068,1406,76,21109,6183,452,536,84.3,417,512,81.4,176,280,62.9,12,10.2,1.8,79,128,79,9,173
639,317,368,86.1,6750,1811,86,94,91.5,166,181,91.7,62,88,70.5,0,0,0,0,6,1,0,14
640,1532,2093,73.2,33733,11543,519,635,81.7,659,822,80.2,339,575,59,9,10,-1,89,182,97,20,264
641,9,12,75,183,15,3,4,75,4,4,100,2,3,66.7,0,0,0,0,0,0,0,0
642,807,958,84.2,14699,5626,359,391,91.8,352,403,87.3,87,135,64.4,1,1.5,-0.5,10,66,18,5,74
643,953,1256,75.9,17781,8233,399,452,88.3,444,555,80,102,213,47.9,0,0.9,-0.9,12,86,19,6,84
644,282,355,79.4,4940,1700,128,143,89.5,119,149,79.9,27,50,54,0,0.4,-0.4,5,16,4,1,25
645,802,1008,79.6,17530,4792,268,322,83.2,323,369,87.5,192,270,71.1,2,1,1,17,55,12,5,67
646,940,1263,74.4,16419,7795,499,549,90.9,335,434,77.2,97,225,43.1,1,1.7,-0.7,17,60,32,16,66
647,373,426,87.6,5242,896,230,251,91.6,109,124,87.9,19,25,76,3,1.3,1.7,20,25,13,1,28
648,127,165,77,2540,565,52,60,86.7,52,60,86.7,20,35,57.1,0,0.4,-0.4,8,9,1,1,10
649,197,234,84.2,3774,948,86,92,93.5,77,90,85.6,32,43,74.4,0,0.4,-0.4,6,16,3,2,19
650,265,371,71.4,4602,1349,123,158,77.8,114,144,79.2,23,46,50,5,2.2,2.8,18,15,14,6,28
651,4,7,57.1,51,15,2,3,66.7,2,3,66.7,0,1,0,0,0,0,0,0,0,0,0
652,621,829,74.9,10472,3699,295,333,88.6,272,354,76.8,42,104,40.4,2,0.8,1.2,11,27,14,8,47
653,697,832,83.8,13181,2962,290,326,89,295,330,89.4,95,146,65.1,1,0.2,0.8,4,53,6,1,46
654,5,7,71.4,45,0,4,6,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,397,520,76.3,6398,2598,217,250,86.8,144,189,76.2,31,68,45.6,1,1.6,-0.6,13,22,14,10,27
656,2,2,100,38,35,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0
657,110,143,76.9,2209,627,42,54,77.8,47,51,92.2,18,33,54.5,0,0,0,0,5,0,0,4
658,557,895,62.2,9556,2714,288,389,74,176,291,60.5,73,146,50,9,5.9,3.1,56,41,43,26,70
659,206,234,88,3586,937,94,100,94,91,98,92.9,18,31,58.1,0,0.1,-0.1,2,15,1,0,15
660,20,33,60.6,281,23,14,20,70,6,11,54.5,0,1,0,0,0,0,1,0,1,0,1
661,104,146,71.2,1326,303,67,86,77.9,21,34,61.8,6,10,60,0,0.7,-0.7,6,6,7,0,12
662,844,1023,82.5,13327,2906,483,536,90.1,288,350,82.3,59,88,67,3,4.9,-1.9,36,40,44,6,76
663,592,636,93.1,11762,3395,182,195,93.3,342,351,97.4,64,81,79,1,0.1,0.9,1,19,0,0,21
664,953,1210,78.8,18424,5745,418,468,89.3,358,426,84,160,278,57.6,3,2.6,0.4,36,114,25,8,122
665,154,265,58.1,2549,838,79,109,72.5,55,103,53.4,15,29,51.7,6,3.1,2.9,13,17,16,3,34
666,1118,1251,89.4,20433,4261,489,515,95,468,513,91.2,138,178,77.5,3,1.6,1.4,18,113,14,2,68
667,1592,1661,95.8,33446,9962,454,476,95.4,857,876,97.8,271,294,92.2,0,0,0,0,70,0,0,72
668,1021,1162,87.9,19320,4299,405,447,90.6,449,500,89.8,141,169,83.4,0,0.7,-0.7,16,64,8,2,62
669,81,113,71.7,1299,189,47,60,78.3,24,35,68.6,6,11,54.5,1,0.6,0.4,4,5,3,0,7
670,98,139,70.5,1396,204,60,76,78.9,25,39,64.1,7,7,100,1,1.2,-0.2,4,4,3,2,3
671,64,79,81,1442,496,17,22,77.3,35,36,97.2,12,16,75,0,0,0,0,7,1,0,8
672,303,412,73.5,5731,3074,125,140,89.3,134,167,80.2,40,82,48.8,0,0.4,-0.4,7,21,15,5,41
673,9,15,60,136,72,6,8,75,1,3,33.3,1,1,100,0,0.1,-0.1,1,1,0,0,2
674,86,103,83.5,1246,546,59,65,90.8,23,28,82.1,3,7,42.9,0,0.1,-0.1,2,5,1,0,12
675,917,1300,70.5,15562,5209,500,611,81.8,247,335,73.7,127,254,50,12,13.7,-1.7,91,84,60,13,121
676,3,6,50,52,17,1,2,50,2,2,100,0,0,0,0,0,0,0,1,0,0,1
677,720,827,87.1,17435,4775,142,157,90.4,408,436,93.6,165,225,73.3,0,0.1,-0.1,3,25,3,0,30
678,35,39,89.7,805,160,8,8,100,18,21,85.7,9,9,100,0,0,0,0,1,0,0,1
679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,1164,1302,89.4,16336,4197,717,767,93.5,373,410,91,36,53,67.9,1,2.6,-1.6,22,46,26,6,60
681,192,273,70.3,2793,482,121,155,78.1,38,66,57.6,20,30,66.7,1,0.6,0.4,7,12,5,1,15
682,169,247,68.4,2516,647,100,123,81.3,51,73,69.9,11,28,39.3,1,1.1,-0.1,7,9,12,1,19
683,155,310,50,3155,1052,71,129,55,51,98,52,28,60,46.7,3,1.6,1.4,7,24,8,3,22
684,32,43,74.4,480,69,15,17,88.2,12,15,80,2,7,28.6,0,0.2,-0.2,1,1,1,0,2
685,97,157,61.8,1183,110,70,96,72.9,24,47,51.1,1,3,33.3,0,0.1,-0.1,4,4,2,0,4
686,79,102,77.5,1229,119,41,49,83.7,26,34,76.5,7,9,77.8,0,0,0,0,3,3,1,4
687,2233,2560,87.2,39287,15188,1028,1105,93,957,1061,90.2,217,306,70.9,6,4.7,1.3,45,227,60,14,258
688,889,1218,73,16416,5546,427,490,87.1,309,416,74.3,134,248,54,9,10.6,-1.6,67,89,74,14,131
689,5,9,55.6,81,50,2,3,66.7,3,5,60,0,1,0,0,0,0,1,1,0,0,1
690,53,76,69.7,733,222,34,40,85,14,23,60.9,3,6,50,0,0,0,1,1,4,0,11
691,501,622,80.5,7826,1177,275,326,84.4,157,182,86.3,44,55,80,1,1.8,-0.8,31,22,16,1,30
692,5,10,50,69,11,4,5,80,1,2,50,0,2,0,0,0.1,-0.1,1,0,0,0,0
693,722,949,76.1,12523,2391,357,416,85.8,282,337,83.7,71,144,49.3,11,6.8,4.2,44,26,42,21,55
694,162,230,70.4,2398,456,105,127,82.7,42,70,60,12,21,57.1,2,1.7,0.3,12,13,5,2,16
695,844,981,86,19750,5812,202,223,90.6,448,475,94.3,192,268,71.6,0,0,0,0,44,1,0,37
696,1109,1191,93.1,20618,7433,474,491,96.5,498,521,95.6,127,161,78.9,1,0.5,0.5,1,72,5,2,75
697,54,64,84.4,839,219,29,33,87.9,18,20,90,4,5,80,1,0.5,0.5,2,5,1,0,5
698,9,10,90,160,55,3,3,100,5,5,100,1,2,50,0,0.1,-0.1,1,2,1,0,2
699,401,574,69.9,6758,1493,224,293,76.5,116,158,73.4,49,76,64.5,3,3.2,-0.2,21,23,17,4,42
700,21,36,58.3,361,106,11,20,55,8,11,72.7,2,2,100,0,0.3,-0.3,1,3,3,1,4
701,500,587,85.2,8755,1972,219,247,88.7,230,249,92.4,41,76,53.9,0,0.5,-0.5,8,36,6,1,33
702,245,282,86.9,4867,1063,85,96,88.5,111,119,93.3,41,55,74.5,0,0.4,-0.4,4,20,1,0,25
703,7,8,87.5,95,16,5,5,100,2,3,66.7,0,0,0,0,0,0,0,1,0,0,0
704,256,351,72.9,3593,893,146,181,80.7,92,116,79.3,8,28,28.6,0,0.2,-0.2,5,15,7,0,26
705,60,85,70.6,963,340,26,36,72.2,27,30,90,4,9,44.4,0,0.3,-0.3,6,3,8,5,5
706,705,1057,66.7,13471,5395,323,379,85.2,254,360,70.6,113,250,45.2,9,8.1,0.9,66,81,42,9,135
707,90,139,64.7,1713,648,42,53,79.2,31,40,77.5,15,34,44.1,2,1,1,9,9,6,1,17
708,2499,2671,93.6,54265,14607,617,647,95.4,1427,1471,97,439,519,84.6,0,0.1,-0.1,3,166,9,1,116
709,126,172,73.3,1882,356,70,85,82.4,46,61,75.4,5,13,38.5,0,0.1,-0.1,2,6,1,0,9
710,422,473,89.2,8423,1699,139,151,92.1,226,247,91.5,53,68,77.9,0,0.6,-0.6,2,35,2,0,27
711,421,485,86.8,6214,1289,248,272,91.2,128,145,88.3,27,40,67.5,3,1.6,1.4,19,30,10,3,28
712,265,385,68.8,5767,2717,82,93,88.2,129,159,81.1,52,117,44.4,2,0.3,1.7,7,22,6,4,26
713,318,429,74.1,5748,1950,136,161,84.5,135,170,79.4,37,72,51.4,3,3,0,25,41,22,5,58
714,1400,1654,84.6,31628,10687,393,433,90.8,711,766,92.8,289,429,67.4,0,0.1,-0.1,3,72,5,0,62
715,181,206,87.9,4468,1155,33,36,91.7,101,106,95.3,47,63,74.6,0,0,0,0,6,1,0,10
716,1225,1690,72.5,22044,8899,578,664,87,488,631,77.3,135,307,44,7,5.4,1.6,44,63,37,26,108
717,296,329,90,7078,2109,61,65,93.8,176,186,94.6,59,77,76.6,0,0,0,0,26,0,0,20
718,620,807,76.8,10346,4912,286,327,87.5,282,358,78.8,42,87,48.3,0,0.2,-0.2,6,53,6,3,55
719,134,179,74.9,2475,555,70,86,81.4,41,52,78.8,20,33,60.6,1,0.4,0.6,5,11,9,1,17
720,1340,1885,71.1,25639,10781,575,655,87.8,545,677,80.5,196,483,40.6,3,6.6,-3.6,67,125,37,13,151
721,11,15,73.3,191,8,6,6,100,4,4,100,1,4,25,0,0,0,0,1,0,0,0
722,20,27,74.1,223,128,16,20,80,2,4,50,1,1,100,0,0.1,-0.1,3,2,2,1,2
723,639,718,89,13084,4648,192,210,91.4,351,381,92.1,85,108,78.7,0,0.3,-0.3,4,37,3,0,40
724,254,401,63.3,3774,628,142,196,72.4,79,123,64.2,16,31,51.6,1,1.3,-0.3,15,10,13,5,18
725,475,563,84.4,9379,2899,160,184,87,244,267,91.4,65,101,64.4,0,0,0,1,28,0,0,22
726,633,898,70.5,13435,3293,210,269,78.1,295,401,73.6,119,199,59.8,1,1.1,-0.1,15,92,10,2,76
727,776,985,78.8,12843,3208,389,447,87,283,342,82.7,68,124,54.8,1,2.3,-1.3,29,64,25,3,89
728,2,4,50,32,6,1,1,100,1,3,33.3,0,0,0,0,0,0,0,1,0,0,0
729,40,52,76.9,1039,656,6,6,100,20,21,95.2,14,25,56,0,0,0,0,1,0,0,0
730,1,1,100,8,5,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,1327,1531,86.7,29317,8084,323,341,94.7,762,815,93.5,231,353,65.4,0,0.4,-0.4,3,92,7,0,80
732,608,693,87.7,11767,3737,251,269,93.3,253,280,90.4,95,125,76,0,0.2,-0.2,2,49,2,1,36
733,723,943,76.7,16357,5196,187,225,83.1,369,436,84.6,160,269,59.5,1,0.1,0.9,5,55,2,1,59
734,295,400,73.8,4570,1263,160,192,83.3,111,139,79.9,18,33,54.5,0,0.6,-0.6,7,17,13,2,24
735,613,750,81.7,12063,4893,220,247,89.1,316,351,90,70,132,53,0,0.2,-0.2,4,45,1,0,50
736,1140,1317,86.6,27252,8702,239,268,89.2,610,659,92.6,283,366,77.3,0,0.5,-0.5,4,68,1,0,58
737,1558,1769,88.1,28327,9318,683,752,90.8,683,741,92.2,179,237,75.5,3,2.2,0.8,15,136,21,3,138
738,580,1074,54,27390,21416,49,49,100,169,172,98.3,359,849,42.3,0,0.5,-0.5,4,68,2,0,1
739,546,861,63.4,9639,3791,270,330,81.8,181,260,69.6,73,209,34.9,2,3.3,-1.3,46,43,33,10,80
740,132,176,75,1763,406,76,90,84.4,46,58,79.3,3,10,30,0,0.3,-0.3,4,10,0,0,13
741,666,826,80.6,10945,4240,359,402,89.3,249,307,81.1,47,88,53.4,2,0.8,1.2,11,23,14,7,43
742,790,971,81.4,12255,3119,446,518,86.1,279,332,84,46,66,69.7,3,3.7,-0.7,41,34,58,16,98
743,260,329,79,3952,379,135,168,80.4,97,118,82.2,15,21,71.4,2,1.1,0.9,12,15,3,0,10
744,156,185,84.3,2606,538,80,88,90.9,57,63,90.5,16,28,57.1,0,0.2,-0.2,4,11,1,0,10
745,623,897,69.5,22663,15899,88,89,98.9,220,222,99.1,312,583,53.5,0,0,0,0,6,0,0,1
746,123,148,83.1,2854,908,25,25,100,74,84,88.1,24,37,64.9,0,0.1,-0.1,1,4,0,0,5
747,615,714,86.1,11414,3357,273,303,90.1,246,287,85.7,82,106,77.4,0,2.3,-2.3,21,72,14,2,63
748,19,20,95,379,146,10,11,90.9,5,5,100,4,4,100,0,0,0,0,0,0,0,0
749,15,27,55.6,172,78,11,15,73.3,3,8,37.5,0,1,0,0,0,0,1,3,0,0,2
750,13,20,65,171,36,9,10,90,4,7,57.1,0,3,0,0,0,0,0,0,1,0,1
751,977,1245,78.5,26019,15413,220,222,99.1,439,441,99.5,317,580,54.7,0,0,0,0,7,0,0,1
752,1283,1492,86,27010,7820,378,414,91.3,675,722,93.5,217,330,65.8,0,0.1,-0.1,2,82,3,2,53
753,203,312,65.1,2941,701,119,168,70.8,63,94,67,13,28,46.4,2,2.3,-0.3,11,24,6,0,28
754,541,625,86.6,9986,1903,221,247,89.5,236,269,87.7,71,84,84.5,0,0.1,-0.1,3,33,2,0,26
755,1146,1332,86,20026,4093,517,588,87.9,482,534,90.3,117,147,79.6,3,2.2,0.8,18,69,21,1,65
756,1273,1463,87,25108,5434,497,565,88,537,592,90.7,214,252,84.9,1,1.8,-0.8,25,154,20,1,136
757,149,193,77.2,2761,1056,48,59,81.4,86,103,83.5,12,25,48,0,0.5,-0.5,4,11,3,1,14
758,10,13,76.9,159,21,4,5,80,6,8,75,0,0,0,0,0,0,0,1,0,0,0
759,39,45,86.7,796,101,14,15,93.3,16,19,84.2,8,10,80,0,0.1,-0.1,1,3,0,0,1
760,378,413,91.5,7084,1236,148,161,91.9,184,195,94.4,44,51,86.3,0,0,0,1,21,1,0,17
761,338,417,81.1,5439,1150,173,197,87.8,115,131,87.8,30,56,53.6,1,1.2,-0.2,14,21,11,4,27
762,1033,1265,81.7,16764,6027,553,609,90.8,399,465,85.8,70,155,45.2,1,2.7,-1.7,17,43,19,5,77
763,942,1058,89,20527,6358,287,312,92,457,496,92.1,189,233,81.1,0,0.4,-0.4,6,81,4,0,72
764,696,1062,65.5,23008,15272,130,130,100,248,256,96.9,314,672,46.7,1,0.1,0.9,1,20,1,0,0
765,53,71,74.6,762,208,29,38,76.3,16,20,80,4,7,57.1,0,0,0,0,4,4,0,6
766,1,1,100,19,19,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0
767,43,53,81.1,808,180,18,21,85.7,17,22,77.3,7,7,100,0,0,0,2,4,0,0,4
768,548,634,86.4,9317,1967,276,307,89.9,210,238,88.2,51,69,73.9,3,2.8,0.2,27,35,22,2,55
769,411,536,76.7,6577,1589,219,252,86.9,141,175,80.6,36,71,50.7,1,1.6,-0.6,14,20,16,4,40
770,225,361,62.3,7604,5141,24,24,100,98,104,94.2,103,232,44.4,0,0,0,0,2,0,0,0
771,761,948,80.3,17453,6258,186,212,87.7,397,445,89.2,172,274,62.8,0,1,-1,5,56,4,1,85
772,13,13,100,264,46,4,4,100,7,7,100,2,2,100,0,0,0,0,0,0,0,0
773,1009,1154,87.4,22919,7276,247,266,92.9,525,556,94.4,222,310,71.6,0,0.2,-0.2,4,48,0,0,55
774,934,1319,70.8,18364,9661,403,462,87.2,385,504,76.4,138,312,44.2,1,2.4,-1.4,26,71,24,10,115
775,1818,2291,79.4,33411,13410,803,896,89.6,775,921,84.1,219,404,54.2,4,5.8,-1.8,68,133,54,18,218
776,310,427,72.6,9691,5363,63,63,100,123,126,97.6,121,235,51.5,0,0,0,0,2,0,0,0
777,897,1250,71.8,17329,4615,392,466,84.1,308,414,74.4,166,294,56.5,5,4.1,0.9,44,95,23,9,102
778,34,43,79.1,697,313,8,9,88.9,21,25,84,5,7,71.4,0,0,0,0,2,0,0,4
779,238,306,77.8,4070,1282,116,136,85.3,93,115,80.9,21,39,53.8,2,1.3,0.7,12,25,15,3,44
780,410,534,76.8,7695,3846,184,199,92.5,166,200,83,52,119,43.7,0,0.5,-0.5,4,31,5,2,23
781,65,85,76.5,1327,343,25,30,83.3,26,32,81.3,12,17,70.6,0,0,0,1,9,0,0,8
782,491,605,81.2,9635,2647,178,208,85.6,237,278,85.3,68,103,66,1,1.1,-0.1,9,64,13,2,60
783,1935,2151,90,45296,12437,477,505,94.5,1000,1051,95.1,442,570,77.5,0,0.9,-0.9,9,116,2,0,70
784,104,146,71.2,2320,570,29,37,78.4,52,68,76.5,22,38,57.9,0,0.1,-0.1,2,1,1,0,2
785,517,736,70.2,9676,3949,216,251,86.1,235,316,74.4,58,132,43.9,2,2.1,-0.1,12,26,15,8,48
786,5,5,100,53,5,5,5,100,0,0,0,0,0,0,0,0.1,-0.1,1,0,1,0,1
787,1131,1337,84.6,26106,9150,273,308,88.6,598,661,90.5,253,352,71.9,0,0.6,-0.6,4,102,4,1,90
788,578,705,82,10079,2225,300,329,91.2,184,217,84.8,75,126,59.5,3,2.9,0.1,31,43,26,4,68
789,342,511,66.9,5827,1220,189,262,72.1,93,135,68.9,46,64,71.9,3,2.5,0.5,27,21,16,0,41
790,635,804,79,10496,2328,339,400,84.8,228,269,84.8,57,97,58.8,1,2,-1,21,48,18,3,62
791,22,27,81.5,323,79,13,15,86.7,8,9,88.9,1,1,100,1,0.5,0.5,1,2,1,0,1
792,127,153,83,2022,834,65,68,95.6,53,62,85.5,7,17,41.2,0,0.6,-0.6,1,2,0,0,3
793,1655,1918,86.3,38535,13759,373,413,90.3,920,989,93,357,497,71.8,0,0,0,1,58,3,0,66
794,16,22,72.7,331,69,9,10,90,4,6,66.7,3,4,75,0,0.2,-0.2,2,0,0,0,0
795,906,1090,83.1,24431,13859,131,135,97,507,511,99.2,261,436,59.9,1,0.4,0.6,1,7,2,0,1
796,30,35,85.7,420,91,18,18,100,12,13,92.3,0,2,0,0,0,0,0,3,0,0,3
797,925,1094,84.6,21851,6700,231,253,91.3,480,526,91.3,209,301,69.4,1,0.2,0.8,3,81,7,1,58
798,11,17,64.7,155,26,7,8,87.5,4,7,57.1,0,2,0,0,0,0,1,1,0,0,2
799,1075,1367,78.6,19480,6336,475,591,80.4,465,550,84.5,122,173,70.5,5,3.3,1.7,26,122,27,3,160
800,4,4,100,58,3,1,1,100,2,2,100,0,0,0,0,0,0,0,0,0,0,0
801,433,584,74.1,8404,3261,153,190,80.5,214,279,76.7,58,91,63.7,1,0.7,0.3,7,22,11,8,36
802,896,1067,84,15826,3931,409,463,88.3,372,428,86.9,99,133,74.4,1,0.9,0.1,9,73,5,0,80
803,21,26,80.8,257,36,14,17,82.4,3,4,75,1,2,50,0,0,0,1,2,0,0,1
804,43,53,81.1,672,121,25,28,89.3,11,13,84.6,5,6,83.3,0,0,0,1,4,0,0,2
805,322,525,61.3,5783,2097,161,193,83.4,101,154,65.6,48,145,33.1,3,3.4,-0.4,36,13,16,10,33
806,325,359,90.5,5181,666,183,194,94.3,120,132,90.9,21,26,80.8,1,0.7,0.3,10,12,4,1,11
807,464,594,78.1,8879,3641,193,210,91.9,200,257,77.8,66,113,58.4,0,0.6,-0.6,13,36,26,8,48
808,937,1003,93.4,18475,3672,334,351,95.2,458,476,96.2,136,157,86.6,0,0.2,-0.2,4,77,9,0,60
809,1057,1210,87.4,22870,6981,293,318,92.1,563,613,91.8,192,265,72.5,0,0.2,-0.2,3,89,5,2,88
810,1738,1873,92.8,35755,8987,545,578,94.3,910,945,96.3,271,319,85,1,0.2,0.8,3,36,3,1,63
811,125,159,78.6,3190,1013,27,33,81.8,61,70,87.1,35,53,66,0,0.1,-0.1,1,4,1,0,5
812,72,110,65.5,986,180,47,68,69.1,16,23,69.6,5,8,62.5,1,0.8,0.2,7,6,2,0,5
813,335,459,73,4526,697,217,264,82.2,86,122,70.5,17,27,63,2,1,1,14,11,14,1,23
814,1565,1928,81.2,25193,9342,840,932,90.1,577,689,83.7,113,211,53.6,4,2.2,1.8,31,83,42,16,112
815,1,1,100,12,9,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,62,88,70.5,1064,146,29,41,70.7,23,32,71.9,8,12,66.7,0,0.1,-0.1,2,4,0,0,4
817,95,121,78.5,1988,565,24,26,92.3,58,68,85.3,13,23,56.5,0,0,0,0,9,0,0,10
818,281,408,68.9,4089,465,166,207,80.2,87,133,65.4,16,32,50,0,1.3,-1.3,11,8,0,0,10
819,76,108,70.4,1302,400,36,51,70.6,25,36,69.4,10,13,76.9,0,1.1,-1.1,6,7,3,3,7
820,1517,1806,84,27734,8622,618,696,88.8,712,806,88.3,157,234,67.1,3,2.1,0.9,25,141,23,2,174
821,357,463,77.1,5289,781,212,263,80.6,104,135,77,25,34,73.5,0,1,-1,13,23,8,2,26
822,844,1028,82.1,16043,4454,351,386,90.9,366,405,90.4,110,206,53.4,0,2.6,-2.6,30,78,22,4,71
823,890,1040,85.6,21974,4864,175,206,85,456,499,91.4,254,325,78.2,1,0.5,0.5,1,50,0,0,41
824,20,33,60.6,373,77,11,16,68.8,6,9,66.7,3,6,50,0,0,0,1,1,1,0,1
825,427,483,88.4,7985,1797,165,183,90.2,209,231,90.5,48,58,82.8,1,0,1,1,42,4,0,34
826,74,151,49,3201,2489,7,7,100,22,23,95.7,45,121,37.2,0,0,0,0,7,0,0,0
827,198,267,74.2,2850,467,116,143,81.1,70,86,81.4,7,21,33.3,1,1.3,-0.3,6,10,2,0,15
828,342,407,84,5989,2168,163,175,93.1,146,163,89.6,26,55,47.3,0,0.5,-0.5,7,21,12,4,23
829,666,1039,64.1,13322,6944,267,313,85.3,279,408,68.4,102,256,39.8,3,1.3,1.7,14,48,13,10,59
830,77,97,79.4,1445,319,38,42,90.5,26,32,81.3,11,17,64.7,0,0.1,-0.1,2,3,1,0,7
831,677,908,74.6,12996,3261,281,327,85.9,280,343,81.6,101,200,50.5,3,1.9,1.1,23,56,26,10,73
832,523,667,78.4,9534,3076,235,273,86.1,220,260,84.6,61,98,62.2,0,1.3,-1.3,15,14,22,15,32
833,24,38,63.2,382,240,13,14,92.9,10,18,55.6,1,4,25,0,0.1,-0.1,1,3,0,0,4
834,195,289,67.5,5002,1287,30,43,69.8,104,120,86.7,59,118,50,0,0.2,-0.2,1,13,0,0,18
835,1544,1764,87.5,33869,10330,383,415,92.3,873,927,94.2,277,402,68.9,2,0.3,1.7,8,92,3,0,63
836,879,1179,74.6,17085,4672,339,422,80.3,382,461,82.9,137,242,56.6,3,2.8,0.2,41,103,19,3,119
837,264,356,74.2,4984,1417,130,152,85.5,82,104,78.8,43,79,54.4,0,0.5,-0.5,8,31,9,4,29
838,918,1158,79.3,14737,4359,503,564,89.2,297,360,82.5,85,174,48.9,6,2.8,3.2,39,77,32,3,111
839,21,24,87.5,524,248,4,4,100,12,12,100,5,8,62.5,0,0,0,0,0,0,0,0
840,606,1002,60.5,24399,17382,54,55,98.2,186,190,97.9,364,755,48.2,0,0,0,0,19,0,0,0
841,1867,2049,91.1,38166,9900,592,632,93.7,984,1039,94.7,272,350,77.7,0,0.4,-0.4,3,110,16,1,102
842,668,864,77.3,12016,4798,285,324,88,301,376,80.1,71,127,55.9,1,0.5,0.5,11,54,7,4,64
843,643,812,79.2,12755,4425,259,297,87.2,258,298,86.6,112,186,60.2,3,2.9,0.1,26,91,18,3,90
844,33,34,97.1,475,99,22,22,100,9,10,90,2,2,100,0,0,0,0,3,1,1,1
845,25,29,86.2,442,95,13,13,100,9,10,90,3,6,50,0,0,0,1,1,1,0,3
846,1418,1622,87.4,32876,10006,343,379,90.5,723,772,93.7,342,451,75.8,0,0.1,-0.1,3,78,3,0,74
847,17,18,94.4,284,108,7,7,100,10,10,100,0,1,0,0,0,0,0,3,0,0,3
848,541,825,65.6,15846,9206,101,102,99,237,243,97.5,199,476,41.8,0,0.1,-0.1,2,8,0,0,0
849,1188,1482,80.2,21119,5678,579,657,88.1,437,515,84.9,145,253,57.3,5,5.7,-0.7,63,78,35,5,126
