Unnamed: 0,Aerial Duels,Aerial Duels.1,Aerial Duels.2
Rk,Won,Lost,Won%
1439,33,23,58.9
1440,2,2,50
1441,49,57,46.2
1442,0,0,0
1443,18,21,46.2
1444,0,0,0
1445,0,0,0
1446,17,25,40.5
1447,53,44,54.6
1448,106,51,67.5
1449,3,9,25
1450,7,10,41.2
1451,19,27,41.3
1452,30,27,52.6
1453,65,42,60.7
1454,0,0,0
1455,40,35,53.3
1456,19,16,54.3
1457,11,33,25
1458,10,14,41.7
1459,9,9,50
1460,0,0,0
1461,0,0,0
1462,12,7,63.2
1463,54,57,48.6
1464,14,18,43.8
1465,27,47,36.5
1466,2,1,66.7
1467,15,30,33.3
1468,68,48,58.6
1469,65,30,68.4
1470,4,6,40
1471,3,6,33.3
1472,69,36,65.7
1473,8,15,34.8
1474,0,6,0
1475,4,5,44.4
1476,18,11,62.1
1477,18,19,48.6
1478,40,26,60.6
1479,2,1,66.7
1480,47,33,58.8
1481,3,3,50
1482,25,38,39.7
1483,0,0,0
1484,11,18,37.9
1485,2,2,50
1486,53,44,54.6
1487,10,12,45.5
1488,1,3,25
1489,43,81,34.7
1490,0,0,0
1491,22,21,51.2
1492,15,14,51.7
1493,6,5,54.5
1494,12,15,44.4
1495,7,36,16.3
1496,0,0,0
1497,8,19,29.6
1498,17,12,58.6
1499,16,30,34.8
1500,3,3,50
1501,4,10,28.6
1502,1,3,25
1503,0,0,0
1504,7,11,38.9
1505,8,21,27.6
1506,2,1,66.7
1507,23,23,50
1508,0,3,0
1509,24,36,40
1510,56,33,62.9
1511,5,19,20.8
1512,0,1,0
1513,38,24,61.3
1514,57,83,40.7
1515,15,22,40.5
1516,4,8,33.3
1517,1,2,33.3
1518,10,15,40
1519,31,25,55.4
1520,1,1,50
1521,5,7,41.7
1522,28,41,40.6
1523,12,22,35.3
1524,87,42,67.4
1525,2,1,66.7
1526,2,1,66.7
1527,1,0,100
1528,30,12,71.4
1529,40,43,48.2
1530,37,62,37.4
1531,27,33,45
1532,26,56,31.7
1533,11,3,78.6
1534,18,15,54.5
1535,28,25,52.8
1536,0,0,0
1537,43,29,59.7
1538,60,35,63.2
1539,0,0,0
1540,10,24,29.4
1541,13,52,20
1542,0,0,0
1543,2,1,66.7
1544,10,9,52.6
1545,3,18,14.3
1546,0,0,0
1547,35,28,55.6
1548,46,32,59
1549,5,7,41.7
1550,33,29,53.2
1551,3,11,21.4
1552,87,37,70.2
1553,6,5,54.5
1554,145,42,77.5
1555,1,2,33.3
1556,0,0,0
1557,15,18,45.5
1558,5,5,50
1559,0,2,0
1560,42,33,56
1561,0,0,0
1562,5,4,55.6
1563,8,22,26.7
1564,9,36,20
1565,12,20,37.5
1566,0,0,0
1567,2,9,18.2
1568,3,2,60
1569,8,0,100
1570,56,58,49.1
1571,37,13,74
1572,1,0,100
1573,9,47,16.1
1574,2,1,66.7
1575,1,2,33.3
1576,0,0,0
1577,29,28,50.9
1578,0,1,0
1579,62,57,52.1
1580,22,31,41.5
1581,9,9,50
1582,7,6,53.8
1583,13,14,48.1
1584,62,34,64.6
1585,0,0,0
1586,51,22,69.9
1587,56,28,66.7
1588,6,2,75
1589,13,13,50
1590,13,12,52
1591,28,80,25.9
1592,0,0,0
1593,18,9,66.7
1594,9,13,40.9
1595,31,26,54.4
1596,0,0,0
1597,50,33,60.2
1598,17,10,63
1599,5,2,71.4
1600,1,24,4
1601,14,12,53.8
1602,15,6,71.4
1603,42,91,31.6
1604,9,11,45
1605,8,1,88.9
1606,5,13,27.8
1607,117,46,71.8
1608,17,22,43.6
1609,0,0,0
1610,27,16,62.8
1611,81,46,63.8
1612,26,16,61.9
1613,11,16,40.7
1614,12,5,70.6
1615,30,28,51.7
1616,29,16,64.4
1617,58,25,69.9
1618,20,13,60.6
1619,14,13,51.9
1620,3,1,75
1621,5,4,55.6
1622,15,22,40.5
1623,53,32,62.4
1624,39,27,59.1
1625,0,0,0
1626,52,35,59.8
1627,22,14,61.1
1628,18,56,24.3
1629,15,23,39.5
1630,17,27,38.6
1631,0,2,0
1632,2,2,50
1633,10,5,66.7
1634,6,14,30
1635,31,31,50
1636,0,0,0
1637,79,46,63.2
1638,6,5,54.5
1639,20,7,74.1
1640,0,0,0
1641,32,61,34.4
1642,8,7,53.3
1643,10,24,29.4
1644,43,25,63.2
1645,2,1,66.7
1646,5,0,100
1647,33,25,56.9
1648,39,43,47.6
1649,0,0,0
1650,11,12,47.8
1651,0,0,0
1652,10,17,37
1653,90,127,41.5
1654,1,3,25
1655,24,14,63.2
1656,3,5,37.5
1657,13,13,50
1658,23,32,41.8
1659,19,8,70.4
1660,24,11,68.6
1661,1,2,33.3
1662,0,0,0
1663,0,0,0
1664,9,9,50
1665,1,2,33.3
1666,26,68,27.7
1667,2,4,33.3
1668,15,48,23.8
1669,49,16,75.4
1670,15,19,44.1
1671,16,62,20.5
1672,0,1,0
1673,3,2,60
1674,1,0,100
1675,38,28,57.6
1676,7,8,46.7
1677,14,9,60.9
1678,34,24,58.6
1679,27,41,39.7
1680,20,20,50
1681,140,118,54.3
1682,0,0,0
1683,7,8,46.7
1684,27,50,35.1
1685,94,133,41.4
1686,34,28,54.8
1687,22,30,42.3
1688,49,34,59
1689,8,8,50
1690,32,28,53.3
1691,4,19,17.4
1692,128,57,69.2
1693,2,0,100
1694,5,21,19.2
1695,10,8,55.6
1696,13,8,61.9
1697,0,0,0
1698,1,9,10
1699,3,1,75
1700,43,54,44.3
1701,20,24,45.5
1702,1,5,16.7
1703,20,18,52.6
1704,27,36,42.9
1705,26,22,54.2
1706,27,67,28.7
1707,62,58,51.7
1708,0,1,0
1709,2,0,100
1710,11,13,45.8
1711,0,1,0
1712,0,0,0
1713,10,20,33.3
1714,12,17,41.4
1715,2,5,28.6
1716,0,0,0
1717,41,36,53.2
1718,0,0,0
1719,71,72,49.7
1720,4,8,33.3
1721,20,9,69
1722,0,12,0
1723,14,29,32.6
1724,0,0,0
1725,12,11,52.2
1726,32,70,31.4
1727,21,17,55.3
1728,24,11,68.6
1729,3,7,30
1730,6,6,50
1731,9,11,45
1732,0,0,0
1733,1,0,100
1734,21,20,51.2
1735,0,0,0
1736,0,0,0
1737,34,26,56.7
1738,1,14,6.7
1739,117,35,77
1740,28,34,45.2
1741,95,79,54.6
1742,0,0,0
1743,36,10,78.3
1744,33,23,58.9
1745,16,13,55.2
1746,40,52,43.5
1747,0,0,0
1748,0,0,0
1749,1,1,50
1750,25,14,64.1
1751,100,123,44.8
1752,68,27,71.6
1753,4,11,26.7
1754,3,2,60
1755,109,35,75.7
1756,15,26,36.6
1757,122,131,48.2
1758,24,26,48
1759,14,12,53.8
1760,33,42,44
1761,0,0,0
1762,16,13,55.2
1763,68,76,47.2
1764,55,32,63.2
1765,23,20,53.5
1766,16,32,33.3
1767,6,12,33.3
1768,14,16,46.7
1769,16,12,57.1
1770,23,22,51.1
1771,37,76,32.7
1772,23,4,85.2
1773,20,16,55.6
1774,2,3,40
1775,4,6,40
1776,12,17,41.4
1777,4,5,44.4
1778,85,93,47.8
1779,11,14,44
1780,23,21,52.3
1781,1,2,33.3
1782,10,35,22.2
1783,0,0,0
1784,0,3,0
1785,39,34,53.4
1786,15,16,48.4
1787,16,19,45.7
1788,6,17,26.1
1789,39,28,58.2
1790,0,0,0
1791,0,0,0
1792,12,21,36.4
1793,7,3,70
1794,4,11,26.7
1795,3,2,60
1796,0,1,0
1797,32,32,50
1798,5,5,50
1799,16,20,44.4
1800,34,31,52.3
1801,0,0,0
1802,21,26,44.7
1803,65,73,47.1
1804,19,25,43.2
1805,5,5,50
1806,0,0,0
1807,0,0,0
1808,33,55,37.5
1809,28,43,39.4
1810,11,13,45.8
1811,2,5,28.6
1812,55,34,61.8
1813,0,0,0
1814,247,120,67.3
1815,21,52,28.8
1816,26,42,38.2
1817,1,20,4.8
1818,20,24,45.5
1819,1,3,25
1820,0,0,0
1821,3,1,75
1822,62,32,66
1823,104,40,72.2
1824,17,23,42.5
1825,0,0,0
1826,0,0,0
1827,54,84,39.1
1828,0,3,0
1829,56,32,63.6
1830,10,16,38.5
1831,20,19,51.3
1832,1,3,25
1833,27,49,35.5
1834,74,62,54.4
1835,49,40,55.1
1836,5,19,20.8
1837,10,11,47.6
1838,48,47,50.5
1839,1,7,12.5
1840,0,0,0
1841,18,24,42.9
1842,7,19,26.9
1843,1,0,100
1844,2,0,100
1845,51,31,62.2
1846,35,50,41.2
1847,14,22,38.9
1848,7,15,31.8
1849,74,32,69.8
1850,3,2,60
1851,27,11,71.1
1852,16,27,37.2
1853,33,32,50.8
1854,19,16,54.3
1855,0,0,0
1856,16,18,47.1
1857,0,0,0
1858,8,8,50
1859,44,59,42.7
1860,0,2,0
1861,0,1,0
1862,30,17,63.8
1863,0,0,0
1864,25,37,40.3
1865,29,19,60.4
1866,0,0,0
1867,1,0,100
1868,17,24,41.5
1869,0,0,0
1870,52,35,59.8
1871,1,2,33.3
1872,14,19,42.4
1873,5,13,27.8
1874,0,0,0
1875,133,156,46
1876,0,0,0
1877,17,20,45.9
1878,0,0,0
1879,20,39,33.9
1880,5,4,55.6
1881,0,0,0
1882,19,23,45.2
1883,11,38,22.4
1884,27,22,55.1
1885,5,14,26.3
1886,25,18,58.1
1887,2,14,12.5
1888,39,35,52.7
1889,2,4,33.3
1890,29,52,35.8
1891,71,52,57.7
1892,28,27,50.9
1893,13,19,40.6
1894,1,4,20
1895,33,74,30.8
1896,0,0,0
1897,65,66,49.6
1898,87,42,67.4
1899,0,2,0
1900,1,7,12.5
1901,12,16,42.9
1902,3,18,14.3
1903,35,38,47.9
1904,0,0,0
1905,34,36,48.6
1906,6,5,54.5
1907,7,2,77.8
1908,14,39,26.4
1909,11,30,26.8
1910,32,13,71.1
1911,0,0,0
1912,17,23,42.5
1913,0,0,0
1914,0,0,0
1915,28,23,54.9
1916,77,38,67
1917,47,18,72.3
1918,2,1,66.7
1919,58,115,33.5
1920,21,16,56.8
1921,64,41,61
1922,30,106,22.1
1923,67,35,65.7
1924,5,10,33.3
1925,72,42,63.2
1926,0,3,0
1927,31,23,57.4
1928,0,0,0
1929,38,36,51.4
1930,21,24,46.7
1931,0,0,0
1932,7,6,53.8
1933,2,13,13.3
1934,77,36,68.1
1935,30,59,33.7
1936,25,49,33.8
1937,10,17,37
1938,22,15,59.5
1939,24,27,47.1
1940,5,4,55.6
1941,1,1,50
1942,3,3,50
1943,111,64,63.4
1944,74,68,52.1
1945,1,2,33.3
1946,25,33,43.1
1947,0,0,0
1948,0,0,0
1949,4,5,44.4
1950,62,91,40.5
1951,4,7,36.4
1952,5,14,26.3
1953,1,6,14.3
1954,127,54,70.2
1955,12,53,18.5
1956,3,8,27.3
1957,23,27,46
1958,0,0,0
1959,22,25,46.8
1960,14,21,40
1961,36,65,35.6
1962,44,22,66.7
1963,0,0,0
1964,8,8,50
1965,10,13,43.5
1966,32,34,48.5
1967,40,45,47.1
1968,0,1,0
1969,1,0,100
1970,8,18,30.8
1971,3,5,37.5
1972,2,9,18.2
1973,61,42,59.2
1974,2,4,33.3
1975,19,44,30.2
1976,6,5,54.5
1977,32,36,47.1
1978,9,6,60
1979,45,17,72.6
1980,0,0,0
1981,0,1,0
1982,21,44,32.3
1983,0,0,0
1984,1,0,100
1985,15,11,57.7
1986,45,72,38.5
1987,3,6,33.3
1988,10,8,55.6
1989,0,0,0
1990,0,0,0
1991,61,40,60.4
1992,3,0,100
1993,0,0,0
1994,0,0,0
1995,17,39,30.4
1996,0,0,0
1997,43,28,60.6
1998,0,0,0
1999,42,41,50.6
2000,20,20,50
2001,0,1,0
2002,13,7,65
2003,25,24,51
2004,1,2,33.3
2005,19,17,52.8
2006,22,21,51.2
2007,3,1,75
2008,19,20,48.7
2009,0,6,0
2010,0,1,0
2011,2,1,66.7
2012,16,17,48.5
2013,0,0,0
2014,1,0,100
2015,67,41,62
2016,49,21,70
2017,0,1,0
2018,0,0,0
2019,26,16,61.9
2020,0,0,0
2021,115,73,61.2
2022,4,16,20
2023,25,2,92.6
2024,0,0,0
2025,8,15,34.8
2026,42,24,63.6
2027,7,10,41.2
2028,2,15,11.8
2029,69,95,42.1
2030,0,0,0
2031,17,12,58.6
2032,0,0,0
2033,41,29,58.6
2034,9,19,32.1
2035,18,34,34.6
2036,5,11,31.3
2037,7,16,30.4
2038,7,10,41.2
2039,6,2,75
2040,2,2,50
2041,7,6,53.8
2042,17,14,54.8
2043,0,0,0
2044,6,4,60
2045,35,32,52.2
2046,7,16,30.4
2047,23,33,41.1
2048,4,17,19
2049,32,14,69.6
2050,15,50,23.1
2051,24,36,40
2052,11,13,45.8
2053,9,6,60
2054,5,15,25
2055,12,25,32.4
2056,9,41,18
2057,3,12,20
2058,12,27,30.8
2059,0,0,0
2060,28,44,38.9
2061,7,17,29.2
2062,28,17,62.2
2063,4,2,66.7
2064,20,19,51.3
2065,0,0,0
2066,35,14,71.4
2067,24,46,34.3
2068,10,3,76.9
2069,0,0,0
2070,20,32,38.5
2071,25,34,42.4
2072,41,96,29.9
2073,0,0,0
2074,6,9,40
2075,3,14,17.6
2076,73,45,61.9
2077,20,14,58.8
2078,12,14,46.2
2079,1,3,25
2080,1,0,100
2081,3,0,100
2082,31,35,47
2083,15,46,24.6
2084,103,39,72.5
2085,0,0,0
2086,51,77,39.8
2087,1,13,7.1
2088,0,0,0
2089,2,0,100
2090,19,45,29.7
2091,0,0,0
2092,5,6,45.5
2093,81,73,52.6
2094,25,22,53.2
2095,20,12,62.5
2096,47,44,51.6
2097,2,3,40
2098,9,17,34.6
2099,0,0,0
2100,66,21,75.9
2101,3,1,75
2102,7,6,53.8
2103,13,50,20.6
2104,5,5,50
2105,61,69,46.9
2106,8,4,66.7
2107,34,38,47.2
2108,0,2,0
2109,20,19,51.3
2110,8,21,27.6
2111,55,38,59.1
2112,38,52,42.2
2113,0,0,0
2114,2,6,25
2115,6,19,24
2116,3,4,42.9
2117,17,10,63
2118,13,25,34.2
2119,0,1,0
2120,0,6,0
2121,1,0,100
2122,1,15,6.3
2123,21,38,35.6
2124,53,34,60.9
2125,28,19,59.6
2126,39,45,46.4
2127,17,9,65.4
2128,2,1,66.7
2129,11,39,22
2130,5,11,31.3
2131,4,1,80
2132,26,34,43.3
2133,37,34,52.1
2134,25,23,52.1
2135,3,4,42.9
2136,0,0,0
2137,57,88,39.3
2138,1,4,20
2139,30,14,68.2
2140,64,55,53.8
2141,21,48,30.4
2142,23,20,53.5
2143,31,68,31.3
2144,23,55,29.5
2145,5,6,45.5
2146,24,11,68.6
2147,6,13,31.6
2148,1,1,50
2149,0,2,0
2150,40,23,63.5
2151,76,46,62.3
2152,0,0,0
2153,25,14,64.1
2154,6,16,27.3
2155,3,4,42.9
2156,4,0,100
2157,58,37,61.1
2158,0,0,0
2159,47,28,62.7
2160,0,0,0
2161,9,12,42.9
2162,1,0,100
2163,0,0,0
2164,33,35,48.5
2165,6,1,85.7
2166,10,14,41.7
2167,29,37,43.9
2168,10,26,27.8
2169,29,22,56.9
2170,0,0,0
2171,7,16,30.4
2172,5,17,22.7
2173,1,1,50
2174,0,0,0
2175,31,10,75.6
2176,23,22,51.1
2177,10,36,21.7
2178,1,9,10
2179,0,0,0
2180,11,9,55
2181,22,44,33.3
2182,33,36,47.8
2183,8,14,36.4
2184,0,5,0
2185,11,37,22.9
2186,28,28,50
2187,1,0,100
2188,30,31,49.2
2189,26,41,38.8
2190,0,0,0
2191,5,10,33.3
2192,0,0,0
2193,4,4,50
2194,0,3,0
2195,0,0,0
2196,14,5,73.7
2197,0,0,0
2198,15,7,68.2
2199,14,29,32.6
2200,10,41,19.6
2201,0,1,0
2202,23,49,31.9
2203,1,0,100
2204,3,4,42.9
2205,5,29,14.7
2206,0,1,0
2207,0,0,0
2208,1,2,33.3
2209,21,16,56.8
2210,47,29,61.8
2211,25,23,52.1
2212,2,3,40
2213,0,1,0
2214,42,81,34.1
2215,16,37,30.2
2216,14,28,33.3
2217,0,0,0
2218,14,15,48.3
2219,6,12,33.3
2220,45,41,52.3
2221,20,35,36.4
2222,78,84,48.1
2223,6,6,50
2224,29,21,58
2225,15,22,40.5
2226,0,4,0
2227,11,28,28.2
2228,23,35,39.7
2229,0,0,0
2230,8,10,44.4
2231,20,24,45.5
2232,39,27,59.1
2233,39,28,58.2
2234,13,50,20.6
2235,28,24,53.8
2236,0,0,0
2237,7,29,19.4
2238,1,2,33.3
2239,0,0,0
2240,22,13,62.9
2241,0,0,0
2242,26,21,55.3
2243,24,11,68.6
2244,91,28,76.5
2245,25,34,42.4
2246,1,8,11.1
2247,13,36,26.5
2248,7,8,46.7
2249,26,77,25.2
2250,57,41,58.2
2251,5,15,25
2252,45,86,34.4
2253,0,1,0
2254,18,13,58.1
2255,5,4,55.6
2256,9,14,39.1
2257,8,14,36.4
2258,19,14,57.6
2259,2,0,100
2260,58,25,69.9
2261,112,54,67.5
2262,35,28,55.6
2263,29,21,58
2264,35,22,61.4
2265,26,27,49.1
2266,74,48,60.7
2267,12,20,37.5
2268,9,31,22.5
2269,5,13,27.8
2270,28,16,63.6
2271,0,0,0
2272,0,10,0
2273,0,0,0
2274,50,16,75.8
2275,16,22,42.1
2276,5,2,71.4
2277,2,5,28.6
2278,42,19,68.9
2279,5,3,62.5
2280,4,2,66.7
2281,11,13,45.8
2282,15,20,42.9
2283,12,10,54.5
2284,1,4,20
2285,1,3,25
2286,68,38,64.2
2287,0,0,0
2288,2,2,50
2289,11,11,50
2290,0,1,0
2291,0,0,0
2292,15,27,35.7
2293,0,0,0
2294,8,16,33.3
2295,0,1,0
2296,6,5,54.5
2297,31,27,53.4
2298,0,0,0
2299,21,21,50
2300,7,25,21.9
2301,16,14,53.3
2302,5,13,27.8
2303,3,12,20
2304,89,53,62.7
2305,15,43,25.9
2306,48,37,56.5
2307,0,0,0
2308,5,8,38.5
2309,3,5,37.5
2310,21,52,28.8
2311,31,64,32.6
2312,35,22,61.4
2313,0,0,0
2314,26,18,59.1
2315,38,57,40
2316,18,36,33.3
2317,1,1,50
2318,50,59,45.9
2319,67,112,37.4
2320,37,43,46.3
2321,3,17,15
2322,28,47,37.3
2323,27,47,36.5
2324,36,37,49.3
2325,15,26,36.6
2326,7,21,25
2327,4,5,44.4
2328,13,11,54.2
2329,50,30,62.5
2330,87,79,52.4
2331,18,18,50
2332,8,15,34.8
2333,0,0,0
2334,1,1,50
2335,5,22,18.5
2336,38,27,58.5
2337,8,19,29.6
2338,73,18,80.2
2339,73,67,52.1
2340,0,3,0
2341,0,0,0
2342,5,4,55.6
2343,9,13,40.9
2344,6,25,19.4
2345,5,3,62.5
2346,56,39,58.9
2347,2,2,50
2348,4,3,57.1
2349,54,33,62.1
2350,1,1,50
2351,7,6,53.8
2352,20,30,40
2353,4,10,28.6
2354,70,110,38.9
2355,1,3,25
2356,8,7,53.3
2357,24,10,70.6
2358,8,18,30.8
2359,26,21,55.3
2360,100,47,68
2361,13,6,68.4
2362,43,48,47.3
2363,0,0,0
2364,20,25,44.4
2365,10,23,30.3
2366,0,1,0
2367,12,8,60
2368,80,78,50.6
2369,23,33,41.1
2370,51,46,52.6
2371,58,37,61.1
2372,43,30,58.9
2373,32,43,42.7
2374,0,0,0
2375,22,25,46.8
2376,7,24,22.6
2377,6,8,42.9
2378,42,28,60
2379,7,15,31.8
2380,42,37,53.2
2381,6,5,54.5
2382,0,0,0
2383,0,1,0
2384,0,0,0
2385,0,0,0
2386,2,3,40
2387,69,72,48.9
2388,0,0,0
2389,0,0,0
2390,43,42,50.6
2391,6,12,33.3
2392,1,3,25
2393,30,22,57.7
2394,0,0,0
2395,18,25,41.9
2396,9,10,47.4
2397,0,0,0
2398,15,24,38.5
2399,4,3,57.1
2400,0,0,0
2401,2,8,20
2402,4,6,40
2403,3,7,30
2404,13,36,26.5
2405,34,36,48.6
2406,33,27,55
2407,60,112,34.9
2408,1,1,50
2409,0,0,0
2410,1,3,25
2411,30,22,57.7
2412,19,20,48.7
2413,13,15,46.4
2414,2,1,66.7
2415,8,12,40
2416,0,1,0
2417,0,0,0
2418,10,20,33.3
2419,79,125,38.7
2420,10,29,25.6
2421,20,29,40.8
2422,14,26,35
2423,32,76,29.6
2424,0,0,0
2425,6,5,54.5
2426,10,10,50
2427,0,0,0
2428,55,20,73.3
2429,0,0,0
2430,23,27,46
2431,24,81,22.9
2432,21,31,40.4
2433,0,1,0
2434,0,0,0
2435,1,3,25
2436,43,31,58.1
2437,11,22,33.3
2438,139,63,68.8
2439,0,0,0
2440,0,0,0
2441,0,2,0
2442,58,26,69
2443,17,24,41.5
2444,12,10,54.5
2445,0,0,0
2446,3,4,42.9
2447,46,43,51.7
2448,0,0,0
2449,8,10,44.4
2450,11,27,28.9
2451,38,35,52.1
2452,3,7,30
2453,23,24,48.9
2454,3,1,75
2455,16,18,47.1
2456,3,4,42.9
2457,32,14,69.6
2458,8,9,47.1
2459,10,13,43.5
2460,0,0,0
2461,10,14,41.7
2462,16,16,50
2463,0,3,0
2464,23,36,39
2465,11,6,64.7
2466,12,13,48
2467,27,74,26.7
2468,21,26,44.7
2469,0,0,0
2470,13,13,50
2471,6,11,35.3
2472,0,0,0
2473,39,67,36.8
2474,5,11,31.3
2475,22,17,56.4
2476,0,0,0
2477,88,110,44.4
2478,5,15,25
2479,0,1,0
2480,228,134,63
2481,0,1,0
2482,5,8,38.5
2483,70,19,78.7
2484,6,0,100
2485,28,18,60.9
2486,0,0,0
2487,12,26,31.6
2488,1,0,100
2489,25,25,50
2490,30,16,65.2
2491,62,37,62.6
2492,10,5,66.7
2493,0,1,0
2494,0,0,0
2495,65,66,49.6
2496,42,32,56.8
2497,5,3,62.5
2498,70,46,60.3
2499,24,28,46.2
2500,0,0,0
2501,10,11,47.6
2502,5,4,55.6
2503,26,18,59.1
2504,5,26,16.1
2505,38,39,49.4
2506,30,46,39.5
2507,3,6,33.3
2508,46,15,75.4
2509,0,0,0
2510,34,39,46.6
2511,15,18,45.5
2512,6,5,54.5
2513,51,45,53.1
2514,22,38,36.7
2515,9,9,50
2516,6,14,30
2517,37,29,56.1
2518,13,17,43.3
2519,25,36,41
2520,7,3,70
2521,33,24,57.9
2522,5,14,26.3
2523,14,8,63.6
2524,19,20,48.7
2525,0,0,0
2526,28,22,56
2527,0,1,0
2528,40,59,40.4
2529,0,0,0
2530,5,3,62.5
2531,88,46,65.7
2532,21,22,48.8
2533,87,42,67.4
2534,0,0,0
2535,12,12,50
2536,47,51,48
2537,11,9,55
2538,70,55,56
2539,77,43,64.2
2540,84,54,60.9
2541,184,62,74.8
2542,0,0,0
2543,0,5,0
2544,4,3,57.1
2545,1,1,50
2546,1,1,50
2547,1,2,33.3
2548,46,26,63.9
2549,0,0,0
2550,1,0,100
2551,6,6,50
2552,92,41,69.2
2553,1,3,25
2554,3,18,14.3
2555,11,10,52.4
2556,14,10,58.3
2557,12,13,48
2558,9,6,60
2559,1,4,20
2560,0,0,0
2561,0,0,0
2562,54,73,42.5
2563,45,28,61.6
2564,27,24,52.9
2565,0,0,0
2566,10,30,25
2567,16,26,38.1
2568,44,28,61.1
2569,14,27,34.1
2570,11,23,32.4
2571,0,0,0
2572,18,27,40
2573,108,51,67.9
2574,30,73,29.1
2575,4,3,57.1
2576,156,135,53.6
2577,65,65,50
2578,21,25,45.7
2579,0,0,0
2580,37,35,51.4
2581,19,45,29.7
2582,6,2,75
2583,2,4,33.3
2584,42,36,53.8
2585,31,21,59.6
2586,35,45,43.8
2587,16,12,57.1
2588,4,15,21.1
2589,57,21,73.1
2590,106,58,64.6
2591,14,10,58.3
2592,0,0,0
2593,29,24,54.7
2594,6,10,37.5
2595,50,34,59.5
2596,5,8,38.5
2597,53,18,74.6
2598,1,1,50
2599,5,9,35.7
2600,5,8,38.5
2601,13,23,36.1
2602,3,18,14.3
2603,57,37,60.6
2604,9,22,29
2605,90,62,59.2
2606,26,18,59.1
2607,1,1,50
2608,32,28,53.3
2609,19,19,50
2610,77,45,63.1
2611,5,24,17.2
2612,45,35,56.3
2613,0,2,0
2614,78,75,51
2615,3,6,33.3
2616,31,37,45.6
2617,0,1,0
2618,1,0,100
2619,41,19,68.3
2620,2,0,100
2621,40,54,42.6
2622,0,0,0
2623,38,40,48.7
2624,0,0,0
2625,19,21,47.5
2626,29,45,39.2
2627,20,28,41.7
2628,33,28,54.1
2629,4,9,30.8
2630,7,8,46.7
2631,53,26,67.1
2632,6,28,17.6
2633,1,2,33.3
2634,18,24,42.9
2635,4,2,66.7
2636,0,1,0
2637,6,7,46.2
2638,28,15,65.1
2639,1,1,50
2640,41,32,56.2
2641,3,5,37.5
2642,24,13,64.9
2643,12,6,66.7
2644,0,0,0
2645,38,64,37.3
2646,0,0,0
2647,22,7,75.9
2648,99,113,46.7
2649,0,3,0
2650,94,43,68.6
2651,0,0,0
2652,8,20,28.6
2653,0,0,0
2654,1,0,100
2655,6,0,100
2656,0,1,0
2657,2,6,25
2658,1,3,25
2659,26,26,50
2660,8,24,25
2661,9,9,50
2662,73,24,75.3
2663,56,68,45.2
2664,15,33,31.3
2665,0,1,0
2666,12,12,50
2667,9,6,60
2668,6,10,37.5
2669,10,16,38.5
2670,2,5,28.6
2671,0,0,0
2672,0,4,0
2673,39,46,45.9
2674,28,18,60.9
2675,48,35,57.8
2676,19,26,42.2
2677,9,13,40.9
2678,0,0,0
2679,4,17,19
2680,76,45,62.8
2681,15,15,50
2682,0,0,0
2683,9,13,40.9
2684,15,28,34.9
2685,53,41,56.4
2686,108,46,70.1
2687,60,33,64.5
2688,0,0,0
2689,0,0,0
2690,4,15,21.1
2691,11,11,50
2692,22,16,57.9
2693,0,1,0
2694,59,30,66.3
2695,6,3,66.7
2696,33,16,67.3
2697,3,18,14.3
2698,8,15,34.8
2699,57,53,51.8
2700,27,20,57.4
2701,0,0,0
2702,3,3,50
2703,11,20,35.5
2704,8,13,38.1
2705,0,0,0
2706,0,2,0
2707,7,6,53.8
2708,114,154,42.5
2709,4,16,20
2710,44,46,48.9
2711,28,17,62.2
2712,10,9,52.6
2713,0,0,0
2714,66,80,45.2
2715,89,39,69.5
2716,0,0,0
2717,16,14,53.3
2718,16,8,66.7
2719,17,14,54.8
2720,31,97,24.2
2721,1,1,50
2722,13,16,44.8
2723,8,29,21.6
2724,0,0,0
2725,28,14,66.7
2726,20,39,33.9
2727,23,21,52.3
2728,15,30,33.3
2729,46,35,56.8
2730,59,42,58.4
2731,49,64,43.4
2732,51,56,47.7
2733,139,178,43.8
2734,1,3,25
2735,13,23,36.1
2736,90,50,64.3
2737,121,86,58.5
2738,3,3,50
2739,28,79,26.2
2740,20,47,29.9
2741,16,28,36.4
2742,15,22,40.5
2743,13,41,24.1
2744,14,31,31.1
2745,52,46,53.1
2746,37,50,42.5
2747,1,0,100
2748,8,12,40
2749,0,1,0
2750,42,68,38.2
2751,3,3,50
2752,1,0,100
2753,32,7,82.1
2754,6,16,27.3
2755,7,5,58.3
2756,13,25,34.2
2757,39,127,23.5
2758,0,1,0
2759,8,6,57.1
2760,6,44,12
2761,43,38,53.1
2762,20,5,80
2763,14,22,38.9
2764,31,51,37.8
2765,3,7,30
2766,11,18,37.9
2767,168,215,43.9
2768,0,0,0
2769,15,19,44.1
2770,46,33,58.2
2771,4,10,28.6
2772,56,22,71.8
2773,0,0,0
2774,3,3,50
2775,6,15,28.6
2776,4,3,57.1
2777,39,60,39.4
2778,0,0,0
2779,41,20,67.2
2780,11,10,52.4
2781,60,27,69
2782,1,21,4.5
2783,5,8,38.5
2784,0,2,0
2785,9,14,39.1
2786,53,62,46.1
2787,10,3,76.9
2788,0,0,0
2789,1,1,50
2790,10,39,20.4
2791,16,31,34
2792,17,15,53.1
2793,17,6,73.9
2794,0,0,0
