Player,Nation,Pos,Squad,Born
Jordan Amavi\Jordan-Amavi,FRA,DF,Marseille,1994
Thierry Ambrose\Thierry-Ambrose,FRA,FW,Metz,1997
Wisdom Amey\Wisdom-Amey,ITA,DF,Bologna,2005
Nadiem Amiri\Nadiem-Amiri,GER,MF,Leverkusen,1996
Ethan Ampadu\Ethan-Ampadu,WAL,DFMF,Sheffield Utd,2000
Sofyan Amrabat\Sofyan-Amrabat,MAR,MF,Fiorentina,1996
Jon Ander Garrido\Jon-Ander-Garrido,ESP,MF,Cádiz,1989
Joachim Andersen\Joachim-Andersen,DEN,DF,Fulham,1996
Joachim Andersen\Joachim-Andersen,DEN,DF,Lyon,1996
Djavan Anderson\Djavan-Anderson,NED,DF,Lazio,1995
Elliot Anderson\Elliot-Anderson,SCO,MF,Newcastle Utd,2002
Felipe Anderson\Felipe-Anderson,BRA,FWMF,West Ham,1993
Sebastian Andersson\Sebastian-Andersson,SWE,FW,Köln,1991
Nícolas Andrade\Nicolas-Andrade,BRA,GK,Udinese,1988
Benjamin André\Benjamin-Andre,FRA,MF,Lille,1990
Robert Andrich\Robert-Andrich,GER,MF,Union Berlin,1994
Victorien Angban\Victorien-Angban,CIV,MF,Metz,1996
Ángel\Angel,ESP,GK,Granada,2002
Miguel Ángel Rubio\Miguel-Angel-Rubio,ESP,DF,Valladolid,1998
José Ángel\Jose-Angel,ESP,DF,Eibar,1989
Angeliño\Angelino,ESP,DFFW,RB Leipzig,1997
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,ITA,DF,Atalanta,2001
Philip Ankhrah\Philip-Ankhrah,GHA,MF,Hellas Verona,2002
Cristian Ansaldi\Cristian-Ansaldi,ARG,DF,Torino,1986
Waldemar Anton\Waldemar-Anton,GER,DF,Stuttgart,1996
José Antonio Miranda\Jose-Antonio-Miranda,EQG,MFDF,Getafe,1998
Michail Antonio\Michail-Antonio,ENG,FW,West Ham,1990
Valentin Antov\Valentin-Antov,BUL,DF,Bologna,2000
Houssem Aouar\Houssem-Aouar,FRA,MFFW,Lyon,1998
Adil Aouchiche\Adil-Aouchiche,FRA,MFFW,Saint-Étienne,2002
Dennis Appiah\Dennis-Appiah,FRA,DF,Nantes,1992
Aritz Arambarri\Aritz-Arambarri,ESP,DF,Real Sociedad,1998
Mauro Arambarri\Mauro-Arambarri,URU,MF,Getafe,1995
Charles Aránguiz\Charles-Aranguiz,CHI,MF,Leverkusen,1989
Luiz Araújo\Luiz-Araujo,BRA,MF,Lille,1996
Néstor Araujo\Nestor-Araujo,MEX,DF,Celta Vigo,1991
Ronald Araújo\Ronald-Araujo,URU,DF,Barcelona,1999
Anaitz Arbilla\Anaitz-Arbilla,ESP,DF,Eibar,1987
Alphonse Areola\Alphonse-Areola,FRA,GK,Fulham,1993
Santiago Arias\Santiago-Arias,COL,DF,Leverkusen,1992
Karim Aribi\Karim-Aribi,ALG,FW,Nîmes,1994
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,ESP,FWMF,Eibar,1999
Nicolò Armini\Nicolo-Armini,ITA,DF,Lazio,2001
