Player,Nation,Pos,Squad,Born
Gianluigi Buffon\Gianluigi-Buffon,ITA,GK,Juventus,1978
Marius Bülter\Marius-Bulter,GER,FWMF,Union Berlin,1993
Alessandro Buongiorno\Alessandro-Buongiorno,ITA,DF,Torino,1999
Esteban Burgos\Esteban-Burgos,ARG,DF,Eibar,1992
Burgui\Burgui,ESP,MF,Alavés,1993
Jonathan Burkardt\Jonathan-Burkardt,GER,FWDF,Mainz 05,2000
Nishan Burkart\Nishan-Burkart,SUI,MF,Freiburg,2000
Oliver Burke\Oliver-Burke,SCO,FW,Sheffield Utd,1997
Roman Bürki\Roman-Burki,SUI,GK,Dortmund,1990
Dan Burn\Dan-Burn,ENG,DF,Brighton,1992
Patrick Burner\Patrick-Burner,FRA,DF,Nice,1996
Patrick Burner\Patrick-Burner,FRA,DF,Nîmes,1996
Maxime Busi\Maxime-Busi,BEL,DF,Parma,1999
Sergio Busquets\Sergio-Busquets,ESP,MF,Barcelona,1988
Jack Butland\Jack-Butland,ENG,GK,Crystal Palace,1993
David Button\David-Button,ENG,GK,West Brom,1989
Oskar Buur\Oskar-Buur,DEN,DF,Wolves,1998
Marcin Bułka\Marcin-Bulka,POL,GK,Paris S-G,1999
Erick Cabaco\Erick-Cabaco,URU,DF,Getafe,1995
Willy Caballero\Willy-Caballero,ARG,GK,Chelsea,1981
Jimmy Cabot\Jimmy-Cabot,FRA,FWMF,Angers,1994
Martín Cáceres\Martin-Caceres,URU,DF,Fiorentina,1987
Anthony Caci\Anthony-Caci,FRA,DF,Strasbourg,1997
Mathieu Cafaro\Mathieu-Cafaro,FRA,MFFW,Reims,1997
Gary Cahill\Gary-Cahill,ENG,DF,Crystal Palace,1985
Yannick Cahuzac\Yannick-Cahuzac,FRA,MF,Lens,1985
Felipe Caicedo\Felipe-Caicedo,ECU,FW,Lazio,1988
Marc-Aurèle Caillard\Marc-Aurele-Caillard,FRA,GK,Metz,1994
Tom Cairney\Tom-Cairney,SCO,MF,Fulham,1991
Cala\Cala,ESP,DF,Cádiz,1989
Arturo Calabresi\Arturo-Calabresi,ITA,DFFW,Bologna,1996
Arturo Calabresi\Arturo-Calabresi,ITA,DF,Cagliari,1996
Davide Calabria\Davide-Calabria,ITA,DF,Milan,1996
Riccardo Calafiori\Riccardo-Calafiori,ITA,DF,Roma,2002
Mattia Caldara\Mattia-Caldara,ITA,DF,Atalanta,1994
Luca Caldirola\Luca-Caldirola,ITA,DF,Benevento,1991
Duje Ćaleta-Car\Duje-Caleta-Car,CRO,DF,Marseille,1996
Hakan Çalhanoğlu\Hakan-Calhanoglu,TUR,MFFW,Milan,1994
Kerim Calhanoglu\Kerim-Calhanoglu,GER,DF,Schalke 04,2002
Fabrizio Caligara\Fabrizio-Caligara,ITA,MF,Cagliari,2000
Daniel Caligiuri\Daniel-Caligiuri,ITA,MFFW,Augsburg,1988
José Callejón\Jose-Callejon,ESP,FWMF,Fiorentina,1987
Jonathan Calleri\Jonathan-Calleri,ARG,FW,Osasuna,1993
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,ENG,FW,Everton,1997
Dani Calvo\Dani-Calvo,ESP,DF,Elche,1994
Drissa Camara\Drissa-Camara,CIV,MF,Parma,2002
Mahdi Camara\Mahdi-Camara,FRA,MFDF,Saint-Étienne,1998
Eduardo Camavinga\Eduardo-Camavinga,FRA,MF,Rennes,2002
José Campaña\Jose-Campana,ESP,MF,Levante,1993
Emre Can\Emre-Can,GER,DFMF,Dortmund,1994
Sergio Canales\Sergio-Canales,ESP,MFFW,Betis,1991
João Cancelo\Joao-Cancelo,POR,DF,Manchester City,1994
Antonio Candreva\Antonio-Candreva,ITA,MF,Sampdoria,1987
Álex Cantero\Alex-Cantero,ESP,FW,Levante,2000
Ander Capa\Ander-Capa,ESP,DF,Athletic Club,1992
Pierrick Capelle\Pierrick-Capelle,FRA,MFDF,Angers,1987
Étienne Capoue\Etienne-Capoue,FRA,MF,Villarreal,1988
Elio Capradossi\Elio-Capradossi,ITA,DF,Spezia,1996
Gianluca Caprari\Gianluca-Caprari,ITA,MFFW,Benevento,1993
Francesco Caputo\Francesco-Caputo,ITA,FW,Sassuolo,1987
Maxence Caqueret\Maxence-Caqueret,FRA,MF,Lyon,2000
Andrea Carboni\Andrea-Carboni,ITA,DF,Cagliari,2001
Isaac Carcelen\Isaac-Carcelen,ESP,DF,Cádiz,1993
Cárdenas\Cardenas,ESP,GK,Levante,1997
Irvin Cardona\Irvin-Cardona,FRA,FWMF,Brest,1997
Marc Cardona\Marc-Cardona,ESP,FWMF,Osasuna,1995
Ian Carlo Poveda\Ian-Carlo-Poveda,ENG,MFDF,Leeds United,2000
Diego Carlos\Diego-Carlos,BRA,DF,Sevilla,1993
Juan Carlos\Juan-Carlos,ESP,MFFW,Huesca,1991
Lionel Carole\Lionel-Carole,FRA,DF,Strasbourg,1991
Yannick Carrasco\Yannick-Carrasco,BEL,DFMF,Atlético Madrid,1993
Sergio Carreira\Sergio-Carreira,ESP,DF,Celta Vigo,2000
Guido Carrillo\Guido-Carrillo,ARG,FW,Elche,1991
Andy Carroll\Andy-Carroll,ENG,FW,Newcastle Utd,1989
Scott Carson\Scott-Carson,ENG,GK,Manchester City,1985
Dani Carvajal\Dani-Carvajal,ESP,DF,Real Madrid,1992
Fabio Carvalho\Fabio-Carvalho,ENG,MFFW,Fulham,2002
William Carvalho\William-Carvalho,POR,MF,Betis,1992
Casemiro\Casemiro,BRA,MF,Real Madrid,1992
Matty Cash\Matty-Cash,ENG,DF,Aston Villa,1997
Kiko Casilla\Kiko-Casilla,ESP,GK,Leeds United,1986
Giuseppe Caso\Giuseppe-Caso,ITA,MF,Genoa,1998
Moreto Cassamã\Moreto-Cassama,GNB,MF,Reims,1998
Francesco Cassata\Francesco-Cassata,ITA,DF,Genoa,1997
Timothy Castagne\Timothy-Castagne,BEL,DF,Leicester City,1995
Koen Casteels\Koen-Casteels,BEL,GK,Wolfsburg,1992
Jean-Charles Castelletto\Jean-Charles-Castelletto,CMR,DF,Nantes,1995
Samu Castillejo\Samu-Castillejo,ESP,FW,Milan,1995
Gonzalo Castro\Gonzalo-Castro,GER,MFFW,Stuttgart,1987
Jonny Castro\Jonny-Castro,ESP,DF,Wolves,1994
Gaetano Castrovilli\Gaetano-Castrovilli,ITA,MF,Fiorentina,1997
Danilo Cataldi\Danilo-Cataldi,ITA,MF,Lazio,1994
Ivan Cavaleiro\Ivan-Cavaleiro,POR,FWMF,Fulham,1993
Edinson Cavani\Edinson-Cavani,URU,FW,Manchester Utd,1987
Dani Ceballos\Dani-Ceballos,ESP,MF,Arsenal,1996
Federico Ceccherini\Federico-Ceccherini,ITA,DF,Hellas Verona,1992
Federico Ceccherini\Federico-Ceccherini,ITA,DF,Fiorentina,1992
Zeki Çelik\Zeki-Celik,TUR,DF,Lille,1997
Bersant Celina\Bersant-Celina,KVX,MFFW,Dijon,1996
Fabien Centonze\Fabien-Centonze,FRA,DF,Metz,1996
Luca Ceppitelli\Luca-Ceppitelli,ITA,DF,Cagliari,1989
Alberto Cerri\Alberto-Cerri,ITA,FW,Cagliari,1996
Sava Cestic\Sava-Cestic,GER,DF,Köln,2001
Julian Chabot\Julian-Chabot,GER,DF,Spezia,1998
Nassim Chadli\Nassim-Chadli,FRA,FWMF,Nîmes,2001
Fouad Chafik\Fouad-Chafik,MAR,DF,Dijon,1986
Mehdi Chahiri\Mehdi-Chahiri,MAR,FWMF,Strasbourg,1996
Sofian Chakla\Sofian-Chakla,MAR,DF,Villarreal,1993
Sofian Chakla\Sofian-Chakla,MAR,DF,Getafe,1993
Aníbal Chalá\Anibal-Chala,ECU,DF,Dijon,1996
Trevoh Chalobah\Trevoh-Chalobah,ENG,DFMF,Lorient,1999
Calum Chambers\Calum-Chambers,ENG,DF,Arsenal,1995
Timothy Chandler\Timothy-Chandler,USA,DF,Eint Frankfurt,1990
Kwon Chang-hoon\Kwon-Chang-hoon,KOR,MFFW,Freiburg,1994
Gaëtan Charbonnier\Gaetan-Charbonnier,FRA,MFFW,Brest,1988
Brendan Chardonnet\Brendan-Chardonnet,FRA,DF,Brest,1994
Xavier Chavalerin\Xavier-Chavalerin,FRA,MF,Reims,1991
Pape Cheikh Diop\Pape-Cheikh-Diop,SEN,MF,Dijon,1997
Chema\Chema,ESP,DFMF,Getafe,1992
Rayan Cherki\Rayan-Cherki,FRA,FWMF,Lyon,2003
Denis Cheryshev\Denis-Cheryshev,RUS,MF,Valencia,1990
Giorgio Chiellini\Giorgio-Chiellini,ITA,DF,Juventus,1984
Federico Chiesa\Federico-Chiesa,ITA,DF,Fiorentina,1997
Federico Chiesa\Federico-Chiesa,ITA,MFDF,Juventus,1997
Ben Chilwell\Ben-Chilwell,ENG,DF,Chelsea,1996
Vlad Chiricheș\Vlad-Chiriches,ROU,DF,Sassuolo,1989
Pedro Chirivella\Pedro-Chirivella,ESP,MF,Nantes,1997
Tahith Chong\Tahith-Chong,NED,FWMF,Werder Bremen,1999
Joris Chotard\Joris-Chotard,FRA,MF,Montpellier,2001
Hamza Choudhury\Hamza-Choudhury,ENG,MF,Leicester City,1997
Mounir Chouiar\Mounir-Chouiar,FRA,FWMF,Dijon,1999
Andreas Christensen\Andreas-Christensen,DEN,DF,Chelsea,1996
Carney Chukwuemeka\Carney-Chukwuemeka,ENG,FWMF,Aston Villa,2004
Samuel Chukwueze\Samuel-Chukwueze,NGA,MFFW,Villarreal,1999
Darko Churlinov\Darko-Churlinov,MKD,DFFW,Stuttgart,2000
Víctor Chust\Victor-Chust,ESP,DF,Real Madrid,2000
Sébastien Cibois\Sebastien-Cibois,FRA,GK,Brest,1998
Cifu\Cifu,ESP,DF,Elche,1990
Alberto Cifuentes\Alberto-Cifuentes,ESP,GK,Cádiz,1979
Luca Cigarini\Luca-Cigarini,ITA,MF,Crotone,1986
Jasper Cillessen\Jasper-Cillessen,NED,GK,Valencia,1989
Antonio Cioffi\Antonio-Cioffi,ITA,FW,Napoli,2002
Tim Civeja\Tim-Civeja,GER,MFDF,Augsburg,2002
Ciaran Clark\Ciaran-Clark,IRL,DF,Newcastle Utd,1989
Alexis Claude-Maurice\Alexis-Claude-Maurice,FRA,MFFW,Nice,1998
Jonathan Clauss\Jonathan-Clauss,FRA,DF,Lens,1992
Carlos Clerc\Carlos-Clerc,ESP,DF,Levante,1992
Nathaniel Clyne\Nathaniel-Clyne,ENG,DF,Crystal Palace,1991
Conor Coady\Conor-Coady,ENG,DF,Wolves,1993
Marcus Coco\Marcus-Coco,FRA,MFFW,Nantes,1996
Coke\Coke,ESP,DF,Levante,1987
Séamus Coleman\Seamus-Coleman,IRL,DFMF,Everton,1988
Ebrima Colley\Ebrima-Colley,GAM,FWMF,Hellas Verona,2000
Omar Colley\Omar-Colley,GAM,DF,Sampdoria,1992
Simone Colombi\Simone-Colombi,ITA,GK,Parma,1991
Lorenzo Colombo\Lorenzo-Colombo,ITA,FW,Milan,2002
Racine Coly\Racine-Coly,SEN,DF,Nice,1995
Kingsley Coman\Kingsley-Coman,FRA,FWMF,Bayern Munich,1996
Daniel Congré\Daniel-Congre,FRA,DF,Montpellier,1985
Aaron Connolly\Aaron-Connolly,IRL,FW,Brighton,2000
Andrea Consigli\Andrea-Consigli,ITA,GK,Sassuolo,1987
Andrea Conti\Andrea-Conti,ITA,DF,Milan,1994
Andrea Conti\Andrea-Conti,ITA,DF,Parma,1994
Liam Cooper\Liam-Cooper,SCO,DF,Leeds United,1991
Francis Coquelin\Francis-Coquelin,FRA,MF,Villarreal,1991
Theo Corbeanu\Theo-Corbeanu,CAN,FW,Wolves,2002
Sébastien Corchia\Sebastien-Corchia,FRA,DF,Nantes,1990
Alex Cordaz\Alex-Cordaz,ITA,GK,Crotone,1983
Iñigo Córdoba\Inigo-Cordoba,ESP,FWMF,Athletic Club,1997
Iñigo Córdoba\Inigo-Cordoba,ESP,MF,Alavés,1997
Jhon Córdoba\Jhon-Cordoba,COL,FW,Hertha BSC,1993
Sergio Córdova\Sergio-Cordova,VEN,FWMF,Arminia,1997
Jack Cork\Jack-Cork,ENG,MF,Burnley,1989
Andreas Cornelius\Andreas-Cornelius,DEN,FW,Parma,1993
Maxwel Cornet\Maxwel-Cornet,CIV,DFFW,Lyon,1996
Ángel Correa\Angel-Correa,ARG,FWMF,Atlético Madrid,1995
Joaquín Correa\Joaquin-Correa,ARG,FW,Lazio,1994
Rober Correa\Rober-Correa,ESP,DF,Eibar,1992
Félix Correia\Felix-Correia,POR,MF,Juventus,2001
Thierry Correia\Thierry-Correia,POR,DF,Valencia,1999
Angelo da Costa Júnior\Angelo-da-Costa-Junior,BRA,GK,Bologna,1983
Danny da Costa\Danny-da-Costa,GER,DF,Mainz 05,1993
Danny da Costa\Danny-da-Costa,GER,DF,Eint Frankfurt,1993
David Pereira da Costa\David-Pereira-da-Costa,POR,MFFW,Lens,2001
Diego Costa\Diego-Costa,ESP,FW,Atlético Madrid,1988
Douglas Costa\Douglas-Costa,BRA,MFFW,Juventus,1990
Douglas Costa\Douglas-Costa,BRA,FWMF,Bayern Munich,1990
Hélder Costa\Helder-Costa,POR,MFFW,Leeds United,1994
Jaume Costa\Jaume-Costa,ESP,DFMF,Villarreal,1988
Charles Costes\Charles-Costes,FRA,MF,Dijon,2002
Benoît Costil\Benoit-Costil,FRA,GK,Bordeaux,1987
Vladimír Coufal\Vladimir-Coufal,CZE,DF,West Ham,1992
Kalifa Coulibaly\Kalifa-Coulibaly,MLI,FW,Nantes,1991
Lassana Coulibaly\Lassana-Coulibaly,MLI,MFFW,Angers,1996
Mamadou Coulibaly\Mamadou-Coulibaly,SEN,MF,Udinese,1999
Senou Coulibaly\Senou-Coulibaly,MLI,DF,Dijon,1994
Tanguy Coulibaly\Tanguy-Coulibaly,FRA,DFFW,Stuttgart,2001
Thibaut Courtois\Thibaut-Courtois,BEL,GK,Real Madrid,1992
Philippe Coutinho\Philippe-Coutinho,BRA,MFFW,Barcelona,1992
Nicolas Cozza\Nicolas-Cozza,FRA,DF,Montpellier,1999
Alessio Cragno\Alessio-Cragno,ITA,GK,Cagliari,1994
Gian Crespi\Gian-Crespi,ITA,GK,Crotone,2001
Aaron Cresswell\Aaron-Cresswell,ENG,DF,West Ham,1989
Domenico Criscito\Domenico-Criscito,ITA,DF,Genoa,1986
Bryan Cristante\Bryan-Cristante,ITA,DFMF,Roma,1995
Giovanni Crociata\Giovanni-Crociata,ITA,DFMF,Crotone,1997
Juan Cruz Armada\Juan-Cruz-Armada,ESP,DF,Osasuna,1992
Juan Cuadrado\Juan-Cuadrado,COL,DFMF,Juventus,1988
Adrián Cubas\Adrian-Cubas,PAR,MF,Nîmes,1996
Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,ESP,MF,Eibar,1999
Cucho\Cucho,COL,FWMF,Getafe,1999
Marc Cucurella\Marc-Cucurella,ESP,MF,Getafe,1998
Mickaël Cuisance\Mickael-Cuisance,FRA,MF,Marseille,1999
Mickaël Cuisance\Mickael-Cuisance,FRA,FW,Bayern Munich,1999
Matheus Cunha\Matheus-Cunha,BRA,FWMF,Hertha BSC,1999
Giuseppe Cuomo\Giuseppe-Cuomo,ITA,DF,Crotone,1998
Patrick Cutrone\Patrick-Cutrone,ITA,FWMF,Wolves,1998
Patrick Cutrone\Patrick-Cutrone,ITA,FWMF,Fiorentina,1998
Patrick Cutrone\Patrick-Cutrone,ITA,FW,Valencia,1998
Wylan Cyprien\Wylan-Cyprien,FRA,MF,Parma,1995
Rafael Czichos\Rafael-Czichos,GER,DF,Köln,1990
Lennart-Marten Czyborra\Lennart-Marten-Czyborra,GER,DF,Genoa,1999
Danilo D'Ambrosio\Danilo-DAmbrosio,ITA,DF,Inter,1988
Damien Da Silva\Damien-Da-Silva,FRA,DF,Rennes,1988
Bryan Dabo\Bryan-Dabo,BFA,MF,Benevento,1992
Moanes Dabour\Moanes-Dabour,ISR,FW,Hoffenheim,1992
Colin Dagba\Colin-Dagba,FRA,DF,Paris S-G,1998
Finn Dahmen\Finn-Dahmen,GER,GK,Mainz 05,1998
Mahmoud Dahoud\Mahmoud-Dahoud,GER,MF,Dortmund,1996
Leon Dajaku\Leon-Dajaku,GER,FW,Union Berlin,2001
Stuart Dallas\Stuart-Dallas,NIR,DFMF,Leeds United,1991
Diogo Dalot\Diogo-Dalot,POR,DF,Milan,1999
Mikkel Damsgaard\Mikkel-Damsgaard,DEN,MFFW,Sampdoria,2000
Flavius Daniliuc\Flavius-Daniliuc,AUT,DF,Nice,2001
Danilo\Danilo,BRA,DF,Juventus,1991
Scott Dann\Scott-Dann,ENG,DF,Crystal Palace,1987
Tiago Dantas\Tiago-Dantas,POR,MF,Bayern Munich,2000
Dante\Dante,BRA,DF,Nice,1983
Andrea Danzi\Andrea-Danzi,ITA,MFDF,Hellas Verona,1999
Ebrima Darboe\Ebrima-Darboe,GAM,MF,Roma,2001
Márton Dárdai\Marton-Dardai,GER,DF,Hertha BSC,2002
Vladimír Darida\Vladimir-Darida,CZE,MF,Hertha BSC,1990
Karl Darlow\Karl-Darlow,ENG,GK,Newcastle Utd,1990
Matteo Darmian\Matteo-Darmian,ITA,DF,Inter,1989
Matteo Darmian\Matteo-Darmian,ITA,DF,Parma,1989
Jonathan David\Jonathan-David,CAN,FW,Lille,2000
Alphonso Davies\Alphonso-Davies,CAN,DF,Bayern Munich,2000
Ben Davies\Ben-Davies,WAL,DF,Tottenham,1993
Tom Davies\Tom-Davies,ENG,MF,Everton,1998
Keinan Davis\Keinan-Davis,ENG,FWMF,Aston Villa,1998
Leif Davis\Leif-Davis,ENG,DF,Leeds United,2000
Paweł Dawidowicz\Pawel-Dawidowicz,POL,DF,Hellas Verona,1995
Craig Dawson\Craig-Dawson,ENG,DF,West Ham,1990
Kevin De Bruyne\Kevin-De-Bruyne,BEL,MF,Manchester City,1991
Sebastien De Maio\Sebastien-De-Maio,FRA,DF,Udinese,1987
Rodrigo De Paul\Rodrigo-De-Paul,ARG,MF,Udinese,1994
Mattia De Sciglio\Mattia-De-Sciglio,ITA,DF,Juventus,1992
Mattia De Sciglio\Mattia-De-Sciglio,ITA,DF,Lyon,1992
Lorenzo De Silvestri\Lorenzo-De-Silvestri,ITA,DF,Bologna,1988
Thibault De Smet\Thibault-De-Smet,BEL,DF,Reims,1998
Lucas Deaux\Lucas-Deaux,FRA,MFDF,Nîmes,1988
Mathieu Debuchy\Mathieu-Debuchy,FRA,DF,Saint-Étienne,1985
Grégoire Defrel\Gregoire-Defrel,MTQ,FWMF,Sassuolo,1991
Alessandro Deiola\Alessandro-Deiola,ITA,MF,Spezia,1995
Alessandro Deiola\Alessandro-Deiola,ITA,MF,Cagliari,1995
Romain Del Castillo\Romain-Del-Castillo,FRA,MFFW,Rennes,1996
Lorenzo Del Pinto\Lorenzo-Del-Pinto,ITA,MF,Benevento,1990
Thomas Delaine\Thomas-Delaine,FRA,DF,Metz,1992
Thomas Delaney\Thomas-Delaney,DEN,MF,Dortmund,1991
Liam Delap\Liam-Delap,ENG,FW,Manchester City,2003
Jonathan Delaplace\Jonathan-Delaplace,FRA,DF,Lorient,1986
Sacha Delaye\Sacha-Delaye,FRA,MF,Montpellier,2002
Cristian Dell'Orco\Cristian-DellOrco,ITA,DF,Spezia,1994
Andy Delort\Andy-Delort,ALG,FW,Montpellier,1991
Fabian Delph\Fabian-Delph,ENG,MFDF,Everton,1989
Moussa Dembélé\Moussa-Dembele,FRA,FWMF,Atlético Madrid,1996
Moussa Dembélé\Moussa-Dembele,FRA,FW,Lyon,1996
Ousmane Dembélé\Ousmane-Dembele,FRA,FWDF,Barcelona,1997
Merih Demiral\Merih-Demiral,TUR,DF,Juventus,1998
Kerem Demirbay\Kerem-Demirbay,GER,MF,Leverkusen,1993
Ermedin Demirović\Ermedin-Demirovic,BIH,FW,Freiburg,1998
Diego Demme\Diego-Demme,GER,MF,Napoli,1991
Jason Denayer\Jason-Denayer,BEL,DF,Lyon,1995
Leander Dendoncker\Leander-Dendoncker,BEL,MFDF,Wolves,1995
Kevin Denkey\Kevin-Denkey,TOG,FW,Nîmes,2000
Emmanuel Dennis\Emmanuel-Dennis,NGA,FW,Köln,1997
Stefano Denswil\Stefano-Denswil,NED,DF,Bologna,1993
Fabio Depaoli\Fabio-Depaoli,ITA,DF,Benevento,1997
Fabio Depaoli\Fabio-Depaoli,ITA,MF,Sampdoria,1997
Fabio Depaoli\Fabio-Depaoli,ITA,DF,Atalanta,1997
Memphis Depay\Memphis-Depay,NED,FW,Lyon,1994
Clément Depres\Clement-Depres,FRA,MF,Nîmes,1994
Mike van der Hoorn\Mike-van-der-Hoorn,NED,DF,Arminia,1992
Kastriot Dermaku\Kastriot-Dermaku,ALB,DF,Parma,1992
Kiril Despodov\Kiril-Despodov,BUL,FW,Cagliari,1996
Sergiño Dest\Sergino-Dest,USA,DF,Barcelona,2000
Mattia Destro\Mattia-Destro,ITA,FW,Genoa,1991
Gerard Deulofeu\Gerard-Deulofeu,ESP,FW,Udinese,1994
Deyverson\Deyverson,BRA,FW,Alavés,1991
Jacopo Dezi\Jacopo-Dezi,ITA,FWMF,Parma,1992
Samuel Di Carmine\Samuel-Di-Carmine,ITA,FW,Hellas Verona,1988
Samuel Di Carmine\Samuel-Di-Carmine,ITA,FW,Crotone,1988
Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,ITA,DF,Napoli,1993
Ángel Di María\Angel-Di-Maria,ARG,FWMF,Paris S-G,1988
Alessandro Di Pardo\Alessandro-Di-Pardo,ITA,MFDF,Juventus,1999
Giuseppe Di Serio\Giuseppe-Di-Serio,ITA,FWMF,Benevento,2001
Boulaye Dia\Boulaye-Dia,SEN,FWMF,Reims,1996
Abdoulay Diaby\Abdoulay-Diaby,MLI,MF,Getafe,1991
Moussa Diaby\Moussa-Diaby,FRA,FWMF,Leverkusen,1999
Mbaye Diagne\Mbaye-Diagne,SEN,FW,West Brom,1991
Mouctar Diakhaby\Mouctar-Diakhaby,FRA,DF,Valencia,1996
Abdou Diallo\Abdou-Diallo,SEN,DF,Paris S-G,1996
Amad Diallo\Amad-Diallo,CIV,FW,Manchester Utd,2002
Amad Diallo\Amad-Diallo,CIV,MF,Atalanta,2002
Habib Diallo\Habib-Diallo,SEN,FW,Strasbourg,1995
Habib Diallo\Habib-Diallo,SEN,FW,Metz,1995
Ibrahima Diallo\Ibrahima-Diallo,FRA,MF,Southampton,1999
Ibrahima Diallo\Ibrahima-Diallo,FRA,MF,Brest,1999
Amadou Diambo\Amadou-Diambo,GHA,FW,Benevento,2001
Grady Diangana\Grady-Diangana,ENG,MFFW,West Brom,1998
Stéphane Diarra\Stephane-Diarra,FRA,FWMF,Lorient,1998
Raphael Dias Belloli\Raphael-Dias-Belloli,BRA,MF,Leeds United,1996
Raphael Dias Belloli\Raphael-Dias-Belloli,BRA,FWMF,Rennes,1996
Rúben Dias\Ruben-Dias,POR,DF,Manchester City,1997
Krepin Diatta\Krepin-Diatta,SEN,MFDF,Monaco,1999
Amadou Diawara\Amadou-Diawara,GUI,MF,Roma,1997
Brahim Díaz\Brahim-Diaz,ESP,MFFW,Milan,1999
Víctor Díaz\Victor-Diaz,ESP,DF,Granada,1988
Daniel Didavi\Daniel-Didavi,GER,FWMF,Stuttgart,1990
Eric Dier\Eric-Dier,ENG,DF,Tottenham,1994
Daan Dierckx\Daan-Dierckx,BEL,DF,Parma,2003
Lucas Digne\Lucas-Digne,FRA,DF,Everton,1993
Virgil van Dijk\Virgil-van-Dijk,NED,DF,Liverpool,1991
Mitchell Dijks\Mitchell-Dijks,NED,DF,Bologna,1993
Javairô Dilrosun\Javairo-Dilrosun,NED,FWMF,Hertha BSC,1998
Federico Dimarco\Federico-Dimarco,ITA,DF,Hellas Verona,1997
Tristan Dingomé\Tristan-Dingome,CMR,MF,Reims,1991
Eren Dinkçi\Eren-Dinkci,GER,FWMF,Werder Bremen,2001
Sinaly Diomande\Sinaly-Diomande,CIV,DF,Lyon,2001
Lois Diony\Lois-Diony,FRA,FW,Angers,1992
Issa Diop\Issa-Diop,FRA,DF,West Ham,1997
Papakouli Diop\Papakouli-Diop,SEN,MF,Eibar,1986
Sofiane Diop\Sofiane-Diop,FRA,MFFW,Monaco,2000
Andy Diouf\Andy-Diouf,FRA,FW,Rennes,2002
Yehvann Diouf\Yehvann-Diouf,FRA,GK,Reims,1999
Assane Dioussé\Assane-Diousse,SEN,DF,Saint-Étienne,1997
Axel Disasi\Axel-Disasi,FRA,DF,Monaco,1998
Tiago Djaló\Tiago-Djalo,POR,DF,Lille,2000
Djené\Djene,TOG,DF,Getafe,1991
Moussa Djenepo\Moussa-Djenepo,MLI,MF,Southampton,1998
Koffi Djidji\Koffi-Djidji,CIV,DF,Crotone,1992
Alexander Djiku\Alexander-Djiku,GHA,DFMF,Strasbourg,1994
Berat Djimsiti\Berat-Djimsiti,ALB,DF,Atalanta,1993
Marko Dmitrović\Marko-Dmitrovic,SRB,GK,Eibar,1992
Ritsu Doan\Ritsu-Doan,JPN,MFFW,Arminia,1998
Mihai Dobre\Mihai-Dobre,ROU,FW,Dijon,1998
Matt Doherty\Matt-Doherty,IRL,DF,Tottenham,1992
Jeremy Doku\Jeremy-Doku,BEL,MFFW,Rennes,2002
Kasper Dolberg\Kasper-Dolberg,DEN,FW,Nice,1997
Keagan Dolly\Keagan-Dolly,RSA,MF,Montpellier,1993
Jaume Doménech\Jaume-Domenech,ESP,GK,Valencia,1990
Carlos Dominguez\Carlos-Dominguez,ESP,DF,Celta Vigo,2001
Nicolás Domínguez\Nicolas-Dominguez,ARG,MF,Bologna,1998
John Donald\John-Donald,ESP,DF,Elche,2000
Ji Dong-won\Ji-Dong-won,KOR,FW,Mainz 05,1991
Anastasios Donis\Anastasios-Donis,GRE,MF,Reims,1996
Gianluigi Donnarumma\Gianluigi-Donnarumma,ITA,GK,Milan,1999
Gabriel Dos Santos\Gabriel-Dos-Santos,BRA,DF,Arsenal,1997
Bas Dost\Bas-Dost,NED,FW,Eint Frankfurt,1989
Lucas Douath\Lucas-Douath,FRA,MF,Saint-Étienne,2003
Abdoulaye Doucouré\Abdoulaye-Doucoure,FRA,MF,Everton,1993
Cheick Doucouré\Cheick-Doucoure,MLI,MF,Lens,2000
Fodé Doucouré\Fode-Doucoure,MLI,DF,Reims,2001
Mahamadou Doucouré\Mahamadou-Doucoure,FRA,FW,Nîmes,2000
Cheick Doukouré\Cheick-Doukoure,CIV,MF,Levante,1992
Idrissa Doumbia\Idrissa-Doumbia,CIV,MF,Huesca,1998
Moussa Doumbia\Moussa-Doumbia,MLI,MFFW,Reims,1994
Souleyman Doumbia\Souleyman-Doumbia,CIV,DF,Angers,1996
Aleksandar Dragović\Aleksandar-Dragovic,AUT,DF,Leverkusen,1991
Bartłomiej Drągowski\Bartlomiej-Dragowski,POL,GK,Fiorentina,1997
Denis Drăguș\Denis-Dragus,ROU,FWMF,Crotone,1999
Radu Drăgușin\Radu-Dragusin,ROU,DF,Juventus,2002
Mouhamadou Drammeh\Mouhamadou-Drammeh,FRA,MF,Reims,1999
Julian Draxler\Julian-Draxler,GER,MFFW,Paris S-G,1993
Dominick Drexler\Dominick-Drexler,GER,MFFW,Köln,1990
Matthieu Dreyer\Matthieu-Dreyer,FRA,GK,Lorient,1989
Domingos Duarte\Domingos-Duarte,POR,DF,Granada,1995
Léo Duarte\Leo-Duarte,BRA,DF,Milan,1996
Óscar Duarte\Oscar-Duarte,CRC,DF,Levante,1989
Rubén Duarte\Ruben-Duarte,ESP,DF,Alavés,1995
Leo Dubois\Leo-Dubois,FRA,DF,Lyon,1994
Martin Dúbravka\Martin-Dubravka,SVK,GK,Newcastle Utd,1989
Ondrej Duda\Ondrej-Duda,SVK,FWMF,Köln,1994
