Unnamed: 0,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected,Expected.1,Expected.2,Expected.3,Expected.4
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2006,0,26,4,15.4,1.53,0.23,0,0,25.1,0,0,0,1.3,1.3,0.05,-1.3,-1.3
2007,0,5,0,0,2.25,0,0,0,35.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
2008,6,19,12,63.2,1.52,0.96,0.32,0.5,12.9,0,0,0,4.5,4.5,0.24,1.5,1.5
2009,1,5,1,20,1.24,0.25,0.2,1,21.2,0,0,0,0.9,0.9,0.18,0.1,0.1
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,7,0,0,0.39,0,0,0,21,0,0,0,0.3,0.3,0.04,-0.3,-0.3
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,3,1,33.3,4.15,1.38,0,0,15,0,0,0,0.3,0.3,0.1,-0.3,-0.3
2015,4,14,6,42.9,0.46,0.2,0.29,0.67,14.8,0,0,0,0.9,0.9,0.07,3.1,3.1
2016,0,11,3,27.3,0.51,0.14,0,0,20.9,0,0,0,0.4,0.4,0.03,-0.4,-0.4
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,4,0,0,0.33,0,0,0,8.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,4,44,11,25,2.5,0.62,0.09,0.36,10.1,0,0,0,6.1,6.1,0.14,-2.1,-2.1
2022,7,43,17,39.5,1.6,0.63,0.16,0.41,21.5,7,0,1,5,4.3,0.1,2,2.7
2023,1,2,1,50,0.5,0.25,0.5,1,5,0,0,0,0.5,0.5,0.24,0.5,0.5
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,1,0,0,0.1,0,0,0,24.6,0,0,0,0,0,0.03,0,0
2026,1,22,8,36.4,0.95,0.34,0.05,0.13,17.8,0,0,0,1.8,1.8,0.09,-0.8,-0.8
2027,3,25,7,28,0.93,0.26,0.12,0.43,15.7,0,0,0,3.9,3.8,0.15,-0.9,-0.8
2028,5,42,15,35.7,2.38,0.85,0.12,0.33,18.1,0,0,0,5.1,5.1,0.12,-0.1,-0.1
2029,16,72,29,40.3,1.99,0.8,0.17,0.41,13.9,3,4,5,13,9.2,0.13,3,2.8
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,3,9,5,55.6,0.48,0.27,0.33,0.6,15.6,0,0,0,1.4,1.4,0.15,1.6,1.6
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,1,14,5,35.7,2.05,0.73,0.07,0.2,12.2,0,0,0,1.3,1.3,0.09,-0.3,-0.3
2034,1,10,3,30,3.91,1.17,0.1,0.33,11.9,0,0,0,1.5,1.5,0.15,-0.5,-0.5
2035,7,70,26,37.1,2.42,0.9,0.09,0.23,19.5,10,1,1,6.4,5.7,0.08,0.6,0.3
2036,0,5,0,0,0.7,0,0,0,26.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
2037,0,5,2,40,0.83,0.33,0,0,20.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3
2038,0,2,1,50,0.15,0.07,0,0,15.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,1,4,2,50,0.94,0.47,0.25,0.5,11.6,0,0,0,1,1,0.26,0,0
2042,1,6,2,33.3,0.48,0.16,0.17,0.5,15.6,0,0,0,0.5,0.5,0.09,0.5,0.5
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,1,0,0,0.36,0,0,0,24.7,0,0,0,0,0,0.03,0,0
2045,10,48,20,41.7,2.67,1.11,0.19,0.45,15.4,1,1,1,7,6.2,0.13,3,2.8
2046,2,29,6,20.7,1.68,0.35,0.07,0.33,21,4,0,0,1.3,1.3,0.05,0.7,0.7
2047,4,26,9,34.6,1.6,0.55,0.15,0.44,19.5,2,0,0,2.1,2.1,0.08,1.9,1.9
2048,1,14,5,35.7,2.32,0.83,0.07,0.2,21.5,0,0,0,0.9,0.7,0.05,0.1,0.3
2049,2,17,5,29.4,1.07,0.31,0.12,0.4,12.7,0,0,0,1.8,1.8,0.11,0.2,0.2
2050,11,61,24,39.3,2.13,0.84,0.11,0.29,21.6,10,4,4,7.2,4.1,0.07,3.8,2.9
2051,0,13,5,38.5,0.46,0.18,0,0,23.3,2,0,0,0.7,0.7,0.05,-0.7,-0.7
2052,0,7,4,57.1,0.66,0.38,0,0,19.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
2053,2,14,5,35.7,4.63,1.65,0.14,0.4,14.7,0,0,0,1.7,1.7,0.12,0.3,0.3
2054,1,12,6,50,0.76,0.38,0.08,0.17,17.1,0,0,0,1.2,1.2,0.1,-0.2,-0.2
2055,5,26,6,23.1,0.8,0.18,0.15,0.67,17,0,1,1,3.7,2.9,0.11,1.3,1.1
2056,2,31,13,41.9,2.1,0.88,0.06,0.15,16.4,1,0,0,3.2,3.2,0.1,-1.2,-1.2
2057,2,23,8,34.8,2.68,0.93,0.09,0.25,15.6,0,0,0,2.8,2.8,0.14,-0.8,-0.8
2058,0,9,2,22.2,0.6,0.13,0,0,25.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0,16,4,25,1.24,0.31,0,0,21.2,1,0,0,1,1,0.06,-1,-1
2061,4,28,10,35.7,1.43,0.51,0.04,0.1,18.1,3,3,4,6.5,3.5,0.13,-2.5,-2.5
2062,0,2,0,0,0.14,0,0,0,23,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2063,0,1,0,0,0.7,0,0,0,22.8,1,0,0,0.1,0.1,0.08,-0.1,-0.1
2064,0,5,1,20,0.61,0.12,0,0,8.1,0,0,0,0.7,0.7,0.14,-0.7,-0.7
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,4,35,10,28.6,1.75,0.5,0.11,0.4,12.8,0,0,0,4.4,4.4,0.13,-0.4,-0.4
2067,3,43,11,25.6,1.23,0.32,0.07,0.27,22.3,2,0,0,2.1,2.1,0.05,0.9,0.9
2068,1,3,1,33.3,0.88,0.29,0.33,1,12.4,0,0,0,0.3,0.3,0.11,0.7,0.7
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,2,22,10,45.5,1.2,0.55,0.09,0.2,14.7,0,0,0,2.5,2.5,0.11,-0.5,-0.5
2071,4,26,11,42.3,2.43,1.03,0.15,0.36,10.2,0,0,0,4.1,4.1,0.16,-0.1,-0.1
2072,8,33,11,33.3,2.28,0.76,0.21,0.64,10.1,0,1,1,6.4,5.6,0.17,1.6,1.4
2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,0,3,1,33.3,0.28,0.09,0,0,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2075,2,7,3,42.9,1.18,0.51,0.29,0.67,14.4,0,0,0,0.7,0.7,0.1,1.3,1.3
2076,1,18,2,11.1,0.59,0.07,0.06,0.5,9.7,0,0,0,1.3,1.3,0.07,-0.3,-0.3
2077,1,7,2,28.6,0.34,0.1,0.14,0.5,23.9,0,0,0,0.3,0.3,0.04,0.7,0.7
2078,6,28,15,53.6,2.27,1.22,0.21,0.4,15.7,0,0,0,3,3,0.11,3,3
2079,0,3,2,66.7,2.9,1.94,0,0,15.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3
2080,1,2,2,100,0.84,0.84,0.5,0.5,11.1,0,0,0,0.6,0.6,0.32,0.4,0.4
2081,1,10,2,20,1.55,0.31,0.1,0.5,18.5,0,0,0,0.7,0.7,0.07,0.3,0.3
2082,1,15,5,33.3,0.56,0.19,0.07,0.2,26.2,3,0,0,0.4,0.4,0.02,0.6,0.6
2083,2,22,9,40.9,1.08,0.44,0.09,0.22,20.2,1,0,0,2.5,2.5,0.11,-0.5,-0.5
2084,1,13,1,7.7,0.8,0.06,0.08,1,9.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,7,39,18,46.2,2.15,0.99,0.18,0.39,14.5,0,0,1,6.7,5.9,0.15,0.3,1.1
2087,0,4,3,75,1,0.75,0,0,21.2,0,0,0,0.5,0.5,0.12,-0.5,-0.5
2088,0,1,0,0,1.53,0,0,0,9.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2089,0,1,0,0,1.34,0,0,0,58.5,0,0,0,0,0,0.01,0,0
2090,5,15,10,66.7,1.92,1.28,0.33,0.5,9.8,0,0,0,3.9,3.9,0.26,1.1,1.1
2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,0,1,1,100,0.28,0.28,0,0,23.5,0,0,0,0,0,0.03,0,0
2093,1,14,5,35.7,0.47,0.17,0.07,0.2,14.9,0,0,0,1,1,0.07,0,0
2094,1,8,2,25,0.31,0.08,0.13,0.5,17.7,0,0,0,0.5,0.5,0.06,0.5,0.5
2095,0,4,3,75,0.28,0.21,0,0,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
2096,1,9,1,11.1,0.31,0.03,0.11,1,17.3,0,0,0,0.5,0.5,0.06,0.5,0.5
