Unnamed: 0,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6
Rk,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1176,15,2,12,3,6,2,1
1177,7,3,6,1,1,1,0
1178,0,0,0,0,0,0,0
1179,1,0,1,0,0,1,0
1180,0,0,0,0,0,0,0
1181,0,0,0,0,0,2,0
1182,11,0,6,5,5,2,0
1183,0,0,0,0,0,5,0
1184,12,2,12,0,1,1,0
1185,4,5,3,1,1,0,0
1186,0,0,0,0,0,1,0
1187,1,2,1,0,0,1,0
1188,2,0,2,0,0,2,0
1189,6,9,4,2,2,2,0
1190,0,0,0,0,0,2,0
1191,1,0,1,0,0,4,0
1192,20,6,16,4,8,4,1
1193,1,0,1,0,0,7,0
1194,0,2,0,0,0,2,0
1195,12,4,10,2,2,1,0
1196,3,5,3,0,1,4,0
1197,19,8,12,7,8,2,1
1198,2,4,2,0,0,2,0
1199,0,0,0,0,0,9,0
1200,1,0,1,0,0,0,0
1201,2,0,2,0,0,6,0
1202,17,2,17,0,1,4,0
1203,0,2,0,0,0,1,0
1204,1,1,1,0,0,3,1
1205,0,0,0,0,0,2,0
1206,1,2,1,0,0,0,0
1207,1,0,1,0,0,4,0
1208,0,0,0,0,0,0,0
1209,2,0,2,0,0,3,0
1210,0,0,0,0,0,1,1
1211,0,1,0,0,0,3,0
1212,0,0,0,0,0,0,0
1213,1,1,1,0,0,6,0
1214,3,1,3,0,0,3,0
1215,1,2,1,0,0,3,0
1216,0,0,0,0,0,0,1
1217,0,1,0,0,0,4,0
1218,6,3,6,0,0,6,0
1219,0,0,0,0,0,1,0
1220,4,5,1,3,3,2,0
1221,0,0,0,0,0,0,0
1222,0,0,0,0,0,4,1
1223,5,1,5,0,0,6,0
1224,1,1,1,0,0,3,0
1225,1,0,1,0,0,0,0
1226,0,0,0,0,0,0,0
1227,0,1,0,0,0,0,0
1228,0,0,0,0,0,0,0
1229,9,4,9,0,0,2,0
1230,0,0,0,0,0,0,0
1231,4,0,4,0,0,0,0
1232,2,6,2,0,0,2,0
1233,0,0,0,0,0,0,0
1234,4,2,3,1,1,3,0
1235,0,0,0,0,0,1,0
1236,1,0,1,0,0,1,0
1237,0,1,0,0,0,1,0
1238,1,2,1,0,0,2,0
1239,3,4,3,0,0,5,0
1240,4,0,4,0,0,3,0
1241,0,2,0,0,0,0,0
1242,1,6,1,0,0,8,1
1243,7,1,0,7,9,2,0
1244,4,2,4,0,0,3,0
1245,1,0,1,0,0,0,0
1246,3,1,3,0,1,0,0
1247,11,3,9,2,4,1,0
1248,0,1,0,0,0,3,0
1249,1,0,1,0,0,1,0
1250,0,2,0,0,0,5,1
1251,9,0,9,0,0,2,0
1252,6,0,6,0,1,1,0
1253,0,0,0,0,0,0,0
1254,4,1,4,0,0,2,0
1255,2,0,2,0,0,1,0
1256,5,2,5,0,0,6,0
1257,3,3,3,0,0,3,0
1258,2,1,2,0,0,4,0
1259,0,0,0,0,0,1,0
1260,0,0,0,0,0,6,0
1261,0,0,0,0,0,3,0
1262,0,0,0,0,0,6,1
1263,3,1,3,0,1,2,0
1264,0,4,0,0,0,3,0
1265,10,3,10,0,0,4,0
1266,0,0,0,0,0,0,0
1267,1,0,1,0,0,0,0
1268,11,5,4,7,9,3,0
1269,16,5,16,0,0,1,0
1270,0,0,0,0,0,0,0
1271,7,3,7,0,0,0,0
1272,2,0,2,0,0,2,0
1273,0,0,0,0,0,0,0
1274,4,1,4,0,0,3,0
1275,1,1,1,0,0,1,0
1276,5,12,5,0,0,3,0
1277,0,0,0,0,0,1,1
1278,1,0,1,0,0,1,1
1279,0,0,0,0,0,0,0
1280,0,2,0,0,0,6,0
1281,2,1,2,0,0,3,0
1282,0,0,0,0,0,0,0
1283,0,1,0,0,0,6,0
1284,23,14,19,4,4,1,0
1285,0,0,0,0,0,0,0
1286,0,4,0,0,0,1,0
1287,0,2,0,0,0,7,0
1288,0,0,0,0,0,0,0
1289,2,1,2,0,0,3,0
1290,0,0,0,0,0,0,0
1291,0,0,0,0,0,3,0
1292,0,0,0,0,0,0,0
1293,0,0,0,0,0,0,0
1294,1,6,1,0,0,2,0
1295,0,0,0,0,0,1,0
1296,0,0,0,0,0,1,0
1297,0,0,0,0,0,0,0
1298,13,0,13,0,0,4,0
1299,3,1,3,0,0,4,0
1300,0,0,0,0,0,0,0
1301,0,0,0,0,0,3,0
1302,0,0,0,0,0,0,0
1303,0,0,0,0,0,1,0
1304,0,0,0,0,0,1,0
1305,0,0,0,0,0,0,0
1306,0,0,0,0,0,0,0
1307,0,0,0,0,0,0,0
1308,2,1,2,0,0,5,0
1309,4,3,4,0,0,3,0
1310,0,0,0,0,0,0,0
1311,13,4,2,11,13,8,0
1312,0,0,0,0,0,0,0
1313,0,0,0,0,0,0,0
1314,2,1,2,0,0,4,0
1315,7,1,4,3,3,5,1
1316,1,0,1,0,0,5,0
1317,0,1,0,0,0,1,0
1318,12,2,12,0,0,4,1
1319,0,0,0,0,0,1,0
1320,0,1,0,0,0,4,0
1321,4,10,4,0,0,4,0
1322,0,0,0,0,0,6,1
1323,0,0,0,0,0,0,0
1324,1,0,1,0,0,3,1
1325,0,2,0,0,0,3,0
1326,0,0,0,0,0,1,0
1327,0,0,0,0,0,0,0
1328,0,0,0,0,0,0,0
1329,0,0,0,0,0,1,0
1330,1,2,1,0,0,0,0
1331,4,5,2,2,2,6,0
1332,1,1,1,0,0,1,0
1333,5,2,4,1,2,4,0
1334,1,0,1,0,0,2,0
1335,0,0,0,0,0,0,0
1336,3,1,3,0,0,2,0
1337,0,0,0,0,0,0,0
1338,1,1,1,0,0,0,0
1339,1,0,1,0,0,4,0
1340,0,0,0,0,0,0,0
1341,0,0,0,0,0,1,0
1342,0,0,0,0,0,0,0
1343,0,0,0,0,0,1,0
1344,1,0,0,1,1,1,0
1345,1,1,1,0,0,3,0
1346,0,0,0,0,0,1,0
1347,0,0,0,0,0,0,0
1348,1,2,1,0,0,9,0
1349,0,0,0,0,0,1,0
1350,0,1,0,0,0,0,0
1351,0,0,0,0,0,0,0
1352,1,1,1,0,0,5,0
1353,9,4,9,0,0,3,0
1354,0,0,0,0,0,4,1
1355,2,1,2,0,0,5,0
1356,1,0,1,0,0,2,0
