Unnamed: 0,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6
Rk,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1769,0,0,0,0,1,1,0
1770,5,3,5,0,0,4,0
1771,14,2,13,1,1,2,0
1772,5,1,5,0,0,4,1
1773,0,0,0,0,0,3,0
1774,1,0,1,0,0,0,0
1775,0,0,0,0,0,1,0
1776,0,0,0,0,0,3,0
1777,0,0,0,0,0,1,0
1778,8,2,8,0,1,3,0
1779,2,5,2,0,0,1,0
1780,1,4,1,0,0,1,0
1781,0,0,0,0,0,0,0
1782,3,5,3,0,0,5,2
1783,0,0,0,0,0,0,0
1784,0,0,0,0,0,1,0
1785,2,0,2,0,0,7,1
1786,0,0,0,0,0,0,0
1787,2,0,2,0,0,4,0
1788,0,0,0,0,0,0,0
1789,1,1,1,0,0,1,0
1790,0,0,0,0,0,0,0
1791,0,0,0,0,0,3,0
1792,1,1,0,1,1,6,0
1793,0,0,0,0,0,0,1
1794,0,0,0,0,0,2,0
1795,0,0,0,0,0,0,0
1796,0,0,0,0,0,0,0
1797,11,9,10,1,1,3,1
1798,0,0,0,0,0,0,0
1799,2,2,2,0,0,3,0
1800,0,0,0,0,0,1,0
1801,0,0,0,0,0,0,0
1802,0,2,0,0,0,4,0
1803,23,7,13,10,10,3,0
1804,2,5,2,0,0,5,0
1805,0,2,0,0,0,1,0
1806,0,0,0,0,0,0,0
1807,0,0,0,0,0,0,0
1808,1,0,1,0,0,2,0
1809,0,0,0,0,0,1,0
1810,0,0,0,0,0,3,0
1811,3,0,3,0,0,0,0
1812,3,1,3,0,0,6,0
1813,0,0,0,0,0,1,0
1814,9,4,8,1,2,6,0
1815,6,5,5,1,1,2,0
1816,3,4,3,0,0,1,0
1817,0,0,0,0,0,0,0
1818,1,1,1,0,0,5,1
1819,0,0,0,0,0,0,0
1820,0,0,0,0,0,0,0
1821,0,0,0,0,0,0,0
1822,3,1,3,0,0,5,0
1823,2,1,2,0,0,5,0
1824,0,0,0,0,0,2,0
1825,0,0,0,0,0,0,0
1826,0,0,0,0,0,0,0
1827,11,19,10,1,1,0,0
1828,0,0,0,0,0,1,0
1829,1,0,1,0,0,7,1
1830,5,3,5,0,0,1,0
1831,0,1,0,0,0,6,0
1832,0,0,0,0,0,0,0
1833,22,7,20,2,3,0,0
1834,2,0,2,0,0,11,1
1835,1,0,1,0,0,1,0
1836,2,3,2,0,0,3,0
1837,0,0,0,0,0,0,0
1838,1,3,1,0,0,2,0
1839,0,0,0,0,0,2,0
1840,0,0,0,0,0,0,0
1841,1,0,1,0,0,2,0
1842,6,1,6,0,0,0,0
1843,0,0,0,0,0,5,0
1844,0,0,0,0,0,0,0
1845,1,0,1,0,0,1,0
1846,1,1,1,0,0,1,0
1847,1,2,1,0,0,3,0
1848,0,2,0,0,0,0,0
1849,3,1,3,0,0,10,0
1850,0,0,0,0,0,0,0
1851,0,0,0,0,0,4,0
1852,0,1,0,0,0,3,1
1853,1,0,1,0,0,8,0
1854,0,1,0,0,0,2,0
1855,0,0,0,0,0,0,0
1856,1,0,1,0,0,5,0
1857,0,0,0,0,0,0,0
1858,0,0,0,0,0,3,0
1859,2,2,2,0,0,8,1
1860,0,0,0,0,0,0,0
1861,0,0,0,0,0,1,0
1862,0,0,0,0,0,2,0
1863,0,0,0,0,0,0,0
1864,1,1,1,0,0,6,0
1865,0,6,0,0,0,4,0
1866,0,0,0,0,0,0,0
1867,0,0,0,0,0,0,0
1868,3,4,3,0,0,4,0
1869,0,0,0,0,0,0,0
1870,1,4,1,0,0,6,0
1871,0,0,0,0,0,1,0
1872,3,2,3,0,0,3,0
1873,1,1,1,0,0,0,0
1874,0,0,0,0,0,0,0
1875,8,4,8,0,0,5,1
1876,0,0,0,0,0,0,0
1877,2,2,2,0,0,1,0
1878,0,0,0,0,0,0,0
1879,5,6,5,0,0,4,0
1880,1,0,1,0,0,0,0
1881,0,0,0,0,0,1,0
1882,6,5,6,0,0,9,0
1883,0,0,0,0,0,1,0
1884,5,1,2,3,3,8,0
1885,9,5,4,5,6,7,2
1886,1,2,1,0,0,9,0
1887,2,0,2,0,0,1,0
1888,2,0,2,0,0,5,0
1889,0,0,0,0,0,1,0
1890,3,1,3,0,1,0,0
1891,3,1,2,1,1,10,1
1892,6,0,5,1,1,0,0
1893,1,0,1,0,0,0,0
1894,0,0,0,0,0,0,0
1895,5,4,5,0,0,3,1
1896,0,0,0,0,0,0,0
1897,2,1,2,0,1,10,0
1898,0,0,0,0,0,1,0
1899,0,0,0,0,0,0,0
1900,0,0,0,0,0,1,0
1901,3,0,3,0,0,1,0
1902,2,1,2,0,0,0,0
1903,1,0,1,0,0,5,0
1904,0,0,0,0,0,1,0
1905,6,6,6,0,0,2,0
1906,0,0,0,0,0,0,0
1907,0,0,0,0,0,1,0
1908,7,5,7,0,0,7,0
1909,4,4,4,0,0,1,0
1910,0,0,0,0,0,1,0
1911,0,0,0,0,0,0,0
1912,0,0,0,0,0,6,0
1913,0,0,0,0,0,0,0
1914,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0
1916,1,1,1,0,0,6,0
1917,1,0,1,0,0,1,0
1918,0,0,0,0,0,1,0
1919,20,2,12,8,8,1,0
1920,1,0,1,0,0,2,0
1921,0,2,0,0,0,10,1
1922,11,3,7,4,4,5,0
1923,1,1,1,0,0,8,1
1924,0,0,0,0,0,0,0
1925,0,0,0,0,0,3,0
1926,0,0,0,0,0,0,0
1927,0,1,0,0,0,4,1
1928,0,0,0,0,0,0,0
1929,5,4,1,4,5,3,0
1930,0,2,0,0,0,1,0
1931,0,2,0,0,0,0,0
1932,0,0,0,0,0,1,0
1933,2,0,2,0,0,0,0
1934,3,0,3,0,0,5,0
1935,4,1,4,0,0,2,0
1936,1,1,1,0,0,1,0
1937,1,0,1,0,0,0,0
1938,1,1,1,0,0,4,0
1939,0,2,0,0,0,4,0
1940,0,1,0,0,0,2,0
1941,0,2,0,0,0,0,0
1942,0,0,0,0,0,1,0
1943,0,1,0,0,0,4,0
1944,0,0,0,0,0,6,0
1945,0,0,0,0,0,0,0
1946,5,9,4,1,1,1,0
1947,0,0,0,0,0,1,0
1948,0,0,0,0,0,0,1
1949,0,0,0,0,0,0,0
1950,4,0,4,0,0,2,0
1951,0,0,0,0,0,1,0
1952,2,1,1,1,1,5,0
1953,0,1,0,0,0,0,0
1954,4,1,4,0,0,4,0
1955,6,2,2,4,4,5,0
1956,0,0,0,0,0,0,0
1957,7,3,4,3,3,0,0
1958,0,1,0,0,0,1,0
1959,0,1,0,0,0,3,0
1960,1,0,1,0,0,1,0
1961,10,3,10,0,0,4,0
1962,0,0,0,0,0,2,0
1963,0,1,0,0,0,2,0
1964,0,1,0,0,0,1,0
1965,1,0,1,0,0,6,0
1966,0,2,0,0,0,7,1
1967,4,4,4,0,0,2,0
1968,0,0,0,0,0,3,1
1969,0,0,0,0,0,1,0
1970,4,4,4,0,0,1,0
1971,0,0,0,0,0,0,0
1972,0,2,0,0,0,0,0
1973,0,0,0,0,0,2,0
1974,1,1,1,0,0,0,0
1975,11,8,5,6,7,1,0
1976,1,1,1,0,0,1,0
1977,0,1,0,0,0,3,0
1978,1,2,1,0,0,0,0
1979,1,0,1,0,0,5,0
1980,0,0,0,0,0,1,0
1981,0,0,0,0,0,0,0
1982,1,1,1,0,0,2,0
1983,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0
1985,0,0,0,0,0,3,0
1986,5,5,5,0,0,5,0
1987,0,0,0,0,0,1,0
1988,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0
1991,2,0,2,0,0,8,1
1992,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0
1995,7,3,6,1,1,5,0
1996,0,0,0,0,0,0,0
1997,0,0,0,0,0,5,0
1998,0,0,0,0,0,0,0
1999,9,5,9,0,0,6,1
2000,0,0,0,0,0,1,0
2001,0,0,0,0,0,0,0
2002,1,2,1,0,0,7,1
2003,3,5,3,0,0,4,0
2004,0,0,0,0,0,0,0
2005,0,2,0,0,0,5,0
2006,0,2,0,0,0,5,0
2007,0,0,0,0,0,1,0
2008,6,2,6,0,0,2,0
2009,1,0,1,0,0,0,0
2010,0,1,0,0,0,1,0
2011,0,0,0,0,0,0,0
2012,0,1,0,0,0,8,0
2013,0,0,0,0,0,1,0
2014,0,0,0,0,0,0,0
2015,4,1,4,0,0,6,0
2016,0,0,0,0,0,3,0
2017,0,0,0,0,0,2,0
2018,0,0,0,0,0,0,0
2019,0,1,0,0,0,3,0
2020,0,0,0,0,0,0,0
2021,4,3,4,0,0,8,0
2022,7,10,7,0,1,4,2
2023,1,0,1,0,0,0,0
2024,0,0,0,0,0,0,0
2025,0,0,0,0,0,1,0
2026,1,2,1,0,0,8,0
2027,3,3,3,0,0,2,0
2028,5,2,5,0,0,5,1
2029,16,3,12,4,5,4,0
2030,0,0,0,0,0,0,0
2031,3,1,3,0,0,4,0
2032,0,0,0,0,0,0,0
2033,1,2,1,0,0,1,0
2034,1,0,1,0,0,2,1
2035,7,6,6,1,1,10,0
2036,0,1,0,0,0,2,0
2037,0,0,0,0,0,0,0
2038,0,0,0,0,0,1,0
2039,0,0,0,0,0,1,0
2040,0,0,0,0,0,1,0
2041,1,0,1,0,0,1,0
2042,1,1,1,0,0,1,0
2043,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0
2045,10,1,9,1,1,1,1
2046,2,3,2,0,0,0,0
2047,4,1,4,0,0,5,0
2048,1,2,1,0,0,7,1
2049,2,1,2,0,0,3,0
2050,11,6,7,4,4,2,1
2051,0,4,0,0,0,6,0
2052,0,1,0,0,0,3,0
2053,2,2,2,0,0,0,0
2054,1,2,1,0,0,6,0
2055,5,7,4,1,1,8,0
2056,2,1,2,0,0,2,0
2057,2,1,2,0,0,0,0
2058,0,0,0,0,0,4,1
2059,0,0,0,0,0,0,0
2060,0,0,0,0,0,3,0
2061,4,4,1,3,4,1,0
2062,0,0,0,0,0,1,0
2063,0,0,0,0,0,1,0
2064,0,0,0,0,0,4,0
2065,0,0,0,0,0,1,1
2066,4,3,4,0,0,3,0
2067,3,7,3,0,0,4,0
2068,1,0,1,0,0,1,0
2069,0,0,0,0,0,0,0
2070,2,2,2,0,0,2,0
2071,4,3,4,0,0,0,0
2072,8,0,7,1,1,0,0
2073,0,0,0,0,0,0,0
2074,0,0,0,0,0,5,1
2075,2,0,2,0,0,0,0
2076,1,0,1,0,0,5,0
2077,1,4,1,0,0,7,0
2078,6,2,6,0,0,3,0
2079,0,0,0,0,0,0,0
2080,1,1,1,0,0,0,0
2081,1,0,1,0,0,0,0
2082,1,2,1,0,0,10,0
2083,2,1,2,0,0,1,0
2084,1,1,1,0,0,2,0
2085,0,0,0,0,0,0,0
2086,7,1,7,0,1,4,0
2087,0,0,0,0,0,1,0
2088,0,0,0,0,0,0,0
2089,0,0,0,0,0,0,0
2090,5,0,5,0,0,0,0
2091,0,0,0,0,0,1,0
2092,0,0,0,0,0,1,0
2093,1,1,1,0,0,6,0
2094,1,0,1,0,0,4,0
2095,0,1,0,0,0,1,0
2096,1,1,1,0,0,12,0
2097,1,0,1,0,0,0,0
2098,3,1,3,0,0,4,0
2099,0,0,0,0,0,0,1
2100,0,0,0,0,0,4,0
2101,0,0,0,0,0,1,0
2102,0,0,0,0,0,0,0
2103,3,2,3,0,0,0,0
2104,0,0,0,0,0,1,0
2105,5,5,5,0,0,1,1
2106,0,2,0,0,0,1,0
2107,6,1,6,0,0,2,0
2108,0,0,0,0,0,0,0
2109,6,0,6,0,0,6,0
2110,3,2,3,0,0,3,0
2111,3,3,3,0,0,3,0
2112,6,0,6,0,0,0,0
2113,0,0,0,0,0,0,0
2114,1,0,1,0,0,1,0
2115,9,4,9,0,0,3,0
2116,1,0,1,0,0,1,0
2117,0,0,0,0,0,2,1
2118,2,0,2,0,0,1,0
2119,0,0,0,0,0,1,0
2120,0,0,0,0,0,0,0
2121,0,0,0,0,0,1,0
2122,0,1,0,0,0,1,0
2123,8,3,8,0,0,3,0
2124,0,0,0,0,0,11,1
2125,0,0,0,0,0,4,0
2126,5,4,5,0,0,1,0
2127,0,0,0,0,0,1,0
2128,0,0,0,0,0,0,0
2129,0,0,0,0,0,4,0
2130,1,1,1,0,0,0,0
2131,0,1,0,0,0,1,0
2132,1,2,1,0,0,3,0
2133,1,1,1,0,0,3,0
2134,3,1,3,0,0,7,0
2135,0,0,0,0,0,0,0
2136,0,0,0,0,0,1,0
2137,3,5,3,0,0,6,0
2138,1,0,1,0,0,1,0
2139,1,3,1,0,0,8,0
2140,1,0,1,0,0,6,1
2141,4,2,4,0,0,2,0
2142,3,1,3,0,0,2,0
2143,13,1,11,2,3,1,0
2144,6,2,5,1,1,1,0
2145,2,0,2,0,0,1,0
2146,1,0,1,0,0,5,0
2147,0,0,0,0,0,0,0
2148,0,0,0,0,0,0,0
2149,0,1,0,0,0,0,0
2150,4,2,4,0,0,7,1
2151,1,1,1,0,0,6,0
2152,0,0,0,0,0,0,0
2153,0,2,0,0,0,1,0
2154,2,1,2,0,0,2,0
2155,1,2,1,0,0,1,0
2156,0,0,0,0,0,0,0
2157,0,0,0,0,0,6,0
2158,0,0,0,0,0,0,0
2159,0,3,0,0,0,2,0
2160,0,1,0,0,0,0,0
2161,0,4,0,0,0,2,0
2162,0,0,0,0,0,0,0
2163,0,0,0,0,0,2,0
2164,4,2,2,2,2,5,0
2165,0,0,0,0,0,0,0
2166,2,0,2,0,0,2,0
2167,0,4,0,0,0,5,0
2168,5,1,5,0,0,2,0
2169,2,0,0,2,2,3,0
2170,0,0,0,0,0,1,0
2171,2,4,2,0,0,2,0
2172,0,0,0,0,0,0,0
2173,0,0,0,0,0,1,0
2174,0,0,0,0,0,0,0
2175,0,1,0,0,0,2,0
2176,11,9,11,0,0,4,0
2177,3,2,2,1,1,0,0
2178,6,0,6,0,0,1,0
2179,0,0,0,0,0,0,0
2180,0,0,0,0,0,0,0
2181,11,4,11,0,0,4,1
2182,2,3,2,0,0,7,0
2183,1,0,0,1,1,5,0
2184,0,0,0,0,0,0,0
2185,2,3,2,0,0,1,0
2186,0,2,0,0,0,5,0
2187,0,0,0,0,0,0,0
2188,0,3,0,0,0,5,0
2189,5,2,5,0,0,7,0
2190,0,0,0,0,0,1,0
2191,1,2,1,0,0,1,0
2192,0,0,0,0,0,0,0
2193,1,1,1,0,0,0,0
2194,0,0,0,0,0,0,0
2195,0,0,0,0,0,1,0
2196,0,0,0,0,0,2,0
2197,0,0,0,0,0,0,0
2198,0,0,0,0,0,2,0
2199,8,6,8,0,2,1,0
2200,5,2,5,0,0,4,0
2201,0,0,0,0,0,0,0
2202,4,5,4,0,0,1,0
2203,0,0,0,0,0,3,0
2204,0,0,0,0,0,0,0
2205,2,6,2,0,0,6,1
2206,0,0,0,0,0,0,0
2207,0,0,0,0,0,0,0
2208,0,0,0,0,0,0,0
2209,0,2,0,0,0,5,0
2210,2,1,1,1,2,2,0
2211,0,1,0,0,0,1,0
2212,0,1,0,0,0,0,0
2213,0,0,0,0,0,0,0
2214,7,3,6,1,1,4,1
2215,3,1,3,0,0,4,1
2216,1,4,1,0,0,2,0
2217,0,0,0,0,0,0,0
2218,2,0,2,0,0,4,0
2219,1,1,1,0,0,5,0
2220,1,1,1,0,0,10,1
2221,4,2,4,0,0,4,0
2222,11,0,5,6,7,3,0
2223,0,0,0,0,0,4,0
2224,0,2,0,0,0,4,0
2225,0,2,0,0,0,2,0
2226,0,0,0,0,0,0,0
2227,1,1,1,0,0,2,0
2228,0,1,0,0,0,3,1
2229,0,0,0,0,0,0,1
2230,1,2,1,0,0,1,0
2231,1,2,1,0,0,3,0
2232,1,7,1,0,0,2,0
2233,0,0,0,0,0,4,1
2234,5,0,5,0,0,0,0
2235,0,1,0,0,0,3,0
2236,0,0,0,0,0,2,0
2237,2,0,2,0,0,2,0
2238,0,0,0,0,0,1,0
2239,0,0,0,0,0,0,0
2240,0,1,0,0,0,5,0
2241,0,0,0,0,0,0,0
2242,1,0,1,0,0,10,0
2243,0,0,0,0,0,0,0
2244,2,2,1,1,1,6,0
2245,7,2,7,0,0,3,0
2246,0,0,0,0,0,0,0
2247,1,1,1,0,0,1,0
2248,0,0,0,0,0,1,0
2249,5,0,4,1,2,4,0
2250,1,0,1,0,0,10,0
2251,6,4,6,0,0,4,0
2252,1,2,1,0,0,3,0
2253,0,0,0,0,0,2,0
2254,0,0,0,0,0,1,0
2255,0,0,0,0,0,1,0
2256,1,6,1,0,0,0,0
2257,0,0,0,0,0,2,0
2258,0,1,0,0,0,4,0
2259,0,0,0,0,0,1,0
2260,1,1,1,0,0,7,0
2261,2,2,2,0,0,10,0
2262,1,1,1,0,0,6,0
2263,29,2,23,6,8,3,0
2264,1,1,1,0,0,3,1
2265,1,2,1,0,0,8,0
2266,1,1,1,0,0,8,1
2267,0,2,0,0,0,0,0
2268,0,0,0,0,0,2,0
2269,0,2,0,0,0,4,0
2270,1,0,1,0,0,2,0
2271,0,0,0,0,0,0,1
2272,1,0,0,1,1,1,0
2273,0,0,0,0,0,0,0
2274,1,0,1,0,0,0,0
2275,1,3,1,0,0,4,0
2276,0,0,0,0,0,0,0
2277,0,0,0,0,0,0,0
2278,1,1,1,0,0,2,0
2279,0,0,0,0,0,1,0
2280,0,0,0,0,0,0,0
2281,0,2,0,0,0,4,0
2282,2,2,2,0,0,2,0
2283,3,1,3,0,0,1,0
2284,0,0,0,0,0,0,0
2285,0,0,0,0,0,1,0
2286,2,0,2,0,0,9,0
2287,0,0,0,0,0,0,1
2288,0,0,0,0,0,0,0
2289,1,0,1,0,0,0,0
2290,0,0,0,0,0,0,0
2291,0,0,0,0,0,1,0
2292,0,2,0,0,0,2,0
2293,0,0,0,0,0,0,0
2294,1,1,1,0,0,0,0
2295,0,0,0,0,0,0,0
2296,0,0,0,0,0,0,0
2297,1,2,1,0,0,4,0
2298,0,0,0,0,0,0,0
2299,8,3,4,4,4,8,0
2300,2,4,2,0,0,7,1
2301,0,0,0,0,0,3,0
2302,3,4,3,0,0,0,0
2303,1,0,1,0,0,1,0
2304,3,0,3,0,0,2,0
2305,5,3,5,0,0,1,0
2306,0,1,0,0,0,6,1
2307,0,0,0,0,0,0,0
2308,0,0,0,0,0,0,0
2309,0,0,0,0,0,1,0
2310,22,5,16,6,6,0,0
2311,2,0,2,0,0,3,0
2312,1,0,1,0,0,2,0
2313,0,0,0,0,0,2,0
2314,0,0,0,0,0,1,0
2315,8,3,7,1,1,5,0
2316,2,0,2,0,0,5,0
2317,0,1,0,0,0,0,0
2318,0,2,0,0,0,3,0
2319,7,0,7,0,0,4,0
2320,1,6,1,0,0,2,0
2321,0,2,0,0,0,4,1
2322,0,0,0,0,0,7,0
2323,5,1,5,0,0,2,0
2324,3,0,3,0,0,2,0
2325,2,2,2,0,0,2,0
2326,1,3,1,0,0,4,0
2327,0,0,0,0,0,2,0
2328,7,5,7,0,1,0,0
2329,0,0,0,0,0,1,0
2330,3,1,3,0,0,11,1
2331,0,0,0,0,0,3,0
2332,0,4,0,0,0,4,0
2333,0,1,0,0,0,0,0
2334,0,0,0,0,0,2,0
2335,8,11,7,1,1,0,0
2336,2,1,2,0,0,2,0
2337,6,9,6,0,0,2,0
2338,0,0,0,0,0,5,0
2339,0,2,0,0,0,10,0
2340,0,0,0,0,0,0,0
2341,0,0,0,0,0,0,0
2342,0,0,0,0,0,3,0
2343,2,3,2,0,0,2,0
2344,2,2,2,0,0,2,0
2345,0,0,0,0,0,1,0
2346,1,2,1,0,0,5,0
2347,0,1,0,0,0,0,0
2348,0,1,0,0,0,3,0
2349,1,0,1,0,0,6,0
2350,0,0,0,0,0,0,0
2351,2,0,2,0,0,2,1
2352,1,0,0,1,1,2,0
2353,6,4,6,0,0,2,0
2354,5,2,5,0,0,7,0
2355,0,0,0,0,0,0,0
2356,0,1,0,0,0,1,0
2357,0,0,0,0,0,1,0
2358,4,2,3,1,1,1,1
2359,5,5,3,2,3,6,1
2360,1,0,1,0,0,14,0
2361,0,0,0,0,0,2,0
2362,8,2,6,2,2,1,0
2363,0,0,0,0,0,0,0
2364,1,0,0,1,1,4,1
2365,1,0,1,0,0,1,0
2366,0,0,0,0,0,0,0
2367,1,1,1,0,0,13,1
2368,9,1,9,0,0,4,0
2369,1,0,1,0,0,4,0
2370,2,4,2,0,0,7,0
2371,0,0,0,0,0,3,0
2372,1,0,1,0,0,4,1
2373,2,3,2,0,0,3,0
2374,0,0,0,0,0,0,0
2375,2,2,2,0,0,4,0
2376,0,3,0,0,0,2,0
2377,0,1,0,0,0,0,0
2378,0,1,0,0,0,9,1
2379,0,0,0,0,0,0,0
2380,1,1,1,0,0,8,1
2381,0,0,0,0,0,1,0
2382,0,0,0,0,0,0,0
2383,0,0,0,0,0,0,0
2384,0,0,0,0,0,1,0
2385,0,0,0,0,0,0,0
2386,0,0,0,0,0,1,0
2387,3,1,2,1,1,4,0
2388,1,0,1,0,0,1,0
2389,0,0,0,0,0,0,0
2390,1,1,1,0,0,5,0
2391,0,0,0,0,0,0,0
2392,0,0,0,0,0,1,1
2393,1,1,1,0,0,5,0
2394,0,0,0,0,0,0,0
2395,1,3,1,0,0,3,0
2396,0,0,0,0,0,3,0
2397,0,0,0,0,0,0,0
2398,2,3,2,0,0,4,0
2399,0,1,0,0,0,1,0
2400,0,0,0,0,0,0,0
2401,1,1,1,0,0,1,0
2402,0,0,0,0,0,0,0
2403,0,2,0,0,0,2,0
2404,3,0,1,2,2,1,0
2405,1,5,1,0,0,8,0
2406,1,3,1,0,0,7,0
2407,8,1,8,0,0,1,0
2408,0,0,0,0,0,0,0
2409,0,0,0,0,0,0,0
2410,0,0,0,0,0,1,0
2411,0,2,0,0,0,3,0
2412,0,0,0,0,0,1,0
2413,0,1,0,0,0,2,0
2414,0,0,0,0,0,0,0
2415,6,5,3,3,4,2,0
2416,0,0,0,0,0,0,0
2417,0,0,0,0,0,0,0
2418,1,1,1,0,0,8,1
2419,28,7,21,7,7,1,0
2420,2,6,2,0,0,5,0
2421,0,4,0,0,0,0,0
2422,2,5,2,0,0,4,0
2423,4,3,3,1,1,2,0
2424,0,0,0,0,0,0,0
2425,0,0,0,0,0,1,0
2426,0,0,0,0,0,2,0
2427,0,0,0,0,0,1,0
2428,2,0,2,0,0,5,1
2429,0,0,0,0,0,1,0
2430,1,1,1,0,0,2,0
2431,6,2,6,0,0,1,0
2432,6,5,5,1,1,2,0
2433,0,0,0,0,0,1,0
2434,0,0,0,0,0,0,0
2435,1,0,1,0,0,0,0
2436,1,2,1,0,0,4,1
2437,0,0,0,0,0,4,0
2438,2,0,2,0,0,5,0
2439,0,0,0,0,0,0,0
2440,0,0,0,0,0,0,0
2441,1,0,1,0,0,2,0
2442,0,0,0,0,0,6,0
2443,0,0,0,0,0,3,0
2444,0,0,0,0,0,0,0
2445,0,0,0,0,0,0,0
2446,0,0,0,0,0,0,0
2447,5,2,5,0,0,5,0
2448,0,0,0,0,0,1,0
2449,2,3,2,0,0,1,0
2450,1,0,1,0,0,0,1
2451,3,0,3,0,0,1,0
2452,0,0,0,0,1,2,0
2453,2,0,2,0,0,0,0
2454,0,0,0,0,0,0,0
2455,3,1,3,0,0,0,1
2456,0,0,0,0,0,0,0
2457,0,1,0,0,0,3,0
2458,2,4,2,0,0,0,0
2459,0,0,0,0,0,2,0
2460,0,0,0,0,0,0,0
2461,0,1,0,0,0,1,0
2462,0,1,0,0,0,2,0
2463,0,0,0,0,0,0,0
2464,1,0,1,0,0,3,0
2465,1,0,1,0,0,1,0
2466,2,2,2,0,0,2,0
2467,9,0,7,2,2,8,1
2468,11,8,4,7,9,7,0
2469,0,0,0,0,0,1,1
2470,0,0,0,0,0,3,0
2471,0,0,0,0,0,1,0
2472,0,0,0,0,0,2,0
2473,9,6,9,0,0,5,0
2474,1,2,1,0,0,1,0
2475,0,9,0,0,0,2,0
2476,0,0,0,0,0,0,0
2477,8,3,6,2,2,7,0
2478,2,1,2,0,0,3,0
2479,0,0,0,0,0,0,0
2480,10,1,10,0,0,7,1
2481,0,0,0,0,0,0,0
2482,1,0,1,0,0,2,0
2483,1,0,1,0,0,4,0
2484,0,0,0,0,0,1,0
2485,0,1,0,0,0,3,0
2486,0,0,0,0,0,0,0
2487,1,1,1,0,0,5,0
2488,0,0,0,0,0,0,0
2489,0,2,0,0,0,6,0
2490,0,0,0,0,0,0,0
2491,1,0,1,0,0,2,0
2492,2,4,2,0,0,0,0
2493,0,0,0,0,0,0,0
2494,0,0,0,0,0,0,0
2495,0,1,0,0,0,4,0
2496,0,2,0,0,0,5,0
2497,0,0,0,0,0,0,0
2498,0,0,0,0,0,2,0
2499,5,4,5,0,0,3,0
2500,0,0,0,0,0,0,0
2501,0,1,0,0,0,3,1
2502,0,0,0,0,0,1,0
2503,0,0,0,0,0,2,0
2504,10,7,10,0,1,4,0
2505,0,1,0,0,0,6,0
2506,14,8,8,6,7,6,0
2507,3,0,3,0,0,3,0
2508,4,0,4,0,0,0,1
2509,0,0,0,0,0,1,0
2510,0,0,0,0,0,4,0
2511,0,4,0,0,0,7,0
2512,0,0,0,0,0,2,0
2513,1,0,1,0,0,3,0
2514,2,0,2,0,0,0,0
2515,0,0,0,0,0,5,0
2516,1,0,1,0,0,1,0
2517,1,0,1,0,0,13,1
2518,0,9,0,0,0,10,0
2519,21,3,18,3,3,6,0
2520,0,0,0,0,0,2,0
2521,1,0,1,0,0,1,0
2522,3,4,3,0,0,2,0
2523,0,0,0,0,0,0,0
2524,5,2,5,0,0,8,1
2525,0,0,0,0,0,0,0
2526,1,0,1,0,0,0,1
2527,0,0,0,0,0,1,0
2528,1,0,1,0,0,1,0
2529,0,1,0,0,0,0,0
2530,0,0,0,0,0,2,0
2531,5,3,5,0,1,2,0
2532,0,0,0,0,0,5,1
2533,1,0,1,0,0,3,0
2534,0,0,0,0,0,0,0
2535,1,3,1,0,0,6,0
2536,1,0,1,0,0,6,0
2537,0,0,0,0,0,2,0
2538,0,1,0,0,0,11,0
2539,1,0,1,0,0,5,0
2540,0,2,0,0,0,7,0
2541,1,0,1,0,0,6,0
2542,0,0,0,0,0,0,0
2543,0,1,0,0,0,0,0
2544,0,0,0,0,0,0,0
2545,0,0,0,0,0,0,0
2546,0,0,0,0,0,0,0
2547,0,0,0,0,0,0,0
2548,0,1,0,0,0,1,0
2549,0,0,0,0,0,1,0
2550,0,0,0,0,0,0,0
2551,0,0,0,0,0,0,0
2552,2,4,2,0,0,9,1
2553,0,0,0,0,0,1,0
2554,1,1,1,0,0,2,0
2555,0,2,0,0,0,0,0
2556,1,0,1,0,0,3,0
2557,5,3,5,0,0,2,1
2558,0,0,0,0,0,2,0
2559,0,0,0,0,0,0,0
2560,0,0,0,0,0,1,0
2561,0,0,0,0,0,0,0
2562,9,7,8,1,1,2,1
2563,1,1,1,0,0,9,1
2564,0,1,0,0,0,3,0
2565,0,0,0,0,0,0,0
2566,3,1,3,0,0,2,0
2567,8,8,8,0,2,5,0
2568,1,0,1,0,0,5,1
2569,2,3,2,0,0,0,0
2570,1,1,1,0,0,0,0
2571,0,0,0,0,0,0,0
2572,1,0,1,0,0,2,0
2573,4,0,4,0,0,5,1
2574,5,1,5,0,0,8,1
2575,0,2,0,0,0,0,0
2576,3,1,3,0,0,10,0
2577,8,3,8,0,0,3,1
2578,2,0,2,0,0,3,0
2579,0,0,0,0,0,0,0
2580,6,4,4,2,2,6,0
2581,1,3,1,0,0,4,0
2582,0,0,0,0,0,0,0
2583,0,0,0,0,0,1,0
2584,0,0,0,0,0,5,1
2585,1,0,1,0,0,5,0
2586,14,6,14,0,0,3,0
