Unnamed: 0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Vs Dribbles,Vs Dribbles.1,Vs Dribbles.2,Vs Dribbles.3,Pressures,Pressures.1,Pressures.2,Pressures.3,Pressures.4,Pressures.5,Blocks,Blocks.1,Blocks.2,Blocks.3,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Rk,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
475,44,29,24,11,9,13,39,33.3,26,509,168,33,192,205,112,37,4,0,33,31,75,23,0
476,9,7,2,5,2,2,21,9.5,19,125,34,27.2,34,66,25,6,1,0,5,9,18,4,0
477,28,21,13,10,5,4,22,18.2,18,444,131,29.5,82,182,180,38,1,0,37,18,46,22,1
478,15,11,1,8,6,3,12,25,9,210,59,28.1,16,76,118,6,1,0,5,10,25,11,0
479,40,33,19,12,9,13,49,26.5,36,281,75,26.7,121,100,60,29,7,1,22,24,64,21,0
480,25,14,18,7,0,3,11,27.3,8,239,69,28.9,104,119,16,23,6,0,17,33,58,94,0
481,5,2,2,3,0,2,3,66.7,1,39,12,30.8,25,13,1,8,5,0,3,3,8,17,0
482,80,37,33,36,11,35,74,47.3,39,439,138,31.4,164,213,62,63,8,0,55,33,113,70,0
483,27,11,7,15,5,7,36,19.4,29,395,109,27.6,101,211,83,26,3,0,23,15,42,11,0
484,108,55,66,31,11,29,58,50,29,485,161,33.2,225,185,75,86,15,0,71,66,174,174,1
485,27,17,15,10,2,9,21,42.9,12,142,48,33.8,81,52,9,29,14,0,15,23,50,80,1
486,7,5,0,6,1,1,5,20,4,52,13,25,4,21,27,7,4,0,3,3,10,6,0
487,21,14,16,4,1,7,19,36.8,12,111,36,32.4,83,25,3,20,6,0,14,29,50,54,0
488,52,36,28,22,2,18,35,51.4,17,234,94,40.2,128,100,6,33,12,1,21,24,76,100,1
489,1,0,1,0,0,0,1,0,1,15,2,13.3,4,6,5,3,0,0,3,1,2,0,0
490,39,28,27,9,3,14,36,38.9,22,205,66,32.2,108,78,19,32,8,2,24,20,59,56,0
491,18,13,6,8,4,5,21,23.8,16,145,51,35.2,43,45,57,12,0,0,12,12,30,2,0
492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
493,13,7,10,2,1,3,5,60,2,76,25,32.9,46,29,1,6,3,0,3,13,26,96,0
494,17,7,10,4,3,4,13,30.8,9,122,24,19.7,52,57,13,11,2,0,9,16,33,22,0
495,50,28,31,18,1,17,35,48.6,18,229,80,34.9,106,103,20,28,8,0,20,63,113,93,0
496,9,3,4,3,2,3,10,30,7,95,28,29.5,50,30,15,16,3,0,13,14,23,45,0
497,3,1,1,1,1,1,5,20,4,48,8,16.7,16,17,15,7,2,0,5,2,5,6,0
498,5,2,1,2,2,1,3,33.3,2,69,15,21.7,12,34,23,4,1,0,3,5,10,2,0
499,26,18,8,11,7,9,30,30,21,307,76,24.8,59,133,115,20,1,0,19,10,36,23,0
500,58,33,41,15,2,31,45,68.9,14,244,90,36.9,148,84,12,66,41,1,25,46,104,222,2
501,112,64,53,43,16,14,69,20.3,55,622,177,28.5,247,274,101,44,9,0,35,36,148,31,1
502,18,17,12,5,1,7,30,23.3,23,215,63,29.3,73,109,33,18,3,0,15,6,24,11,0
503,11,4,8,3,0,4,9,44.4,5,67,18,26.9,26,34,7,4,1,0,3,7,18,34,0
504,8,5,1,3,4,2,12,16.7,10,104,37,35.6,11,49,44,4,0,0,4,4,12,0,0
505,23,17,6,9,8,5,25,20,20,234,51,21.8,68,103,63,21,1,0,20,7,30,15,0
506,16,11,13,3,0,4,13,30.8,9,114,49,43,75,36,3,27,16,0,11,21,37,65,1
507,4,2,1,2,1,1,5,20,4,44,8,18.2,13,19,12,3,1,0,2,1,5,2,0
508,58,40,24,20,14,22,50,44,28,397,131,33,137,147,113,27,1,0,26,11,69,21,0
509,46,29,19,20,7,16,37,43.2,21,323,102,31.6,133,131,59,65,3,0,62,29,75,66,0
