Unnamed: 0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Vs Dribbles,Vs Dribbles.1,Vs Dribbles.2,Vs Dribbles.3,Pressures,Pressures.1,Pressures.2,Pressures.3,Pressures.4,Pressures.5,Blocks,Blocks.1,Blocks.2,Blocks.3,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Rk,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
683,8,6,4,2,2,4,14,28.6,10,171,50,29.2,15,84,72,18,0,0,18,10,18,13,0
684,2,1,0,1,1,1,4,25,3,22,3,13.6,3,12,7,4,0,0,4,1,3,0,0
685,0,0,0,0,0,0,3,0,3,64,16,25,4,23,37,1,1,0,0,0,0,7,0
686,5,2,2,1,2,1,3,33.3,2,47,8,17,6,27,14,3,0,0,3,1,6,5,0
687,85,57,53,24,8,38,78,48.7,40,437,141,32.3,199,153,85,65,13,0,52,39,124,65,0
688,33,22,8,13,12,16,50,32,34,320,92,28.8,52,113,155,25,1,0,24,7,40,5,0
689,0,0,0,0,0,0,0,0,0,1,1,100,1,0,0,1,1,0,0,0,0,0,0
690,2,2,2,0,0,1,6,16.7,5,64,10,15.6,17,28,19,4,0,0,4,1,3,1,0
691,28,17,8,9,11,4,22,18.2,18,413,104,25.2,59,160,194,18,3,0,15,16,44,31,0
692,1,1,0,1,0,0,0,0,0,2,0,0,0,1,1,2,0,0,2,0,1,0,0
693,13,7,6,5,2,2,16,12.5,14,283,73,25.8,40,130,113,16,0,0,16,19,32,10,0
694,8,4,3,2,3,1,4,25,3,138,40,29,13,44,81,7,1,0,6,2,10,17,0
695,21,15,14,7,0,10,14,71.4,4,157,54,34.4,94,57,6,51,26,0,25,10,31,135,1
696,23,15,13,8,2,8,14,57.1,6,126,41,32.5,56,59,11,23,8,0,15,17,40,46,2
697,3,3,1,2,0,0,0,0,0,50,14,28,13,21,16,2,1,0,1,3,6,3,0
698,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
699,12,10,5,5,2,3,14,21.4,11,264,72,27.3,29,120,115,16,3,0,13,13,25,14,1
700,1,0,0,0,1,1,1,100,0,19,6,31.6,2,7,10,1,0,0,1,0,1,5,0
701,30,25,14,14,2,9,23,39.1,14,242,82,33.9,81,144,17,14,1,0,13,16,46,16,0
702,9,8,1,6,2,2,7,28.6,5,85,24,28.2,22,51,12,4,0,0,4,3,12,3,0
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,35,19,22,5,8,14,36,38.9,22,309,67,21.7,142,96,71,30,2,0,28,14,49,5,1
705,1,1,1,0,0,0,9,0,9,48,10,20.8,13,21,14,7,1,0,6,0,1,0,0
706,38,19,15,14,9,13,54,24.1,41,402,98,24.4,111,160,131,39,1,0,38,31,69,33,0
707,6,2,2,3,1,1,6,16.7,5,64,11,17.2,16,24,24,6,0,0,6,4,10,2,0
708,31,21,17,12,2,6,23,26.1,17,181,67,37,92,70,19,45,25,0,20,22,53,119,0
709,5,2,1,2,2,1,2,50,1,72,20,27.8,6,34,32,7,1,0,6,1,6,3,0
710,14,12,5,9,0,4,12,33.3,8,195,42,21.5,50,127,18,11,2,0,9,9,23,11,0
711,22,20,10,9,3,5,16,31.3,11,277,76,27.4,53,129,95,12,1,0,11,6,28,2,0
712,19,16,12,5,2,10,20,50,10,112,30,26.8,62,41,9,25,10,1,15,15,34,48,0
713,15,7,3,8,4,2,9,22.2,7,177,55,31.1,30,61,86,11,0,0,11,6,21,9,0
714,24,15,13,10,1,12,22,54.5,10,166,48,28.9,106,52,8,50,34,0,16,23,47,169,0
715,6,5,5,1,0,2,4,50,2,53,17,32.1,30,20,3,13,7,0,6,12,18,24,1
716,78,40,53,14,11,29,50,58,21,413,107,25.9,196,141,76,59,4,0,55,26,104,96,0
717,3,1,1,2,0,0,1,0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1
718,30,17,21,6,3,13,22,59.1,9,227,74,32.6,101,86,40,28,2,0,26,20,50,36,0
719,8,5,2,2,4,3,6,50,3,123,34,27.6,26,58,39,7,0,0,7,6,14,2,0
720,40,25,22,16,2,10,29,34.5,19,275,88,32,113,116,46,43,10,0,33,42,82,77,1
721,0,0,0,0,0,0,1,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0
722,2,0,1,0,1,0,2,0,2,41,2,4.9,9,19,13,3,0,0,3,3,5,1,0
723,12,8,8,4,0,8,19,42.1,11,110,34,30.9,62,39,9,22,14,1,8,23,35,85,1
724,17,12,4,9,4,1,12,8.3,11,329,81,24.6,11,163,155,8,2,0,6,3,20,15,0
725,26,19,14,12,0,6,18,33.3,12,113,41,36.3,61,48,4,35,24,1,11,14,40,82,2
726,48,36,16,25,7,16,57,28.1,41,342,114,33.3,89,206,47,31,6,0,25,41,89,54,2
727,64,41,21,35,8,15,51,29.4,36,474,141,29.7,117,231,126,40,1,0,39,16,80,11,0
728,0,0,0,0,0,0,0,0,0,5,0,0,1,3,1,0,0,0,0,0,0,0,0
729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,29,23,15,13,1,15,35,42.9,20,171,75,43.9,85,79,7,30,13,0,17,27,56,102,1
732,27,17,17,8,2,17,25,68,8,111,38,34.2,59,40,12,21,4,0,17,11,38,34,0
733,62,37,32,27,3,22,34,64.7,12,275,102,37.1,131,128,16,39,13,2,26,54,116,205,1
734,46,22,25,11,10,18,53,34,35,332,95,28.6,122,124,86,27,1,0,26,11,57,16,0
735,47,22,33,10,4,7,20,35,13,275,77,28,160,95,20,49,22,1,27,28,75,84,0
736,65,44,53,11,1,24,49,49,25,307,102,33.2,182,109,16,42,14,0,28,80,145,168,2
737,41,26,24,14,3,16,36,44.4,20,308,122,39.6,135,139,34,49,19,1,30,48,89,116,0
738,1,1,1,0,0,0,3,0,3,7,0,0,7,0,0,0,0,0,0,0,1,1,1
739,63,44,24,30,9,17,55,30.9,38,649,202,31.1,173,292,184,56,4,0,52,26,89,12,0
740,11,8,5,4,2,5,12,41.7,7,103,28,27.2,22,46,35,13,1,0,12,9,20,6,0
741,23,8,10,8,5,11,34,32.4,23,186,38,20.4,80,70,36,41,5,0,36,18,41,54,0
742,51,38,15,22,14,16,37,43.2,21,439,136,31,86,186,167,19,2,0,17,12,63,6,0
743,7,6,1,4,2,1,14,7.1,13,264,69,26.1,17,92,155,21,3,0,18,4,11,22,1
744,13,8,7,3,3,2,6,33.3,4,81,15,18.5,23,33,25,6,0,0,6,4,17,2,0
745,0,0,0,0,0,0,2,0,2,4,1,25,4,0,0,1,0,0,1,0,0,3,1
746,6,4,5,1,0,3,5,60,2,43,9,20.9,33,10,0,7,4,0,3,7,13,29,0
747,52,35,30,18,4,11,28,39.3,17,350,92,26.3,147,153,50,31,7,0,24,25,77,21,0
748,0,0,0,0,0,0,0,0,0,2,2,100,2,0,0,0,0,0,0,0,0,0,0
749,2,0,1,0,1,1,1,100,0,11,4,36.4,3,4,4,0,0,0,0,0,2,0,0
750,1,0,0,1,0,0,1,0,1,16,2,12.5,3,7,6,0,0,0,0,0,1,0,0
751,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
752,28,17,22,5,1,9,17,52.9,8,151,55,36.4,95,49,7,41,23,0,18,23,51,106,2
753,4,4,2,2,0,1,4,25,3,89,31,34.8,4,45,40,7,1,0,6,2,6,8,0
754,38,28,21,15,2,13,30,43.3,17,237,86,36.3,94,118,25,20,0,0,20,22,60,27,1
755,56,42,30,19,7,17,45,37.8,28,544,158,29,228,219,97,43,9,0,34,35,91,29,1
756,89,59,44,41,4,23,65,35.4,42,471,170,36.1,173,238,60,38,5,0,33,55,144,42,0
757,10,1,5,5,0,0,3,0,3,64,9,14.1,34,25,5,4,0,0,4,4,14,16,0
758,1,0,1,0,0,0,0,0,0,14,3,21.4,1,9,4,0,0,0,0,1,2,0,0
759,6,4,2,1,3,3,4,75,1,43,8,18.6,8,26,9,3,1,0,2,2,8,2,0
760,17,10,5,10,2,5,14,35.7,9,117,39,33.3,44,66,7,8,3,0,5,9,26,11,0
761,6,3,2,3,1,1,15,6.7,14,125,28,22.4,36,62,27,14,3,0,11,16,22,3,0
762,57,34,33,21,3,16,37,43.2,21,267,85,31.8,114,102,51,46,5,0,41,40,97,59,1
763,17,10,6,8,3,6,12,50,6,123,49,39.8,46,61,16,22,6,0,16,15,32,49,0
764,0,0,0,0,0,0,0,0,0,8,2,25,8,0,0,0,0,0,0,0,0,0,1
765,3,3,0,0,3,0,5,0,5,47,13,27.7,9,19,19,4,0,0,4,1,4,0,0
766,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0
767,1,1,0,0,1,0,1,0,1,23,8,34.8,9,10,4,1,1,0,0,2,3,7,0
768,13,7,5,6,2,5,20,25,15,127,31,24.4,26,62,39,8,0,0,8,16,29,3,0
769,33,23,10,17,6,8,31,25.8,23,281,83,29.5,82,128,71,19,5,0,14,18,51,17,0
770,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
771,40,19,26,13,1,13,21,61.9,8,140,47,33.6,68,67,5,40,20,0,20,31,71,112,1
772,1,1,0,1,0,0,0,0,0,5,3,60,3,2,0,1,0,0,1,0,1,0,0
773,23,14,16,6,1,11,27,40.7,16,180,60,33.3,90,81,9,31,19,1,12,25,48,184,1
774,61,34,31,23,7,23,49,46.9,26,371,115,31,157,162,52,82,7,0,75,42,103,116,1
775,49,34,24,20,5,16,44,36.4,28,355,122,34.4,151,131,73,67,13,0,54,30,79,63,2
776,0,0,0,0,0,0,0,0,0,2,2,100,2,0,0,0,0,0,0,0,0,0,0
777,51,29,16,28,7,13,46,28.3,33,526,126,24,88,300,138,32,2,0,30,19,70,20,0
778,2,2,2,0,0,1,3,33.3,2,11,5,45.5,8,3,0,1,0,0,1,0,2,6,0
779,21,14,7,10,4,4,19,21.1,15,118,34,28.8,22,60,36,4,0,0,4,13,34,2,0
780,21,11,13,7,1,10,20,50,10,119,28,23.5,81,32,6,30,10,0,20,18,39,94,1
781,1,1,0,1,0,0,2,0,2,20,5,25,4,9,7,2,0,0,2,3,4,4,0
782,23,15,13,8,2,6,17,35.3,11,208,55,26.4,77,106,25,8,0,0,8,16,39,14,0
783,34,19,22,10,2,12,23,52.2,11,188,70,37.2,99,76,13,40,24,1,16,29,63,126,2
784,4,2,3,1,0,2,2,100,0,24,11,45.8,16,7,1,7,4,0,3,3,7,19,0
785,21,16,7,12,2,7,27,25.9,20,227,79,34.8,76,89,62,32,6,0,26,23,44,25,0
786,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,1,0,0,1,0,0,0,0
787,41,24,26,15,0,14,32,43.8,18,220,78,35.5,132,75,13,34,17,0,17,18,59,99,1
788,15,11,3,7,5,2,12,16.7,10,205,57,27.8,26,84,95,16,0,0,16,3,18,1,0
789,7,7,2,2,3,3,11,27.3,8,190,55,28.9,7,83,100,15,5,0,10,4,11,11,0
790,42,32,17,20,5,14,49,28.6,35,423,96,22.7,99,216,108,24,3,0,21,17,59,11,0
791,1,1,0,0,1,0,2,0,2,16,7,43.8,7,5,4,1,0,0,1,1,2,1,0
792,6,3,4,2,0,4,7,57.1,3,39,14,35.9,26,10,3,6,2,0,4,1,7,12,0
793,62,45,49,13,0,30,43,69.8,13,226,87,38.5,153,67,6,59,38,1,21,82,144,209,2
794,3,0,2,1,0,3,4,75,1,10,3,30,6,4,0,0,0,0,0,0,3,1,0
795,0,0,0,0,0,0,1,0,1,5,1,20,5,0,0,0,0,0,0,0,0,2,1
796,3,0,1,1,1,0,1,0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0
797,47,30,34,12,1,17,34,50,17,248,82,33.1,155,88,5,55,32,1,23,41,88,160,1
798,0,0,0,0,0,0,1,0,1,15,5,33.3,3,5,7,0,0,0,0,0,0,2,0
799,60,44,21,30,9,14,44,31.8,30,513,165,32.2,188,247,78,58,4,0,54,43,103,47,0
800,0,0,0,0,0,0,0,0,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0
801,36,21,24,10,2,14,26,53.8,12,192,60,31.3,81,84,27,24,4,0,20,17,53,48,1
802,62,49,20,35,7,20,65,30.8,45,585,177,30.3,183,320,82,53,13,0,40,34,96,44,0
803,1,1,0,0,1,1,2,50,1,22,9,40.9,2,7,13,0,0,0,0,0,1,0,0
804,4,1,3,1,0,3,6,50,3,49,11,22.4,18,22,9,2,1,0,1,1,5,1,0
805,37,24,14,14,9,14,34,41.2,20,377,88,23.3,94,173,110,40,1,0,39,22,59,20,0
806,15,9,5,6,4,7,17,41.2,10,140,38,27.1,31,66,43,13,1,0,12,5,20,4,0
807,18,13,10,4,4,6,10,60,4,74,28,37.8,39,26,9,15,4,0,11,27,45,32,0
808,16,11,9,7,0,5,19,26.3,14,197,57,28.9,71,91,35,18,4,0,14,20,36,24,1
809,31,17,21,7,3,15,25,60,10,152,53,34.9,81,64,7,18,5,0,13,8,39,124,0
810,61,33,42,18,1,27,42,64.3,15,224,90,40.2,137,83,4,58,23,0,35,64,125,174,0
811,7,3,5,2,0,3,4,75,1,28,14,50,12,15,1,5,1,0,4,2,9,33,1
812,4,2,3,1,0,2,5,40,3,88,23,26.1,12,35,41,4,0,0,4,2,6,5,0
813,22,14,4,15,3,4,6,66.7,2,283,66,23.3,19,154,110,15,1,0,14,6,28,6,0
814,96,60,65,24,7,43,82,52.4,39,535,161,30.1,260,192,83,63,7,0,56,67,163,116,1
815,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
816,3,2,1,2,0,1,1,100,0,68,20,29.4,6,27,35,5,1,0,4,1,4,1,0
817,2,1,2,0,0,1,2,50,1,15,6,40,8,6,1,2,1,0,1,5,7,5,2
818,25,17,3,12,10,5,22,22.7,17,396,88,22.2,33,174,189,18,1,0,17,8,33,21,0
819,8,4,2,4,2,2,10,20,8,98,26,26.5,29,47,22,12,2,0,10,9,17,6,0
820,89,62,36,42,11,31,77,40.3,46,640,232,36.3,236,326,78,64,12,0,52,47,136,73,1
821,22,15,6,7,9,7,21,33.3,14,321,105,32.7,27,153,141,15,0,0,15,11,33,8,0
822,12,8,8,2,2,5,21,23.8,16,177,51,28.8,52,77,48,22,2,0,20,10,22,14,1
823,26,18,18,8,0,13,19,68.4,6,219,83,37.9,118,93,8,28,15,0,13,30,56,105,4
824,0,0,0,0,0,0,1,0,1,3,3,100,0,1,2,1,0,0,1,0,0,0,0
825,28,19,11,15,2,9,30,30,21,170,62,36.5,71,86,13,12,2,0,10,9,37,23,0
826,0,0,0,0,0,0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,2,0
827,16,13,9,1,6,4,12,33.3,8,141,31,22,43,66,32,11,0,0,11,8,24,4,0
828,12,8,5,6,1,5,9,55.6,4,88,24,27.3,28,39,21,9,2,0,7,7,19,13,0
829,92,58,66,25,1,44,92,47.8,48,525,140,26.7,310,174,41,71,7,1,64,46,138,86,0
830,7,6,4,2,1,1,4,25,3,46,21,45.7,23,18,5,9,3,0,6,5,12,6,0
831,17,13,6,8,3,4,34,11.8,30,315,84,26.7,78,163,74,25,5,0,20,32,49,29,0
832,37,24,19,14,4,12,18,66.7,6,175,70,40,80,65,30,21,2,0,19,29,66,23,2
833,2,1,0,2,0,1,3,33.3,2,21,5,23.8,9,10,2,3,0,0,3,2,4,0,0
834,12,6,7,5,0,5,14,35.7,9,77,29,37.7,46,25,6,11,3,0,8,10,22,77,1
835,21,12,17,3,1,10,21,47.6,11,168,66,39.3,112,53,3,27,6,0,21,41,62,146,0
836,43,27,15,25,3,18,60,30,42,444,150,33.8,105,247,92,40,4,0,36,32,75,23,1
837,18,10,7,10,1,6,14,42.9,8,162,33,20.4,56,78,28,13,0,0,13,9,27,5,0
838,39,23,19,14,6,15,37,40.5,22,320,92,28.8,89,163,68,32,3,0,29,29,68,6,0
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,11,2,18.2,11,0,0,3,0,0,3,0,0,1,1
841,72,51,25,40,7,25,56,44.6,31,351,115,32.8,120,200,31,41,12,0,29,49,121,106,0
842,74,39,44,27,3,30,59,50.8,29,322,102,31.7,162,127,33,48,9,1,39,21,95,66,0
843,22,14,9,10,3,9,32,28.1,23,158,44,27.8,32,90,36,12,2,0,10,3,25,6,0
844,1,1,1,0,0,0,0,0,0,17,7,41.2,2,8,7,0,0,0,0,1,2,0,0
845,0,0,0,0,0,0,1,0,1,8,4,50,1,5,2,0,0,0,0,1,1,0,0
846,49,32,39,10,0,17,42,40.5,25,228,87,38.2,154,69,5,51,31,1,20,53,102,183,4
847,0,0,0,0,0,0,0,0,0,5,2,40,1,3,1,1,0,0,1,0,0,0,0
848,0,0,0,0,0,0,1,0,1,4,1,25,4,0,0,0,0,0,0,0,0,0,0
849,67,47,25,32,10,18,52,34.6,34,520,173,33.3,176,220,124,43,0,0,43,33,100,17,0
850,43,21,26,14,3,10,29,34.5,19,280,81,28.9,147,115,18,45,16,1,29,24,67,148,0
851,4,2,2,1,1,1,5,20,4,39,15,38.5,12,15,12,3,1,0,2,3,7,2,0
852,5,3,3,1,1,1,3,33.3,2,74,12,16.2,27,34,13,5,1,0,4,1,6,8,0
853,0,0,0,0,0,0,2,0,2,6,2,33.3,2,2,2,1,0,0,1,0,0,0,0
854,11,3,5,6,0,6,18,33.3,12,73,15,20.5,34,25,14,6,2,0,4,9,20,18,0
855,71,37,44,20,7,29,69,42,40,393,103,26.2,180,134,79,78,17,0,61,56,127,93,1
856,18,9,8,7,3,7,20,35,13,175,35,20,56,77,42,31,1,0,30,13,31,14,0
857,12,8,5,2,5,3,19,15.8,16,199,47,23.6,45,86,68,17,0,0,17,13,25,3,0
858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,0,0,0,0,0,0,0,0,0,5,0,0,1,3,1,0,0,0,0,1,1,0,0
860,8,3,2,3,3,2,5,40,3,80,18,22.5,18,29,33,8,0,0,8,1,9,1,0
861,23,15,12,9,2,12,25,48,13,132,37,28,60,54,18,20,5,0,15,8,31,20,0
862,3,3,0,1,2,1,2,50,1,40,14,35,1,14,25,3,1,0,2,0,3,3,0
863,5,4,3,2,0,1,2,50,1,39,14,35.9,18,17,4,9,4,1,5,5,10,32,0
864,45,36,12,16,17,7,28,25,21,604,170,28.1,65,338,201,31,1,0,30,12,57,3,0
865,38,23,27,11,0,16,23,69.6,7,184,54,29.3,104,69,11,38,17,0,21,43,81,159,0
866,37,26,29,7,1,16,27,59.3,11,122,45,36.9,67,49,6,22,10,0,12,21,58,27,1
867,40,24,26,11,3,16,32,50,16,275,112,40.7,153,100,22,68,27,0,41,36,76,219,3
868,9,6,2,6,1,4,13,30.8,9,182,59,32.4,15,98,69,7,0,0,7,9,18,3,0
869,37,19,19,11,7,18,50,36,32,377,99,26.3,101,159,117,45,1,0,44,34,71,35,0
870,60,39,21,25,14,18,90,20,72,718,179,24.9,117,344,257,40,1,0,39,22,82,27,0
871,9,5,4,5,0,3,10,30,7,114,35,30.7,38,55,21,19,6,0,13,23,32,26,0
872,0,0,0,0,0,0,0,0,0,6,1,16.7,6,0,0,1,0,0,1,0,0,4,0
873,25,15,9,13,3,9,32,28.1,23,328,69,21,119,166,43,23,1,0,22,21,46,24,0
874,0,0,0,0,0,0,2,0,2,5,3,60,3,2,0,0,0,0,0,0,0,1,0
875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
876,11,6,2,9,0,6,17,35.3,11,120,32,26.7,49,56,15,5,1,0,4,11,22,8,0
877,1,0,1,0,0,0,2,0,2,17,1,5.9,2,4,11,3,1,0,2,1,2,0,0
878,2,1,0,2,0,1,7,14.3,6,111,25,22.5,13,61,37,8,2,0,6,3,5,6,0
879,35,17,26,7,2,14,25,56,11,183,51,27.9,129,47,7,51,32,0,19,17,52,166,1
880,29,18,20,9,0,7,22,31.8,15,181,63,34.8,104,65,12,40,15,0,25,33,62,151,1
881,31,22,6,17,8,12,38,31.6,26,223,74,33.2,47,142,34,15,1,0,14,26,57,32,0
882,68,52,33,29,6,30,56,53.6,26,365,131,35.9,156,164,45,45,9,0,36,40,108,78,0
883,32,23,20,11,1,11,24,45.8,13,147,68,46.3,74,61,12,17,7,0,10,17,49,34,0
884,30,14,15,9,6,6,44,13.6,38,491,107,21.8,121,244,126,44,1,0,43,18,48,11,0
885,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
886,2,2,0,2,0,1,1,100,0,67,12,17.9,9,38,20,4,0,0,4,0,2,2,0
887,82,61,50,28,4,31,105,29.5,74,578,204,35.3,239,278,61,37,6,1,31,17,99,22,0
888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,48,30,31,11,6,25,82,30.5,57,408,109,26.7,177,163,68,42,4,0,38,13,61,23,0
890,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0
891,3,1,0,2,1,1,3,33.3,2,84,31,36.9,16,38,30,9,2,0,7,1,4,4,0
892,35,22,4,14,17,12,38,31.6,26,598,175,29.3,73,281,244,58,5,0,53,10,45,11,0
893,2,2,1,1,0,0,1,0,1,32,12,37.5,17,11,4,5,3,0,2,4,6,6,0
894,46,27,26,16,4,16,69,23.2,53,506,128,25.3,178,247,81,37,5,0,32,38,84,18,1
895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,9,7,3,6,0,4,13,30.8,9,109,36,33,65,42,2,7,2,0,5,6,15,11,0
897,0,0,0,0,0,0,2,0,2,13,3,23.1,5,7,1,0,0,0,0,0,0,2,0
898,29,19,13,11,5,14,41,34.1,27,169,54,32,53,69,47,16,1,0,15,16,45,27,0
899,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
900,26,16,10,11,5,10,21,47.6,11,307,88,28.7,51,117,139,15,1,0,14,12,38,12,0
901,31,14,20,11,0,10,34,29.4,24,173,48,27.7,103,67,3,20,3,0,17,15,46,41,0
902,22,11,6,13,3,8,35,22.9,27,347,112,32.3,110,171,66,37,5,0,32,32,54,21,0
903,63,41,38,24,1,18,34,52.9,16,248,83,33.5,139,101,8,47,21,0,26,51,114,125,0
904,6,5,5,1,0,3,4,75,1,27,13,48.1,20,5,2,8,3,0,5,4,10,18,0
905,96,80,35,51,10,19,70,27.1,51,592,229,38.7,174,348,70,57,8,0,49,43,139,27,1
906,83,46,51,22,10,25,56,44.6,31,438,133,30.4,243,134,61,67,6,0,61,57,140,94,1
907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,71,49,33,30,8,21,68,30.9,47,652,187,28.7,196,345,111,59,21,0,38,42,113,40,2
909,5,2,4,1,0,1,4,25,3,35,11,31.4,27,8,0,4,2,0,2,1,6,19,0
910,14,7,10,4,0,3,11,27.3,8,97,24,24.7,42,49,6,11,3,0,8,9,23,45,0
911,49,27,36,9,4,28,38,73.7,10,194,70,36.1,121,58,15,61,31,0,30,34,83,179,1
912,12,9,6,4,2,2,4,50,2,117,39,33.3,18,45,54,7,0,0,7,1,13,2,0
913,44,29,16,21,7,7,82,8.5,75,577,120,20.8,177,273,127,53,1,0,52,33,77,9,1
914,14,8,1,7,6,3,24,12.5,21,327,98,30,32,140,155,15,1,0,14,7,21,3,0
915,0,0,0,0,0,0,1,0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,4,0
916,30,22,12,15,3,7,24,29.2,17,290,78,26.9,66,126,98,23,2,0,21,16,46,6,0
917,38,20,18,19,1,14,21,66.7,7,175,56,32,101,65,9,20,8,1,12,28,66,87,0
918,0,0,0,0,0,0,0,0,0,8,1,12.5,0,4,4,0,0,0,0,0,0,0,0
919,3,1,2,1,0,1,1,100,0,7,2,28.6,3,4,0,1,0,0,1,1,4,1,0
920,9,5,5,3,1,4,6,66.7,2,38,17,44.7,14,19,5,13,1,0,12,6,15,6,0
921,23,8,18,5,0,12,27,44.4,15,137,39,28.5,84,43,10,27,3,0,24,7,30,30,0
922,44,28,26,14,4,18,32,56.3,14,330,98,29.7,150,140,40,50,6,0,44,32,76,81,1
923,42,26,25,11,6,9,31,29,22,198,65,32.8,81,101,16,35,8,1,27,19,61,31,1
924,7,6,4,2,1,2,12,16.7,10,98,26,26.5,38,36,24,15,2,0,13,12,19,17,0
925,41,16,22,12,7,15,30,50,15,208,54,26,106,73,29,63,6,0,57,27,68,64,1
926,0,0,0,0,0,0,0,0,0,2,1,50,2,0,0,1,0,0,1,0,0,0,0
927,4,1,3,1,0,0,2,0,2,114,19,16.7,18,51,45,8,0,0,8,3,7,3,0
928,88,55,37,41,10,30,87,34.5,57,639,200,31.3,228,300,111,62,9,0,53,47,135,33,0
929,13,6,7,6,0,6,13,46.2,7,65,13,20,38,14,13,16,2,0,14,8,21,22,0
930,74,56,23,38,13,22,71,31,49,639,188,29.4,150,326,163,52,4,0,48,50,124,39,0
931,67,43,40,24,3,30,63,47.6,33,344,99,28.8,201,125,18,67,19,0,48,62,129,145,1
932,61,39,38,23,0,21,43,48.8,22,383,153,39.9,204,147,32,68,21,0,47,44,105,135,0
933,7,3,4,3,0,3,7,42.9,4,82,28,34.1,24,29,29,8,0,0,8,3,10,9,0
934,51,31,16,25,10,13,50,26,37,470,125,26.6,121,195,154,36,3,0,33,24,75,21,1
935,15,9,13,1,1,5,14,35.7,9,87,23,26.4,53,27,7,16,4,1,12,12,27,31,0
936,28,14,6,16,6,11,42,26.2,31,351,94,26.8,55,208,88,21,3,0,18,15,43,8,0
937,8,5,1,6,1,3,18,16.7,15,196,47,24,14,94,88,15,6,0,9,4,12,11,0
938,11,3,6,5,0,4,6,66.7,2,56,16,28.6,34,20,2,10,6,0,4,14,25,52,0
939,49,17,29,15,5,19,41,46.3,22,289,82,28.4,131,105,53,80,16,1,64,27,76,120,1
940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,4,3,0,4,0,0,6,0,6,44,17,38.6,18,25,1,8,1,0,7,0,4,0,1
942,6,4,1,5,0,0,1,0,1,62,21,33.9,26,33,3,12,8,0,4,5,11,26,0
943,3,3,0,2,1,1,5,20,4,111,28,25.2,11,42,58,3,1,0,2,3,6,6,0
944,18,9,7,10,1,7,21,33.3,14,150,51,34,50,62,38,21,1,0,20,17,35,16,0
945,29,17,13,11,5,8,32,25,24,236,63,26.7,92,104,40,19,3,0,16,15,44,16,0
946,58,29,40,13,5,21,38,55.3,17,246,78,31.7,153,70,23,46,8,0,38,30,88,61,0
947,10,3,2,7,1,0,9,0,9,203,40,19.7,15,114,74,8,0,0,8,5,15,4,0
948,1,1,1,0,0,1,1,100,0,58,16,27.6,2,30,26,2,0,0,2,0,1,4,0
949,109,74,57,47,5,42,83,50.6,41,556,187,33.6,256,242,58,69,4,0,65,28,137,56,0
950,82,53,31,40,11,22,97,22.7,75,710,180,25.4,233,345,132,63,8,0,55,39,121,30,1
951,9,6,4,2,3,0,10,0,10,175,46,26.3,17,76,82,8,0,0,8,1,10,7,0
952,7,6,4,1,2,3,10,30,7,184,45,24.5,32,79,73,12,1,0,11,0,7,1,0
