Unnamed: 0,Unnamed: 9,Pass Types,Pass Types.1,Pass Types.2,Pass Types.3,Pass Types.4,Pass Types.5,Pass Types.6,Pass Types.7,Corner Kicks,Corner Kicks.1,Corner Kicks.2,Height,Height.1,Height.2,Body Parts,Body Parts.1,Body Parts.2,Body Parts.3,Body Parts.4,Outcomes,Outcomes.1,Outcomes.2,Outcomes.3,Outcomes.4
Rk,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
2409,12,12,0,0,0,1,0,0,0,0,0,0,10,0,2,4,8,0,0,0,9,0,0,0,1
2410,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
2411,1826,1503,323,79,7,149,49,40,33,18,13,0,1271,229,326,211,1344,44,211,3,1522,5,24,40,28
2412,510,496,14,13,0,60,14,0,0,0,0,0,399,32,79,93,388,16,0,4,462,0,5,2,4
2413,168,159,9,1,0,32,6,8,0,0,0,0,106,30,32,29,108,14,0,6,110,3,5,6,8
2414,21,20,1,0,0,2,0,0,0,0,0,0,18,2,1,15,4,1,1,0,20,0,0,0,0
2415,947,822,125,37,3,154,35,31,58,32,20,5,682,104,161,183,729,24,3,1,749,5,8,20,25
2416,22,22,0,0,0,5,0,0,0,0,0,0,15,2,5,18,4,0,0,0,17,0,0,0,0
2417,22,19,3,1,0,4,0,1,1,0,0,1,13,5,4,18,4,0,0,0,15,0,0,0,3
2418,959,908,51,46,0,130,57,9,3,0,1,0,687,110,162,185,724,36,2,6,839,1,5,19,10
2419,788,716,72,3,1,270,8,18,0,0,0,0,520,159,109,89,559,51,10,24,584,4,7,28,32
2420,1427,1359,68,14,1,193,26,27,22,2,5,2,1131,154,142,1271,96,26,24,3,1280,5,11,16,28
2421,1500,1209,291,25,2,163,20,66,3,2,0,0,927,256,317,1049,139,33,263,2,1186,2,17,39,41
2422,872,838,34,23,9,100,24,12,6,4,2,0,634,117,121,724,103,29,3,2,728,11,11,23,25
2423,305,283,22,0,0,87,3,6,0,0,0,0,192,69,44,19,242,18,1,6,227,0,7,16,11
2424,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2425,229,183,46,5,0,18,5,7,0,0,0,0,132,39,58,139,37,7,41,2,191,0,3,1,7
2426,325,305,20,17,0,37,13,1,0,0,0,0,244,38,43,255,59,5,3,0,282,0,10,5,3
2427,1075,679,396,130,0,65,20,0,0,0,0,0,283,17,775,717,181,1,0,68,591,6,43,7,3
2428,1871,1828,43,39,3,112,47,1,0,0,0,0,1531,147,193,200,1577,66,4,7,1749,5,13,12,8
2429,1002,652,350,75,0,56,4,0,0,0,0,0,223,23,756,58,787,0,0,79,447,2,27,7,4
2430,852,785,67,21,3,87,50,10,0,0,0,0,592,104,156,55,713,24,46,3,705,1,12,12,12
2431,343,302,41,0,0,75,2,9,0,0,0,0,243,62,38,27,266,24,0,9,253,1,5,9,15
2432,731,655,76,16,2,133,29,80,46,30,13,1,437,125,169,149,510,40,12,3,474,4,15,28,46
2433,1063,694,369,104,0,41,29,0,0,0,0,0,470,53,540,75,746,1,0,201,750,0,32,7,1
2434,8,8,0,0,0,1,1,0,0,0,0,0,7,0,1,0,8,0,0,0,6,0,0,0,1
2435,15,14,1,0,0,6,1,0,1,0,0,0,10,2,3,13,2,0,0,0,11,0,2,1,1
2436,959,773,186,16,1,143,25,60,0,0,0,0,534,225,200,71,645,46,170,1,736,0,13,18,34
2437,1290,1111,179,9,4,157,17,19,1,0,1,0,878,213,199,867,205,37,169,4,1058,2,21,27,39
2438,1830,1738,92,77,0,228,37,12,1,1,0,0,1287,142,401,1464,189,96,6,6,1515,8,47,20,8
2439,147,88,59,13,0,14,5,0,0,0,0,0,60,4,83,9,115,0,0,12,96,3,4,1,0
2440,1012,624,388,118,0,53,11,0,0,0,0,0,462,36,514,80,772,0,1,106,708,1,14,5,4
2441,44,44,0,0,0,4,1,0,0,0,0,0,41,1,2,3,40,1,0,0,41,0,1,1,0
2442,1162,1144,18,12,2,193,43,22,1,0,0,0,809,145,208,179,887,47,5,8,941,3,18,20,32
2443,792,745,47,10,1,86,19,10,0,0,0,0,580,96,116,67,629,42,37,5,666,0,7,19,13
2444,280,216,64,9,0,38,14,6,0,0,0,0,151,59,70,28,182,6,55,3,208,0,7,7,10
2445,22,14,8,1,0,0,0,0,0,0,0,0,6,0,16,0,19,0,0,1,10,0,0,0,1
2446,35,33,2,0,0,7,0,0,0,0,0,0,24,8,3,20,10,4,0,0,24,0,0,1,4
2447,1514,1432,82,75,4,238,38,4,0,0,0,0,1082,189,243,168,1232,69,6,7,1318,3,17,26,16
2448,966,683,283,55,0,41,28,0,0,0,0,0,592,52,322,112,663,0,0,163,749,4,17,8,6
2449,555,520,35,5,0,71,18,39,25,17,1,3,393,69,93,351,167,22,5,3,419,2,10,18,19
2450,518,449,69,13,1,87,34,39,30,16,7,0,301,85,132,401,49,24,26,8,360,2,22,10,28
2451,2193,2115,78,58,0,174,28,3,0,0,0,0,1868,167,158,276,1792,76,19,9,2027,2,14,39,16
2452,127,116,11,0,0,19,3,8,0,0,0,0,66,26,35,12,95,5,11,2,76,1,4,4,12
2453,72,67,5,0,0,20,2,2,0,0,0,0,31,25,16,29,15,10,0,4,41,0,0,2,4
2454,11,10,1,0,0,4,0,1,0,0,0,0,5,5,1,1,8,0,0,0,8,0,0,0,0
2455,245,233,12,1,1,49,2,7,0,0,0,0,172,49,24,42,171,15,3,5,182,0,5,15,13
2456,78,78,0,0,0,18,5,2,0,0,0,0,52,10,16,15,58,2,0,1,64,0,2,0,2
2457,664,641,23,20,0,44,13,0,0,0,0,0,531,59,74,45,561,39,1,1,613,0,5,3,3
2458,724,711,13,5,1,103,5,19,0,0,0,0,631,58,35,148,547,18,4,1,635,1,1,12,22
2459,133,132,1,0,0,28,1,5,0,0,0,0,85,19,29,100,17,8,0,2,105,1,1,3,0
2460,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0
2461,463,377,86,16,0,54,9,29,0,0,0,0,278,96,89,53,312,19,70,3,351,1,12,14,19
2462,702,520,182,14,0,72,20,44,1,0,1,0,260,197,245,462,28,36,167,3,490,4,20,16,24
2463,23,23,0,0,0,7,1,1,0,0,0,0,19,3,1,3,20,0,0,0,17,0,0,3,2
2464,257,250,7,1,1,70,5,7,0,0,0,0,175,43,39,30,187,21,1,4,187,2,6,11,6
2465,432,421,11,5,1,64,14,2,4,1,1,1,324,49,59,91,312,22,0,0,370,0,4,14,5
2466,202,197,5,0,0,34,8,17,3,0,3,0,126,32,44,5,180,6,2,1,145,1,7,5,8
2467,347,311,36,1,0,80,6,16,0,0,0,0,191,87,69,33,252,29,1,10,216,8,8,17,27
2468,1577,1372,205,90,4,177,85,26,111,43,34,6,1092,133,352,151,1368,31,4,11,1286,14,21,23,23
2469,1239,968,271,60,0,113,32,0,0,0,0,0,800,59,380,283,797,0,0,125,1010,5,11,6,2
2470,637,499,138,12,1,83,23,42,5,2,2,0,331,179,127,63,425,19,121,3,485,0,9,17,28
2471,406,339,67,5,0,32,6,14,0,0,0,0,278,71,57,19,315,7,62,0,323,0,10,10,12
2472,856,510,346,151,0,25,17,0,0,0,0,0,97,15,744,21,626,0,0,14,401,5,32,6,2
2473,1518,1490,28,11,11,227,23,28,2,1,0,1,1104,245,169,313,1077,76,8,14,1232,8,14,45,52
2474,129,121,8,4,0,27,4,5,3,0,3,0,84,18,27,99,17,8,1,0,94,0,5,3,6
2475,1289,1038,251,27,0,143,54,146,43,12,17,6,716,223,350,996,74,28,181,2,908,4,34,53,43
2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2477,920,877,43,2,5,229,41,45,3,2,0,0,557,171,192,48,708,76,7,8,654,9,21,29,44
2478,390,375,15,3,1,63,13,30,11,3,5,1,292,46,52,70,310,3,1,3,292,1,8,10,19
2479,3,3,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,0,0,0,2,0,0,1,0
2480,1539,1512,27,22,1,375,39,10,3,1,2,0,928,229,382,152,1066,151,1,12,1184,1,31,33,24
2481,8,8,0,0,0,0,1,0,0,0,0,0,6,0,2,0,7,1,0,0,7,0,1,0,0
2482,115,111,4,0,0,26,3,2,0,0,0,0,85,18,12,11,93,3,3,1,101,1,5,1,2
2483,897,826,71,66,0,88,13,0,0,0,0,0,731,82,84,80,727,51,5,3,821,1,9,9,8
2484,121,119,2,2,0,4,5,0,0,0,0,0,111,3,7,16,98,3,0,1,116,0,0,0,0
2485,1575,1547,28,24,3,190,51,2,0,0,0,0,1266,126,183,277,1216,49,4,8,1368,1,15,45,10
2486,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2487,648,490,158,8,0,63,13,34,0,0,0,0,319,161,168,45,416,30,150,0,486,4,10,21,30
2488,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
2489,1215,1197,18,12,2,200,17,4,0,0,0,0,992,96,127,219,923,41,5,7,1075,3,14,36,9
2490,561,550,11,9,0,68,15,0,0,0,0,0,408,49,104,74,446,23,2,0,483,2,11,9,8
2491,1351,1293,58,27,0,93,34,8,0,0,0,0,1064,104,183,413,816,60,31,5,1202,0,20,18,8
2492,1283,1130,153,11,5,151,40,92,1,0,1,0,829,223,231,322,787,28,141,1,1014,2,14,31,53
2493,375,293,82,26,0,30,6,0,0,0,0,0,240,26,109,13,289,0,0,69,314,0,5,5,0
2494,5,5,0,0,0,3,0,0,0,0,0,0,5,0,0,1,4,0,0,0,5,0,0,0,0
2495,1342,1227,115,63,0,159,47,11,1,1,0,0,934,151,257,94,1093,72,51,2,1094,4,9,25,25
2496,1035,965,70,35,1,147,34,7,0,0,0,0,617,115,303,252,671,55,35,0,775,10,24,37,22
2497,61,57,4,0,0,9,1,0,0,0,0,0,52,2,7,13,41,1,4,0,55,0,0,2,1
2498,1520,1471,49,40,0,173,42,5,0,0,0,0,1150,125,245,83,1312,78,8,4,1290,2,25,19,16
2499,661,628,33,6,1,120,17,36,2,0,2,0,410,132,119,500,86,31,20,6,481,5,12,17,31
2500,28,20,8,0,0,6,0,0,0,0,0,0,20,2,6,3,21,0,0,4,23,0,0,0,0
2501,1115,950,165,33,0,61,46,8,0,0,0,0,751,168,196,92,832,49,132,3,958,2,16,12,19
2502,124,123,1,1,0,22,1,0,0,0,0,0,83,23,18,10,100,9,0,0,103,0,1,2,1
2503,1016,959,57,20,3,146,18,0,0,0,0,0,741,66,209,85,832,51,37,0,845,1,13,19,10
2504,1127,1106,21,5,3,223,11,34,3,1,0,0,993,69,65,104,988,19,8,5,962,1,9,31,48
2505,1427,1222,205,9,5,185,26,55,0,0,0,0,855,271,301,1076,75,57,196,0,1106,13,26,32,38
2506,1049,995,54,13,7,191,23,8,24,2,14,3,775,150,124,207,787,28,2,2,860,6,10,36,19
2507,393,331,62,30,0,48,14,16,19,10,4,3,228,60,105,310,53,13,13,1,273,3,6,13,6
2508,1713,1689,24,15,1,154,34,1,0,0,0,0,1499,92,122,216,1419,43,8,3,1615,0,14,9,10
2509,344,277,67,9,0,37,4,0,0,0,0,0,216,23,105,18,269,0,0,49,287,0,3,2,0
2510,834,815,19,15,3,187,30,7,0,0,0,0,507,149,178,79,674,54,0,2,677,3,11,22,22
2511,180,175,5,3,2,21,10,4,0,0,0,0,132,24,24,147,19,7,2,2,152,0,1,2,3
2512,854,801,53,24,5,141,9,15,17,5,7,0,608,95,151,698,102,32,11,2,691,6,8,16,23
2513,1259,1220,39,34,0,103,38,1,2,0,0,2,956,104,199,943,215,70,3,3,1097,1,24,18,11
2514,1343,1138,205,19,0,152,23,53,0,0,0,0,794,277,272,132,970,45,186,2,1056,5,21,41,34
2515,183,173,10,5,0,36,9,4,0,0,0,0,117,34,32,24,137,10,5,0,137,0,1,7,8
2516,245,212,33,13,0,43,14,7,14,5,6,1,149,42,54,41,181,14,2,1,173,0,5,3,10
2517,1293,906,387,75,1,101,65,63,5,0,4,0,459,336,498,70,808,81,307,5,855,8,25,51,40
2518,2015,1811,204,83,9,250,78,39,71,19,41,4,1541,206,268,288,1661,36,12,7,1627,5,34,47,47
2519,603,575,28,0,4,138,20,15,0,0,0,0,341,157,105,121,410,33,2,17,444,2,11,25,24
2520,138,130,8,7,0,26,3,1,0,0,0,0,108,7,23,45,84,4,1,0,120,0,1,1,1
2521,1312,1228,84,18,0,106,37,8,1,0,0,0,1025,135,152,256,926,49,65,0,1194,1,13,13,11
2522,1218,1151,67,22,1,192,75,82,29,11,1,3,849,137,232,1066,117,15,13,2,991,3,34,34,39
2523,155,147,8,2,0,19,1,2,0,0,0,0,126,17,12,22,116,5,6,0,130,0,1,3,5
2524,655,640,15,8,3,113,11,3,0,0,0,0,469,92,94,71,537,34,0,4,526,3,9,20,22
2525,6,2,4,1,0,0,0,0,0,0,0,0,1,2,3,1,2,0,3,0,3,0,1,0,0
2526,685,542,143,10,0,61,11,36,5,2,0,0,370,165,150,439,74,22,128,6,531,0,13,19,32
2527,38,35,3,1,0,4,1,3,1,1,0,0,29,4,5,32,4,1,1,0,32,0,1,1,0
2528,210,205,5,0,1,72,4,7,0,0,0,0,86,80,44,31,114,25,1,4,113,0,5,8,17
2529,1015,803,212,32,1,77,28,0,0,0,0,0,778,55,182,117,757,1,0,131,910,1,9,3,5
2530,50,47,3,1,0,8,0,0,0,0,0,0,26,8,16,4,37,3,2,0,38,0,4,0,2
2531,480,460,20,1,1,178,5,23,0,0,0,0,310,103,67,245,126,33,2,8,361,1,11,10,23
2532,347,312,35,23,0,32,23,1,0,0,0,0,190,32,125,20,280,22,12,0,254,2,10,4,5
2533,1951,1889,62,31,1,202,44,3,0,0,0,0,1582,152,217,367,1432,80,31,3,1773,3,11,22,15
2534,32,32,0,0,0,7,0,0,0,0,0,0,27,3,2,4,28,0,0,0,28,0,0,2,0
2535,826,798,28,10,2,181,21,17,10,5,4,0,607,95,124,65,720,18,7,6,695,4,13,20,22
2536,1024,988,36,29,1,171,12,16,0,0,0,0,709,139,176,93,829,62,5,6,821,7,19,18,24
2537,229,191,38,4,0,31,4,4,0,0,0,0,133,63,33,14,161,15,34,1,193,0,1,3,5
2538,1570,1523,47,44,2,184,68,5,0,0,0,0,1110,174,286,202,1253,65,3,6,1297,3,37,22,29
2539,2745,2657,88,60,3,265,97,1,0,0,0,0,2293,217,235,392,2260,55,6,1,2497,2,24,30,22
2540,2147,1711,436,61,0,295,51,98,16,10,3,1,1093,515,539,1394,197,135,359,9,1653,12,41,56,70
2541,1167,1130,37,32,2,193,58,5,0,0,0,0,575,157,435,151,752,152,5,2,840,10,32,21,18
2542,27,23,4,0,0,1,1,0,0,0,0,0,23,0,4,2,17,0,0,7,24,0,0,0,0
2543,29,27,2,1,1,5,1,0,1,0,1,0,22,3,4,23,4,2,0,0,22,0,0,0,1
2544,27,22,5,0,0,6,0,1,0,0,0,0,10,7,10,3,16,1,5,0,17,0,2,1,1
2545,12,11,1,0,0,3,0,0,0,0,0,0,8,1,3,6,4,1,1,0,10,0,0,0,2
2546,26,25,1,1,0,5,0,0,0,0,0,0,20,6,0,3,21,1,0,0,19,0,0,1,1
2547,22,21,1,0,0,2,0,2,0,0,0,0,16,3,3,4,16,0,1,0,18,0,0,0,1
2548,1298,1037,261,19,0,177,37,76,0,0,0,0,576,312,410,905,43,78,242,3,907,3,35,36,41
2549,11,10,1,0,0,1,0,0,0,0,0,0,10,0,1,6,4,0,1,0,10,0,0,0,0
2550,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
2551,257,250,7,4,0,35,5,5,2,0,0,0,194,34,29,138,96,17,1,0,220,0,4,6,3
2552,1852,1807,45,42,9,339,57,24,1,0,0,1,1410,178,264,233,1474,70,2,7,1552,2,28,39,37
2553,99,79,20,0,0,9,3,11,0,0,0,0,49,14,36,8,64,6,20,0,75,0,2,0,2
2554,146,143,3,0,0,35,3,12,0,0,0,0,112,11,23,35,98,8,1,1,107,0,1,6,9
2555,570,464,106,7,0,52,15,27,28,4,20,0,345,88,137,446,31,15,71,0,459,1,5,12,6
2556,193,176,17,3,0,30,9,6,2,1,1,0,107,30,56,18,143,8,12,3,134,1,2,6,8
2557,498,482,16,5,3,69,10,27,6,4,1,0,379,67,52,119,352,12,5,1,391,3,3,11,30
2558,161,153,8,0,0,31,2,3,0,0,0,0,107,23,31,33,99,15,7,1,126,0,6,2,7
2559,210,182,28,0,1,14,2,13,0,0,0,0,131,39,40,21,154,7,28,0,155,3,2,2,8
2560,1035,841,194,38,0,94,21,0,0,0,0,0,757,47,231,169,708,1,0,150,921,1,15,9,1
2561,87,40,47,15,0,3,2,0,0,0,0,0,16,5,66,1,71,0,0,10,48,0,1,0,0
2562,799,768,31,2,1,208,15,28,2,0,1,0,586,109,104,80,625,38,0,10,642,1,7,22,26
2563,1323,1245,78,75,2,182,74,5,0,0,0,0,821,157,345,310,924,56,3,2,1107,13,29,19,13
2564,24,20,4,1,0,1,0,0,0,0,0,0,18,4,2,2,19,0,3,0,21,0,0,0,1
2565,863,739,124,7,0,122,15,61,0,0,0,0,471,182,210,33,661,37,117,4,642,2,18,28,54
2566,205,196,9,1,1,46,4,4,2,0,1,1,133,43,29,51,128,14,2,4,149,1,7,10,6
2567,1430,1280,150,54,7,199,81,104,70,37,24,2,884,210,336,1189,193,16,16,6,1010,6,32,55,67
2568,761,714,47,17,0,86,17,1,0,0,0,0,552,83,126,162,524,26,30,2,622,2,22,14,13
2569,359,344,15,0,0,74,9,20,0,0,0,0,195,77,87,19,296,24,7,3,229,2,18,6,35
2570,604,589,15,2,2,133,11,18,2,0,1,0,484,67,53,71,504,10,8,4,504,0,12,9,23
2571,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2572,484,403,81,7,1,72,5,8,0,0,0,0,291,96,97,318,46,35,74,2,359,1,12,16,19
2573,1643,1576,67,65,0,146,63,0,0,0,0,0,1193,120,330,1340,170,78,2,3,1434,1,14,22,12
2574,1148,1098,50,8,3,277,29,35,5,0,2,0,806,197,145,218,831,42,14,13,874,3,13,47,41
2575,143,133,10,2,1,24,3,8,4,3,1,0,96,23,24,24,106,5,4,2,103,0,1,5,9
2576,1002,973,29,14,0,264,9,8,0,0,0,0,639,192,171,145,648,67,15,7,761,1,16,34,29
2577,590,574,16,0,3,162,10,26,0,0,0,0,401,99,90,115,385,43,1,9,420,0,6,18,29
2578,965,945,20,20,2,169,17,4,0,0,0,0,779,94,92,163,764,23,0,3,849,2,15,18,9
2579,5,5,0,0,0,3,0,1,0,0,0,0,4,0,1,1,4,0,0,0,3,0,0,0,1
2580,2559,2377,182,72,7,323,93,45,97,33,33,8,1846,233,480,493,1955,56,12,13,2011,9,49,80,55
2581,1490,1264,226,18,1,137,27,101,0,0,0,0,918,273,299,1055,156,58,208,1,1136,3,32,21,58
2582,22,20,2,0,0,11,1,1,0,0,0,0,9,6,7,8,6,2,0,0,11,0,1,1,1
2583,35,35,0,0,0,19,0,1,0,0,0,0,20,14,1,4,28,0,0,2,22,0,0,1,4
2584,603,530,73,55,0,75,63,10,12,3,5,2,238,91,274,445,42,82,4,4,390,1,25,15,9
2585,1096,1061,35,33,1,105,55,1,0,0,0,0,917,60,119,71,989,22,2,4,980,0,20,12,5
2586,991,973,18,4,4,231,13,51,0,0,0,0,744,131,116,80,849,19,13,5,770,2,17,27,41
2587,546,526,20,11,1,79,27,6,6,3,3,0,397,71,78,66,450,13,2,2,469,2,3,9,11
2588,888,768,120,15,0,85,17,36,0,0,0,0,670,144,74,79,677,24,105,1,788,3,17,16,15
2589,1647,1571,76,27,1,210,37,20,1,0,0,0,1160,215,272,163,1351,45,48,3,1378,3,20,39,32
2590,1646,1455,191,44,2,155,32,23,0,0,0,0,1117,249,280,468,908,63,139,5,1380,4,20,25,28
2591,164,158,6,6,0,15,4,0,0,0,0,0,101,12,51,21,126,14,0,1,129,0,3,3,2
2592,29,28,1,1,0,3,1,0,0,0,0,0,25,0,4,2,25,2,0,0,27,0,0,0,0
2593,884,850,34,21,0,55,28,0,0,0,0,0,723,58,103,240,597,35,2,2,801,4,7,12,3
2594,769,730,39,24,0,73,27,11,12,6,5,0,595,69,105,61,675,22,3,3,633,3,16,20,15
2595,917,852,65,59,0,107,39,0,0,0,0,0,600,103,214,158,663,60,6,1,756,1,15,11,10
2596,408,341,67,11,1,95,8,19,0,0,0,0,263,93,52,309,25,13,56,1,334,2,8,11,15
2597,1049,974,75,73,0,111,19,0,0,0,0,0,787,77,185,300,661,62,2,4,875,5,19,23,7
2598,9,9,0,0,0,4,0,0,0,0,0,0,7,1,1,1,7,0,0,0,8,0,0,0,1
2599,44,41,3,2,0,11,0,0,0,0,0,0,33,10,1,37,2,1,0,1,32,0,1,1,3
2600,322,318,4,4,1,51,4,0,0,0,0,0,240,38,44,36,257,23,0,1,286,0,2,2,3
