Unnamed: 0,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9
Rk,xG,xA,xG+xA,npxG,npxG+xA
157,0.05,0,0.06,0.05,0.06
158,0.04,0.07,0.1,0.04,0.1
159,0.15,0,0.15,0.15,0.15
160,0.03,0.11,0.14,0.03,0.14
161,0,0.17,0.17,0,0.17
162,0.4,0.11,0.5,0.4,0.5
163,0.02,0.01,0.03,0.02,0.03
164,0.02,0.1,0.12,0.02,0.12
165,0,0,0,0,0
166,0.05,0.05,0.09,0.05,0.09
167,0.26,0.1,0.36,0.26,0.36
168,0.41,0.08,0.49,0.37,0.45
169,0.29,0.26,0.55,0.29,0.55
170,0.01,0,0.01,0.01,0.01
171,0,0,0,0,0
172,0.05,0.04,0.09,0.05,0.09
173,0.01,0.1,0.11,0.01,0.11
174,0.11,0.15,0.26,0.11,0.26
175,0,0,0,0,0
176,0.16,0.06,0.22,0.16,0.22
177,0.05,0,0.05,0.05,0.05
178,0.44,0.13,0.57,0.44,0.57
179,0.04,0.05,0.09,0.04,0.09
180,0.52,0.19,0.71,0.52,0.71
181,0,0.03,0.04,0,0.04
182,0.1,0,0.1,0.1,0.1
183,0.03,0.09,0.12,0.03,0.12
184,0,0,0,0,0
185,0,0.09,0.1,0,0.1
186,0.13,0.15,0.29,0.13,0.29
187,0,0,0.01,0,0.01
188,0.51,0.12,0.63,0.46,0.59
189,0.06,0.01,0.07,0.06,0.07
190,0.04,0.02,0.06,0.04,0.06
191,0.39,0.08,0.47,0.34,0.42
192,0.19,0.09,0.28,0.19,0.28
193,0.03,0.06,0.09,0.03,0.09
194,0.09,0.01,0.1,0.09,0.1
195,0,0,0,0,0
196,0.01,0.04,0.05,0.01,0.05
197,0.15,0.06,0.21,0.15,0.21
198,0.04,0,0.04,0.04,0.04
199,0.08,0.17,0.25,0.08,0.25
200,0,0,0,0,0
201,0.12,0.12,0.23,0.12,0.23
202,0.19,0.21,0.4,0.19,0.4
203,0.06,0.16,0.22,0.06,0.22
204,0.15,0.27,0.42,0.15,0.42
205,0.35,0.04,0.39,0.3,0.34
206,0.29,0.07,0.35,0.29,0.35
207,0.02,0.33,0.35,0.02,0.35
208,0.02,0.04,0.06,0.02,0.06
209,0.25,0.04,0.29,0.25,0.29
210,0.13,0.08,0.21,0.13,0.21
211,0.12,0.14,0.26,0.12,0.26
212,0,0.1,0.1,0,0.1
213,0.27,0.16,0.43,0.25,0.41
214,0.07,0.01,0.08,0.07,0.08
215,0.04,0.09,0.13,0.04,0.13
216,0.02,0.04,0.07,0.02,0.07
217,0.06,0.13,0.19,0.06,0.19
218,0.03,0.03,0.05,0.03,0.05
219,0.11,0.06,0.18,0.11,0.18
220,0,0,0,0,0
221,0.04,0.05,0.09,0.04,0.09
222,0.08,0.2,0.28,0.08,0.28
223,0,0,0,0,0
224,0.17,0.18,0.35,0.17,0.35
225,0.04,0.01,0.05,0.04,0.05
226,0.14,0.05,0.19,0.14,0.19
227,0,0,0,0,0
228,0.11,0.02,0.14,0.11,0.14
229,0.21,0.11,0.32,0.21,0.32
230,0.23,0.06,0.29,0.23,0.29
231,0.04,0.02,0.06,0.04,0.06
232,0,1.77,1.77,0,1.77
233,0.37,0.2,0.58,0.37,0.58
234,0.03,0.01,0.04,0.03,0.04
235,0.17,0.26,0.43,0.17,0.43
236,0.01,0.02,0.03,0.01,0.03
237,0.03,0.01,0.04,0.03,0.04
238,0.05,0.17,0.22,0.05,0.22
239,0.04,0.01,0.04,0.04,0.04
240,0.05,0,0.05,0.05,0.05
241,0,0,0,0,0
242,0.23,0.15,0.39,0.23,0.39
243,0.08,0.07,0.15,0.08,0.15
244,0.02,0.02,0.04,0.02,0.04
245,0.03,0.09,0.12,0.03,0.12
246,0.25,0.2,0.45,0.25,0.45
247,0.12,0.07,0.19,0.12,0.19
248,0.04,0.1,0.14,0.04,0.14
249,0.16,0.18,0.33,0.16,0.33
250,0.43,0.22,0.65,0.31,0.52
251,0.09,0.02,0.11,0.09,0.11
252,0,0,0,0,0
253,0.12,0.18,0.3,0.12,0.3
254,0,0,0,0,0
255,0.66,0.22,0.88,0.35,0.57
256,0.06,0.09,0.15,0.06,0.15
257,0,0,0,0,0
258,0.12,0.05,0.17,0.05,0.09
259,0.01,0.03,0.04,0.01,0.04
260,0.43,0.11,0.55,0.39,0.5
261,0.06,0.09,0.14,0.06,0.14
262,0.03,0.21,0.25,0.03,0.25
263,0,0,0,0,0
264,0.01,0.05,0.06,0.01,0.06
265,0,0,0,0,0
266,0,0.26,0.26,0,0.26
267,0,0.01,0.01,0,0.01
268,0.05,0.03,0.08,0.05,0.08
269,0.15,0.28,0.43,0.15,0.43
270,0.06,0.22,0.27,0.06,0.27
271,0.12,0.02,0.14,0.08,0.1
272,0.06,0,0.06,0.06,0.06
273,0.12,0.01,0.14,0,0.01
274,0.03,0.1,0.13,0.03,0.13
275,0.4,0.05,0.45,0.4,0.45
276,0.55,0.19,0.75,0.53,0.72
277,0.41,0.06,0.46,0.07,0.13
278,0,0,0,0,0
279,0.53,0.19,0.72,0.31,0.5
280,0.03,0,0.03,0.03,0.03
281,0.04,0.1,0.14,0.04,0.14
282,0.22,0,0.22,0.22,0.22
283,0.24,0.15,0.39,0.24,0.39
284,0,0.02,0.03,0,0.03
285,0.11,0.03,0.14,0.11,0.14
286,0.1,0.1,0.2,0.04,0.14
287,0.18,0.09,0.28,0.18,0.28
288,0.05,0.09,0.14,0.05,0.14
289,0.04,0.13,0.18,0.04,0.18
290,0.14,0.2,0.34,0.14,0.34
291,0.13,0.09,0.22,0.13,0.22
292,0,0,0,0,0
293,0,0.13,0.13,0,0.13
294,0,0,0,0,0
295,0,0,0,0,0
296,0.02,0.04,0.06,0.02,0.06
297,0.11,0.22,0.33,0.11,0.33
