Unnamed: 0,Expected,Expected.1,Expected.2,Expected.3
Rk,xG,npxG,xA,npxG+xA
321,0.1,0.1,0.2,0.3
322,1.7,1.7,0.2,1.9
323,1.9,1.9,1.8,3.8
324,1.1,1.1,0.4,1.6
325,2.8,2.8,3.2,6
326,1.6,1.6,0.7,2.3
327,0.2,0.2,0.9,1.1
328,1.4,1.4,0.3,1.7
329,2.7,2.7,0.6,3.3
330,0,0,0,0
331,0,0,0,0
332,1.3,1.3,0,1.4
333,1,1,0.3,1.3
334,12.2,9.2,3.6,12.8
335,2.3,2.3,1,3.4
336,2.3,0.7,2.3,3.1
337,1.6,1.6,0.4,2
338,1.4,1.4,0.2,1.6
339,5.5,4,6.7,10.6
340,0.3,0.3,0,0.4
341,0.2,0.2,0.6,0.8
342,0.6,0.6,0.6,1.2
343,5.6,5.6,5.3,11
344,0,0,0,0
345,6.3,6.3,4.6,10.8
346,0.6,0.6,0.7,1.3
347,1.9,1.9,0.2,2
348,5.9,5.9,1,6.9
349,0.4,0.4,0.5,1
350,0,0,0,0
351,0.2,0.2,0.1,0.3
352,0.3,0.3,1.3,1.5
353,0.8,0.8,0.9,1.7
354,5,4.3,2,6.3
355,3,3,2.8,5.9
356,1.3,1.3,0.2,1.4
357,0.2,0.2,1.2,1.5
358,0,0,0,0
359,0,0,0.3,0.3
360,0,0,0,0
361,3.7,3.7,3.4,7.1
362,3.4,3.4,0.5,3.9
363,0,0,0,0
364,1.7,1.7,1.7,3.4
365,0.2,0.2,0.2,0.4
366,1.6,0.9,0.1,1
367,0.3,0.3,0,0.4
368,0,0,0,0
369,2.1,0.6,0.4,1
370,1.6,1.6,0.5,2.2
371,1.8,0.3,2.3,2.6
372,1.9,1.9,1.1,3
373,1.8,1.8,4.3,6.2
374,1.2,1.2,2.4,3.6
375,0,0,0,0
376,1.3,1.3,0.7,2
377,0.4,0.4,1.1,1.4
378,0,0,0,0
379,0,0,0,0
380,4,3.6,5.2,8.9
381,0.4,0.4,0.4,0.8
382,0.4,0.4,0.4,0.8
383,0,0,0,0
384,7.1,7.1,0.6,7.7
385,0,0,0,0
386,2,2,1.2,3.1
387,0.2,0.2,0,0.2
388,3.3,1.1,0.1,1.2
389,0,0,0,0
390,4.5,4.5,1.5,6.1
391,0,0,0,0
392,2.4,2.4,1.8,4.2
393,0,0,0,0
394,1.5,1.5,1,2.5
395,0,0,0,0
396,0.4,0.4,0.3,0.8
397,0.5,0.5,1.4,1.9
398,0.2,0.2,3.6,3.8
399,0,0,0,0
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,0.2,0.2,0,0.2
404,0,0,0,0
405,1.2,1.2,1.3,2.4
406,1.3,1.3,1.1,2.4
407,0.3,0.3,1.7,2
408,3.4,3.4,2,5.4
409,0.7,0.7,0.7,1.4
410,1.6,1.6,0.6,2.2
411,5.3,4.6,0.7,5.2
412,0,0,0,0
413,0.7,0.7,1.4,2.1
414,1.4,1.4,0.3,1.7
415,0,0,0,0
416,0,0,0,0
417,1.2,1.2,1.8,3
418,0,0,0,0
419,0.3,0.3,0,0.3
420,1,1,0.2,1.2
421,1,1,1,2
422,5.5,4.8,8.8,13.5
423,0.1,0.1,0,0.1
424,0,0,0.1,0.1
425,4.8,2.6,3.7,6.3
426,0.3,0.3,1.3,1.6
427,5.9,5.9,1.3,7.2
428,15.3,15.3,2,17.3
429,0.9,0.9,0,0.9
430,0,0,0,0
431,3.5,3.5,1.7,5.2
432,1.9,1.9,1.3,3.2
433,1.4,0.7,1.4,2
434,0.8,0.8,2.4,3.2
435,5.4,2.9,5.1,8
436,2,2,4.9,6.9
437,4.8,3.3,5.8,9.1
438,,,,
439,1.1,1.1,1.6,2.7
440,3.6,3.6,1.3,5
441,0.5,0.5,0.1,0.6
442,0.1,0.1,0,0.1
443,4.2,3.4,3.2,6.6
444,9.4,7.1,1.7,8.8
445,0.7,0.7,1.9,2.6
446,0.2,0.2,0.7,0.9
447,0.4,0.4,1,1.4
448,0,0,0,0
449,7.6,7.6,1.9,9.5
450,0.2,0.2,0,0.2
451,0.4,0.4,0.8,1.2
452,1,1,0.6,1.6
453,0.5,0.5,0.3,0.8
454,0.1,0.1,1.2,1.3
455,6,6,5.6,11.6
456,0.4,0.4,0,0.4
457,2.7,2.7,1.3,4
458,1.2,1.2,0.1,1.2
459,0,0,0,0
460,0.6,0.6,0.8,1.4
