Unnamed: 0,SCA,SCA.1,SCA Types,SCA Types.1,SCA Types.2,SCA Types.3,SCA Types.4,SCA Types.5,GCA,GCA.1,GCA Types,GCA Types.1,GCA Types.2,GCA Types.3,GCA Types.4,GCA Types.5
Rk,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
82,7,0.39,6,1,0,0,0,0,0,0,0,0,0,0,0,0
83,25,2.51,20,1,1,3,0,0,1,0.1,1,0,0,0,0,0
84,25,1.5,21,0,0,2,0,2,3,0.18,2,0,0,1,0,0
85,2,1.55,2,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,5,0.62,5,0,0,0,0,0,0,0,0,0,0,0,0,0
88,16,1.77,7,1,1,1,6,0,5,0.55,2,0,0,1,2,0
89,25,2.99,18,1,3,1,2,0,2,0.24,2,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,72,3.43,48,13,4,7,0,0,12,0.57,8,1,2,1,0,0
92,15,0.65,13,1,0,0,1,0,0,0,0,0,0,0,0,0
93,34,1.25,31,0,1,2,0,0,2,0.07,1,0,0,1,0,0
94,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0
95,1,0.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,26,0.86,24,0,0,1,0,1,2,0.07,2,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,12,0.96,7,0,0,3,1,1,3,0.24,1,0,0,1,1,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,55,1.72,47,0,3,2,3,0,4,0.12,4,0,0,0,0,0
103,55,1.96,42,3,4,1,2,3,8,0.29,6,0,0,0,1,1
104,26,1.4,25,0,0,0,1,0,2,0.11,2,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,15,1.5,11,3,1,0,0,0,0,0,0,0,0,0,0,0
108,92,3.83,62,15,6,6,3,0,6,0.25,4,1,1,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,61,2.82,39,13,3,2,1,3,8,0.37,7,0,1,0,0,0
112,28,0.93,22,1,0,1,1,3,5,0.17,4,0,0,0,1,0
113,1,3.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,65,2.96,34,1,8,7,15,0,11,0.5,5,1,0,2,3,0
115,1,0.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,101,5.1,69,2,11,6,8,5,14,0.71,8,0,1,4,1,0
117,94,4.89,50,32,1,2,7,2,8,0.42,5,3,0,0,0,0
118,24,1.39,21,0,2,0,0,1,5,0.29,4,0,1,0,0,0
119,1,3.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0
121,31,1.67,29,0,0,0,0,2,1,0.05,1,0,0,0,0,0
122,50,3.01,33,0,10,4,2,1,5,0.3,4,0,0,1,0,0
123,8,0.3,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0
124,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0
125,30,0.96,17,4,4,2,0,3,3,0.1,1,0,1,1,0,0
126,1,0.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,7,2.14,4,0,0,2,1,0,0,0,0,0,0,0,0,0
129,1,1.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,82,2.67,58,3,6,5,6,4,15,0.49,7,0,2,3,2,1
132,92,3.2,34,37,2,6,10,3,12,0.42,5,4,1,0,2,0
133,1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
